,lsoa
519,E01000527
520,E01000528
521,E01000530
522,E01000531
523,E01000532
524,E01000533
525,E01000534
526,E01000535
527,E01000536
528,E01000538
529,E01000539
530,E01000540
531,E01000541
532,E01000543
533,E01000544
534,E01000545
535,E01000546
536,E01000547
537,E01000548
538,E01000549
539,E01000550
540,E01000551
541,E01000552
542,E01000553
543,E01000554
544,E01000555
545,E01000556
546,E01000557
547,E01000558
548,E01000559
549,E01000560
550,E01000561
551,E01000562
552,E01000563
553,E01000564
554,E01000565
555,E01000566
556,E01000567
557,E01000568
558,E01000569
559,E01000570
560,E01000571
561,E01000572
562,E01000573
563,E01000574
564,E01000575
565,E01000576
566,E01000577
567,E01000578
568,E01000579
569,E01000580
570,E01000581
571,E01000582
572,E01000583
573,E01000584
574,E01000585
575,E01000586
576,E01000587
577,E01000588
578,E01000589
579,E01000590
580,E01000591
581,E01000592
582,E01000593
583,E01000594
584,E01000595
585,E01000596
586,E01000599
587,E01000600
588,E01000601
589,E01000602
590,E01000603
591,E01000604
592,E01000605
593,E01000606
594,E01000607
595,E01000608
596,E01000609
597,E01000610
598,E01000611
599,E01000612
600,E01000613
601,E01000615
602,E01000616
603,E01000617
604,E01000618
605,E01000619
606,E01000620
607,E01000621
608,E01000622
609,E01000623
610,E01000624
611,E01000625
612,E01000626
613,E01000627
614,E01000628
615,E01000629
616,E01000630
617,E01000631
618,E01000632
619,E01000633
620,E01000634
621,E01000635
622,E01000636
623,E01000637
624,E01000638
625,E01000639
626,E01000640
627,E01000641
628,E01000642
629,E01000643
630,E01000644
631,E01000645
632,E01000646
633,E01000647
634,E01000648
635,E01000649
636,E01000650
637,E01000651
638,E01000652
639,E01000653
640,E01000654
641,E01000655
642,E01000656
643,E01000657
644,E01000658
645,E01000659
646,E01000661
647,E01000662
648,E01000663
649,E01000664
650,E01000665
651,E01000666
652,E01000667
653,E01000668
654,E01000669
655,E01000670
656,E01000671
657,E01000672
658,E01000673
659,E01000674
660,E01000675
661,E01000676
662,E01000677
663,E01000678
664,E01000679
665,E01000680
666,E01000681
667,E01000682
668,E01000683
669,E01000684
670,E01000685
671,E01000686
672,E01000687
673,E01000688
674,E01000689
675,E01000690
676,E01000691
677,E01000692
678,E01000693
679,E01000694
680,E01000695
681,E01000696
682,E01000697
683,E01000698
684,E01000699
685,E01000700
686,E01000701
687,E01000702
688,E01000703
689,E01000704
690,E01000705
691,E01000706
692,E01000707
693,E01000708
694,E01000709
695,E01000710
696,E01000711
697,E01000712
698,E01000713
699,E01000714
700,E01000715
701,E01000716
702,E01000717
703,E01000718
704,E01000719
705,E01000720
706,E01000721
707,E01000722
708,E01000723
709,E01000724
710,E01000725
711,E01000726
712,E01000727
713,E01000728
714,E01000729
715,E01000730
716,E01000731
717,E01000732
718,E01000733
719,E01000734
720,E01000735
721,E01000736
722,E01000737
723,E01000738
724,E01000739
725,E01000740
726,E01000741
727,E01000742
728,E01000743
729,E01000744
730,E01000745
731,E01000746
732,E01000747
733,E01000748
734,E01000749
735,E01000750
736,E01000751
737,E01000752
738,E01000753
739,E01000754
740,E01000755
741,E01000756
742,E01000757
743,E01000758
744,E01000759
745,E01000760
746,E01000761
747,E01000762
748,E01000763
749,E01000764
750,E01000765
751,E01000766
752,E01000767
753,E01000768
754,E01000769
755,E01000770
756,E01000771
757,E01000772
758,E01000773
759,E01000774
760,E01000775
761,E01000777
762,E01000778
763,E01000779
764,E01000780
765,E01000781
766,E01000782
767,E01000783
768,E01000784
769,E01000785
770,E01000786
771,E01000787
772,E01000788
773,E01000789
774,E01000790
775,E01000791
776,E01000792
777,E01000793
778,E01000794
779,E01000795
780,E01000796
781,E01000797
782,E01000798
783,E01000799
784,E01000800
785,E01000801
786,E01000802
787,E01000803
788,E01000804
789,E01000805
790,E01000806
791,E01000807
792,E01000808
793,E01000809
794,E01000810
795,E01000811
796,E01000812
797,E01000813
798,E01000814
799,E01000815
800,E01000816
801,E01000818
802,E01000819
803,E01000820
804,E01000822
805,E01000823
806,E01000824
807,E01000825
808,E01000826
809,E01000827
810,E01000828
811,E01000829
812,E01000830
813,E01000831
814,E01000832
815,E01000833
816,E01000834
817,E01000835
818,E01000836
819,E01000837
820,E01000838
821,E01000839
822,E01000840
823,E01000841
824,E01000842
825,E01000843
826,E01000844
827,E01000845
828,E01000846
829,E01000847
830,E01000848
831,E01000849
832,E01000850
833,E01000851
834,E01000852
835,E01000853
836,E01000854
837,E01000855
838,E01000856
839,E01000857
840,E01000858
841,E01000859
842,E01000860
843,E01000861
844,E01000862
845,E01000863
846,E01000864
847,E01000865
848,E01000866
849,E01000867
850,E01000868
851,E01000869
852,E01000870
853,E01000871
854,E01000872
855,E01000873
856,E01000874
857,E01000875
858,E01000876
859,E01000877
860,E01000878
861,E01000879
862,E01000880
863,E01000881
864,E01000882
865,E01000883
866,E01000884
867,E01000885
868,E01000886
869,E01000887
870,E01000888
871,E01000889
872,E01000890
873,E01000891
874,E01000892
875,E01000893
876,E01000894
877,E01000895
878,E01000896
879,E01000897
880,E01000898
881,E01000899
882,E01000900
883,E01000901
884,E01000902
885,E01000903
886,E01000904
887,E01000905
888,E01000906
889,E01000907
890,E01000908
891,E01000909
892,E01000910
893,E01000911
894,E01000912
895,E01000913
896,E01000914
897,E01000915
898,E01000916
899,E01000917
900,E01000918
901,E01000919
902,E01000920
903,E01000921
904,E01000922
905,E01000923
906,E01000924
907,E01000925
908,E01000926
909,E01000927
910,E01000928
911,E01000929
912,E01000930
913,E01000931
914,E01000932
915,E01000933
916,E01000934
917,E01000935
918,E01000936
919,E01000937
920,E01000938
921,E01000939
922,E01000940
923,E01000941
924,E01000942
925,E01000943
926,E01000944
927,E01000945
928,E01000946
929,E01000947
930,E01000948
931,E01000949
932,E01000950
933,E01000951
934,E01000952
935,E01000953
936,E01000954
937,E01000955
938,E01000956
939,E01000957
940,E01000958
941,E01000959
942,E01000960
943,E01000961
944,E01000962
945,E01000963
946,E01000964
947,E01000965
948,E01000966
949,E01000967
950,E01000968
951,E01000969
952,E01000970
953,E01000971
954,E01000972
955,E01000973
956,E01000974
957,E01000975
958,E01000976
959,E01000977
960,E01000978
961,E01000979
962,E01000980
963,E01000981
964,E01000982
965,E01000983
966,E01000984
967,E01000985
968,E01000986
969,E01000987
970,E01000989
971,E01000990
972,E01000991
973,E01000992
974,E01000993
975,E01000994
976,E01000995
977,E01000996
978,E01000997
979,E01000998
980,E01000999
981,E01001000
982,E01001001
983,E01001002
984,E01001003
985,E01001004
986,E01001005
987,E01001006
988,E01001007
