date,idx,date
2022-04-21 15:53:21,97,2022-04-21 15:53:21
2022-04-21 15:53:25,98,2022-04-21 15:53:25
2022-04-21 15:53:25,99,2022-04-21 15:53:25
2022-04-21 15:53:26,100,2022-04-21 15:53:26
2022-04-21 15:53:27,101,2022-04-21 15:53:27
2022-04-21 15:53:27,102,2022-04-21 15:53:27
2022-04-21 15:53:29,103,2022-04-21 15:53:29
2022-04-21 15:53:30,104,2022-04-21 15:53:30
2022-04-21 15:53:31,105,2022-04-21 15:53:31
2022-04-21 15:53:33,106,2022-04-21 15:53:33
2022-04-21 15:53:33,107,2022-04-21 15:53:33
2022-04-21 15:53:34,108,2022-04-21 15:53:34
2022-04-21 15:53:36,109,2022-04-21 15:53:36
2022-04-21 15:53:39,110,2022-04-21 15:53:39
2022-04-21 15:53:40,111,2022-04-21 15:53:40
2022-04-21 15:53:43,112,2022-04-21 15:53:43
2022-04-21 15:53:44,113,2022-04-21 15:53:44
2022-04-21 15:53:46,114,2022-04-21 15:53:46
2022-04-21 15:53:47,115,2022-04-21 15:53:47
2022-04-21 15:53:49,116,2022-04-21 15:53:49
2022-04-21 15:53:50,117,2022-04-21 15:53:50
2022-04-21 15:53:51,118,2022-04-21 15:53:51
2022-04-21 15:53:56,119,2022-04-21 15:53:56
2022-04-21 15:53:56,120,2022-04-21 15:53:56
2022-04-21 15:53:57,121,2022-04-21 15:53:57
2022-04-21 15:53:59,122,2022-04-21 15:53:59
2022-04-21 15:53:59,123,2022-04-21 15:53:59
2022-04-21 15:54:01,124,2022-04-21 15:54:01
2022-04-21 15:54:03,125,2022-04-21 15:54:03
2022-04-21 15:54:03,126,2022-04-21 15:54:03
2022-04-21 15:54:05,127,2022-04-21 15:54:05
2022-04-21 15:54:05,128,2022-04-21 15:54:05
2022-04-21 15:54:09,130,2022-04-21 15:54:09
2022-04-21 15:54:09,131,2022-04-21 15:54:09
2022-04-21 15:54:11,132,2022-04-21 15:54:11
2022-04-21 15:54:11,133,2022-04-21 15:54:11
2022-04-21 15:54:14,134,2022-04-21 15:54:14
2022-04-21 15:54:16,135,2022-04-21 15:54:16
2022-04-21 15:54:19,137,2022-04-21 15:54:19
2022-04-21 15:54:22,138,2022-04-21 15:54:22
2022-04-21 15:54:22,139,2022-04-21 15:54:22
2022-04-21 15:54:22,140,2022-04-21 15:54:22
2022-04-21 15:54:24,141,2022-04-21 15:54:24
