,0,1,idx
176067_d,17.819122421257315,6.070419051601535,176067_d
166473_b,17.830491024856062,6.381961451062345,166473_b
611201_b,17.85516208454727,6.676219359943301,611201_b
377999_b,17.85516208454727,6.676219359943301,377999_b
580115_b,17.85516208454727,6.676219359943301,580115_b
328346_d,18.04281876924262,6.463874371349149,328346_d
400593_d,18.04281876924262,6.463874371349149,400593_d
94477_d,18.04281876924262,6.463874371349149,94477_d
301613_b,18.04281876924262,6.463874371349149,301613_b
558424_d,18.04281876924262,6.463874371349149,558424_d
294210_d,18.04281876924262,6.463874371349149,294210_d
95166_b,18.047847396211086,4.7464989135376845,95166_b
316863_d,18.048280001467738,6.264385416595564,316863_d
210555_d,18.051269974321,5.94050245682394,210555_d
606_b,18.062708092457697,6.090432824317125,606_b
506037_d,18.138876451189585,6.709048552500464,506037_d
515611_b,18.1623741015969,4.744254397904592,515611_b
438577_b,18.2181295684719,4.841684013100083,438577_b
158350_b,18.218146132242524,6.297412606902987,158350_b
571324_d,18.24209768717934,6.498416450729293,571324_d
346137_b,18.245073971766793,5.016890932518275,346137_b
409326_d,18.289777389429023,4.368311329483734,409326_d
5773_b,18.303934482423546,6.283289098723652,5773_b
433386_b,18.31334048145297,6.343921724763493,433386_b
606095_b,18.36226158573531,6.775343853306142,606095_b
204037_d,18.513199840325843,6.631699363680987,204037_d
468421_d,18.54637078284907,6.282753322489261,468421_d
461949_d,18.61718083755579,4.319144444537341,461949_d
461711_b,18.747020282188966,6.505693006234065,461711_b
344758_d,18.75833745069032,5.072470994431704,344758_d
331127_d,18.770370970395735,6.523414342272063,331127_d
264855_b,18.770370970395735,6.523414342272063,264855_b
312953_d,18.770370970395735,6.523414342272063,312953_d
605606_b,18.782095216284834,6.461279286226398,605606_b
398971_d,18.782095216284834,6.461279286226398,398971_d
611623_b,18.782095216284834,6.461279286226398,611623_b
88165_b,18.815849240068278,5.071493604386474,88165_b
23749_b,18.949562979686807,6.429189836680252,23749_b
60261_d,18.954695325197637,4.9802529555186155,60261_d
178926_d,19.002872810284977,6.872679096174724,178926_d
183526_d,19.002872810284977,6.872679096174724,183526_d
80778_d,19.002872810284977,6.872679096174724,80778_d
267518_b,19.00597894583558,5.058869992103344,267518_b
435694_b,19.04005844700513,6.543548031145405,435694_b
120631_d,19.050307356009924,6.483410476035844,120631_d
384732_d,19.080695778879896,6.402401724385114,384732_d
254954_b,19.23105993232753,6.766816838659852,254954_b
47989_b,19.29850726839255,4.6860212191401045,47989_b
337873_d,19.30828945249369,5.052683742816742,337873_d
324037_b,19.309439326155555,6.906843086001953,324037_b
342762_d,19.309439326155555,6.906843086001953,342762_d
345450_b,19.351153065828086,6.492589365655923,345450_b
112285_b,19.367208091857677,6.586240955194054,112285_b
225562_d,19.41539127435219,4.896607883222323,225562_d
151141_d,19.604422908334133,6.801910401012245,151141_d
51901_b,19.614642746548896,6.535280872433703,51901_b
25972_b,19.625386629147656,5.520061357239097,25972_b
332906_d,19.67306804889208,5.330440209891454,332906_d
278864_b,19.80557801796396,6.531564453473413,278864_b
147134_d,19.844504368770163,4.8281034148791955,147134_d
50328_d,19.924433568300522,6.786011871116837,50328_d
476451_d,19.93341145853738,5.022766727792705,476451_d
241863_d,20.02565387580319,5.896794585710374,241863_d
582129_d,20.06066845067641,5.141672004456119,582129_d
470261_d,20.127315268775593,5.268536615180689,470261_d
558680_b,20.127942850225722,6.897045611325311,558680_b
451916_d,20.129918065799306,6.498523669051384,451916_d
558931_b,20.20515773715291,5.4480300941226805,558931_b
625272_b,20.259249856861576,6.8278496556402555,625272_b
395205_d,20.303125832561758,6.57490849940286,395205_d
12259_b,20.319117058431466,4.928380690951345,12259_b
558922_d,20.354723171210882,5.504915426419164,558922_d
455454_d,20.384064467224245,4.862633350091784,455454_d
520007_d,20.412649019172374,6.854129480624012,520007_d
613248_d,20.414686644279538,5.475477947704754,613248_d
198952_d,20.437479690149964,5.432763964449536,198952_d
437802_d,20.446094485531013,6.920529184919761,437802_d
110549_b,20.45016014557228,4.933783981991276,110549_b
350171_b,20.604167980000835,7.171475587326195,350171_b
120767_b,20.604167980000835,7.171475587326195,120767_b
608594_d,20.604167980000835,7.171475587326195,608594_d
18503_b,20.604167980000835,7.171475587326195,18503_b
196229_b,20.604167980000835,7.171475587326195,196229_b
548106_d,20.604167980000835,7.171475587326195,548106_d
554146_b,20.604167980000835,7.171475587326195,554146_b
