,0,1,idx
329668_b,13.76754562576679,4.922952335506112,329668_b
39705_d,13.779130436630169,5.141606067939496,39705_d
276755_d,13.781295648712533,4.6172222550218995,276755_d
2322_b,13.788632789226982,5.271587399017551,2322_b
426876_d,13.78992073644124,5.283629511062795,426876_d
601981_b,13.797530269312738,5.23658096096397,601981_b
530827_b,13.81042969750546,5.058404242676684,530827_b
223149_d,13.827358770526377,5.327248240817222,223149_d
23511_b,13.842026249491683,5.388492588476795,23511_b
130006_d,13.85389308388884,5.221617960729749,130006_d
589118_d,13.858331284492104,5.231961263664699,589118_d
558536_b,13.889418915187548,5.238334788352073,558536_b
181882_b,13.940462856563274,5.415994373097357,181882_b
603947_d,13.94199455549219,5.68551158631604,603947_d
23645_d,13.966614276908297,5.302251402865119,23645_d
551958_d,13.968487593702989,5.1429608785676715,551958_d
558589_d,13.968832749072448,5.247231470586937,558589_d
215248_d,13.973057835947701,5.404089110363772,215248_d
520482_d,13.992326328064102,4.890302587815151,520482_d
172349_b,14.00994414837525,5.246112510647226,172349_b
380363_b,14.052349419704127,5.332077243689739,380363_b
97303_d,14.072922432777156,5.600353795743995,97303_d
281743_d,14.074444979940418,5.407428977099006,281743_d
577542_d,14.078107765260611,5.443120315989634,577542_d
196448_d,14.119340959595636,4.937118398010941,196448_d
161853_b,14.12330441158048,5.23740601433713,161853_b
100861_d,14.14410474353027,5.2768322305805615,100861_d
613423_d,14.15255540998969,5.25023720478257,613423_d
235091_b,14.15526887924997,5.441338055957182,235091_b
281128_b,14.171217166783082,5.2188582626221205,281128_b
63134_d,14.202527072572027,5.20564957322283,63134_d
224118_b,14.204228159463076,5.262348438302567,224118_b
339672_d,14.21122877003582,5.437273972436278,339672_d
564182_b,14.214046602979634,5.472773407899122,564182_b
439817_b,14.219588352460798,5.466142909835396,439817_b
394667_b,14.226866644625431,5.459342772086065,394667_b
592320_b,14.227012420867409,5.828109462827251,592320_b
421030_b,14.255460710385266,5.451078666351276,421030_b
375935_d,14.256798536883057,5.273503039351111,375935_d
230207_b,14.267777979055175,5.253699486281977,230207_b
191906_b,14.276617560678488,5.456633383297471,191906_b
217277_d,14.279775353099394,5.47829795495819,217277_d
389889_d,14.298451478916013,5.256415851784222,389889_d
28424_d,14.305847883414721,5.569944155304389,28424_d
52333_b,14.308932559923209,5.341089299869203,52333_b
560544_d,14.312396880966498,5.3286703543707805,560544_d
260418_d,14.314388287146627,5.6006488588620345,260418_d
286276_d,14.319718505771307,4.818608264342693,286276_d
540303_b,14.344780132460128,5.310351881593687,540303_b
413876_d,14.35196169977254,5.462082863903068,413876_d
467261_b,14.362702832091156,5.780864328377406,467261_b
367066_b,14.364906202417265,5.218184076787222,367066_b
112018_b,14.367302706121428,5.384456776347272,112018_b
1210_b,14.368161089849282,5.442989192003277,1210_b
268540_b,14.376850989026218,5.479344345949046,268540_b
150882_b,14.396879002801693,5.218106917879364,150882_b
175455_d,14.403981067223047,5.647932485091848,175455_d
511976_d,14.408879695121916,5.330906866275719,511976_d
16688_b,14.413390972709918,5.5108770759072305,16688_b
233929_b,14.424827407650598,5.33468742978314,233929_b
276403_b,14.4290504821233,5.8017140249869845,276403_b
464918_b,14.46180636666604,5.376591570465167,464918_b
323573_d,14.46813888755791,5.855181319446423,323573_d
110541_b,14.468329279764157,5.385251592864916,110541_b
620848_d,14.469887402313642,5.175294200002695,620848_d
572576_b,14.49062695684619,5.3469991565547135,572576_b
66116_d,14.497639780097042,5.747899390982694,66116_d
366559_b,14.499635796274124,5.6301470380145,366559_b
242176_d,14.510692594595938,5.45305378511424,242176_d
171195_d,14.515906711922755,5.4318157946312775,171195_d
257121_b,14.55830850188694,5.581433450734001,257121_b
150353_d,14.57122547540544,5.344640178975039,150353_d
13383_d,14.571232975915546,5.819827945951628,13383_d
355646_b,14.576072685245633,5.312982580337759,355646_b
268453_b,14.579752471568286,5.196139982335456,268453_b
398167_d,14.580827726721449,5.339785804183431,398167_d
156026_d,14.582792566155513,5.830702121512679,156026_d
49607_d,14.589032731180767,5.44565865684431,49607_d
175297_b,14.60038418448816,5.828289519409733,175297_b
149675_b,14.607677018932884,5.333136838257749,149675_b
382542_b,14.637794348415772,5.5890745245476605,382542_b
630458_d,14.659789739639136,5.31527436475511,630458_d
288897_d,14.66197336778839,5.286758382067239,288897_d
515673_d,14.667730111161914,5.626952263212115,515673_d
616706_d,14.67264197283811,5.59472487632047,616706_d
