,lsoa,hierarchical8_x,err_x,hierarchical8_y,err_y,same
2588,E01002649,6,2.667028123042887,3,2.530201468034207,0
2589,E01002650,3,2.571675556096435,3,2.2394687623504983,1
2590,E01002651,3,3.4067616080069483,3,3.4650122742879095,1
2591,E01002652,3,2.9286913219366313,3,2.7729763625249375,1
2592,E01002653,3,2.605826826586406,3,2.613595027059692,1
2593,E01002654,3,1.9209805113124032,3,2.058583286990124,1
2594,E01002655,3,2.7697518821843308,3,2.7478134865170007,1
2595,E01002656,3,2.3826544285908655,3,2.01842412259375,1
2596,E01002657,3,2.6019751913050095,3,2.730083826809714,1
2597,E01002658,3,2.5787560926360644,3,2.703479435684184,1
2598,E01002659,3,2.365043461810304,3,2.4907829486628,1
2599,E01002660,3,2.820541005182281,3,3.005826428343508,1
2600,E01002661,3,2.6412979345614147,3,2.852826328507958,1
2601,E01002662,3,2.567057191010409,3,2.740537915467637,1
2602,E01002663,6,2.5010077617190083,3,2.3437170112800723,0
2603,E01002664,3,3.0589275117677945,3,2.8681342012264697,1
2604,E01002665,3,2.880095415637233,3,3.009042436761985,1
2605,E01002666,3,2.6830161734523097,3,2.7470716764773493,1
2606,E01002667,3,2.431083117790921,1,2.318655222043584,0
2607,E01002668,3,2.9312395224549515,3,2.7841721119533163,1
2608,E01002669,3,2.2960707175881434,3,2.4700795876195123,1
2609,E01002670,3,2.3250736943563903,3,2.443450305774117,1
2610,E01002671,3,2.183540105074028,3,2.4602002115933312,1
2611,E01002672,4,3.368453242069832,4,2.8821329807174525,1
2612,E01002673,4,0.0,3,13.635040541030875,0
2613,E01002674,3,3.1536894167783864,3,3.274105882105812,1
2614,E01002675,3,2.4048003295607656,3,2.6398002291111475,1
2615,E01002676,3,1.8762875067510651,3,2.1938023731084195,1
2616,E01002677,3,2.78337440506767,3,3.0078847553057133,1
2617,E01002678,7,1.1905137467014002,7,1.2009599068049455,1
2618,E01002679,3,2.0554821501171636,3,1.9034106088692715,1
2619,E01002680,3,2.2632244301778206,4,2.1415396827679785,0
2620,E01002681,3,2.642780701148909,3,2.6126835434559643,1
2621,E01002682,3,2.157685581633539,3,1.9749734041520688,1
2622,E01002683,3,2.6650916579178117,5,2.549128594801093,0
2623,E01002684,4,2.4397842487239245,1,2.5040206413936916,0
2624,E01002686,3,2.309438499619036,3,2.153640296779767,1
2625,E01002687,6,3.0265623389908023,6,3.3074794132698924,1
2626,E01002689,5,3.62331209497973,5,3.5923839858038904,1
2627,E01002690,3,3.2160607432877932,3,3.6401146978963217,1
2628,E01002691,3,2.4132315455652766,3,1.6461013351131561,1
2629,E01002692,3,2.874927869074348,3,2.9340106596038,1
2630,E01002693,6,2.9648666100005543,6,2.4010356970787448,1
2631,E01002694,1,5.23350277153559,1,5.547703475727172,1
2632,E01002695,1,4.8665064222935275,1,3.881651284107589,1
2633,E01002696,1,3.7910571044217054,1,3.4741461047092312,1
2634,E01002697,6,4.68054710803898,6,3.8508151495621368,1
2635,E01002698,1,4.594642755340561,1,4.839686440861911,1
2636,E01002699,1,4.091856630962196,1,4.041724874156662,1
2637,E01002700,1,3.3362477260673638,1,3.069524294654863,1
2638,E01002701,1,5.230390519299204,1,5.041303688160842,1
2639,E01002702,1,4.077100556030635,1,3.644702951906008,1
2640,E01002703,1,3.9031858503133305,1,0.0,1
2641,E01002704,1,2.687820938901413,1,1.9756917072065652,1
