,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,OA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
1492,0,1,1,0,2,4,1,3,1,0,1,E00001543,0,1,1,0,2,3,2,3,1,0,1,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1493,2,1,1,1,1,2,1,1,1,1,1,E00001544,2,2,2,1,1,1,1,1,1,0,2,-1.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0
1494,0,1,1,1,1,3,1,1,1,0,2,E00001545,0,0,1,1,1,3,1,2,1,0,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
1495,1,1,2,1,1,3,0,1,1,2,2,E00001546,1,1,0,1,1,3,1,2,1,1,3,0.0,1.0,1.0,1.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0
1496,2,1,0,0,1,3,0,1,1,1,2,E00001547,2,1,1,1,1,2,0,1,1,1,2,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1497,0,2,1,0,1,3,1,2,2,0,1,E00001548,0,2,1,1,1,2,1,3,1,0,2,-1.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
1498,1,0,1,1,0,1,0,1,2,2,1,E00001549,1,1,1,0,0,1,0,1,1,2,2,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0
1499,1,0,0,0,1,3,0,2,1,2,2,E00001550,0,0,1,1,1,2,0,3,1,1,3,-1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,0.0,-1.0
1500,1,1,1,1,1,5,1,1,1,1,2,E00001551,0,0,1,0,2,4,1,1,1,1,2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0
1501,0,1,1,1,1,1,5,1,2,0,1,E00001552,0,1,1,1,0,1,4,2,1,0,2,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0
1502,0,0,0,0,2,3,2,3,2,0,0,E00001553,0,1,1,1,1,2,2,3,1,0,2,-1.0,0.0,0.0,2.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0
1503,0,0,1,0,2,4,0,2,1,0,1,E00001554,0,0,1,0,2,4,0,1,1,0,3,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1504,1,1,1,1,1,3,5,1,1,0,1,E00001555,0,1,1,1,1,2,3,3,1,0,2,-1.0,-2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1505,0,1,0,0,1,8,0,1,0,0,1,E00001556,0,1,0,0,3,4,0,1,0,0,2,-4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1506,0,0,1,0,1,5,2,2,1,1,1,E00001557,0,0,0,0,1,5,1,2,1,0,1,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
1507,0,1,2,1,2,3,0,1,1,1,1,E00001558,0,2,1,1,1,3,0,1,1,0,3,0.0,0.0,0.0,2.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
1508,0,1,0,0,2,3,3,3,1,0,0,E00001559,0,1,1,0,2,2,2,3,1,0,1,-1.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1509,1,1,1,0,1,1,0,2,1,3,2,E00001560,1,1,2,1,1,1,1,2,1,2,3,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0
1510,1,2,1,0,2,2,0,1,1,2,2,E00001561,1,1,1,1,2,1,1,1,1,1,4,-1.0,1.0,0.0,2.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0
1511,0,3,2,2,1,1,3,1,1,1,1,E00001562,1,0,2,0,1,1,5,3,0,0,2,0.0,2.0,2.0,1.0,-1.0,-1.0,0.0,0.0,-2.0,-3.0,1.0
1512,0,1,1,0,2,3,1,0,1,3,1,E00001563,0,1,1,0,1,2,1,1,0,3,3,-1.0,0.0,1.0,2.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0
1513,0,0,1,0,1,4,1,1,1,1,1,E00001564,0,0,1,0,1,6,1,1,1,1,3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514,0,1,2,1,1,2,1,1,2,1,2,E00001565,0,1,2,1,2,2,1,1,1,1,3,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0
1515,0,0,1,1,2,4,1,1,1,1,1,E00001566,0,0,0,0,2,5,1,1,1,1,2,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0
1516,0,1,1,0,1,2,1,1,1,2,1,E00001567,1,1,1,1,1,1,1,1,1,2,3,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1517,0,0,1,0,2,3,0,1,0,2,2,E00001568,0,0,1,0,1,2,0,1,0,1,3,-1.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0
1518,0,1,0,1,1,6,0,1,1,1,0,E00001570,0,0,0,1,1,4,0,1,1,1,3,-2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
1519,1,1,1,1,1,4,0,2,1,1,2,E00001571,1,1,1,1,2,3,1,1,0,1,2,-1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0
1520,0,1,1,1,1,3,1,1,2,1,2,E00001572,1,0,1,1,2,3,0,2,1,1,2,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,-1.0,1.0
1521,1,1,1,1,1,3,0,1,1,1,1,E00001573,2,1,1,1,1,2,1,0,1,1,2,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
