LSOA11CD,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Green space,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Low-density,count,lsoa
E01000873,0.14516129032258066,0.04838709677419355,0.11290322580645161,0.5967741935483871,0.0967741935483871,62,E01000873
E01000874,0.09302325581395349,0.27906976744186046,0.0,0.6046511627906976,0.023255813953488372,43,E01000874
E01000875,0.07042253521126761,0.19718309859154928,0.323943661971831,0.2535211267605634,0.15492957746478872,71,E01000875
E01000876,0.022727272727272728,0.14772727272727273,0.20454545454545456,0.5454545454545454,0.07954545454545454,88,E01000876
E01000877,0.17142857142857143,0.18571428571428572,0.05714285714285714,0.5142857142857142,0.07142857142857142,70,E01000877
E01000878,0.0,0.2413793103448276,0.29310344827586204,0.10344827586206896,0.3620689655172414,58,E01000878
E01000879,0.1267605633802817,0.15492957746478872,0.23943661971830985,0.2676056338028169,0.2112676056338028,71,E01000879
E01000880,0.0,0.2222222222222222,0.1111111111111111,0.16666666666666666,0.5,18,E01000880
E01000881,0.0,0.10714285714285714,0.5,0.14285714285714285,0.25,28,E01000881
E01000882,0.11764705882352941,0.0392156862745098,0.0784313725490196,0.5294117647058824,0.23529411764705882,51,E01000882
E01000883,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.4074074074074074,0.14814814814814814,54,E01000883
E01000884,0.0,0.15942028985507245,0.2318840579710145,0.10869565217391304,0.5,138,E01000884
E01000885,0.006493506493506494,0.06493506493506493,0.6623376623376623,0.09090909090909091,0.17532467532467533,154,E01000885
E01000886,0.013157894736842105,0.05263157894736842,0.07894736842105263,0.7763157894736842,0.07894736842105263,76,E01000886
E01000887,0.1917808219178082,0.0136986301369863,0.0410958904109589,0.6986301369863014,0.0547945205479452,73,E01000887
E01000888,0.0847457627118644,0.05084745762711865,0.01694915254237288,0.7627118644067796,0.0847457627118644,59,E01000888
E01000889,0.03125,0.125,0.125,0.34375,0.375,32,E01000889
E01000890,0.17647058823529413,0.058823529411764705,0.35294117647058826,0.29411764705882354,0.11764705882352941,17,E01000890
E01000891,0.23255813953488372,0.06976744186046512,0.3023255813953488,0.3953488372093023,0.0,43,E01000891
E01000892,0.02666666666666667,0.32,0.13333333333333333,0.24,0.28,75,E01000892
E01000893,0.017699115044247787,0.07079646017699115,0.26548672566371684,0.584070796460177,0.061946902654867256,113,E01000893
E01000894,0.04040404040404041,0.13131313131313133,0.36363636363636365,0.3838383838383838,0.08080808080808081,99,E01000894
E01000895,0.42105263157894735,0.07894736842105263,0.02631578947368421,0.3815789473684211,0.09210526315789473,76,E01000895
E01000896,0.07547169811320754,0.11320754716981132,0.03773584905660377,0.6037735849056604,0.16981132075471697,53,E01000896
E01000897,0.05263157894736842,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,76,E01000897
E01000898,0.08064516129032258,0.14516129032258066,0.16129032258064516,0.43548387096774194,0.1774193548387097,62,E01000898
E01000899,0.011049723756906077,0.0718232044198895,0.6988950276243094,0.17955801104972377,0.03867403314917127,362,E01000899
E01000900,0.03278688524590164,0.26229508196721313,0.13114754098360656,0.5409836065573771,0.03278688524590164,61,E01000900
E01000901,0.2463768115942029,0.2463768115942029,0.17391304347826086,0.2753623188405797,0.057971014492753624,69,E01000901
E01000902,0.08108108108108109,0.32432432432432434,0.32432432432432434,0.13513513513513514,0.13513513513513514,37,E01000902
E01000903,0.038461538461538464,0.21153846153846154,0.2692307692307692,0.3269230769230769,0.15384615384615385,52,E01000903
E01000904,0.25,0.2692307692307692,0.11538461538461539,0.3269230769230769,0.038461538461538464,52,E01000904
E01000905,0.2903225806451613,0.22580645161290322,0.1935483870967742,0.25806451612903225,0.03225806451612903,31,E01000905
E01000906,0.1232876712328767,0.1506849315068493,0.3424657534246575,0.2602739726027397,0.1232876712328767,73,E01000906
E01000907,0.0,0.046511627906976744,0.2558139534883721,0.46511627906976744,0.23255813953488372,43,E01000907
E01000908,0.03076923076923077,0.16923076923076924,0.36923076923076925,0.18461538461538463,0.24615384615384617,65,E01000908
E01000909,0.05555555555555555,0.18518518518518517,0.21296296296296297,0.1388888888888889,0.4074074074074074,108,E01000909
E01000910,0.023255813953488372,0.10465116279069768,0.12790697674418605,0.627906976744186,0.11627906976744186,86,E01000910
E01000911,0.012345679012345678,0.07407407407407407,0.1111111111111111,0.7160493827160493,0.08641975308641975,81,E01000911
E01000912,0.1518987341772152,0.10126582278481013,0.45569620253164556,0.25316455696202533,0.0379746835443038,79,E01000912
