OA11CD,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles
E00000366,0,1,1,1,1,1,0,1,1,0,0
E00000367,0,1,0,0,1,1,0,1,0,0,1
E00000368,0,0,1,0,0,1,1,1,0,0,0
E00000369,0,1,0,0,1,1,0,1,0,0,1
E00000370,0,1,0,0,1,1,0,0,0,0,1
E00000371,0,1,1,1,1,1,0,1,0,0,1
E00000372,0,1,0,0,1,1,0,1,0,1,1
E00000373,0,1,1,0,0,1,1,0,0,0,0
E00000374,0,1,0,1,1,1,0,1,1,0,0
E00000375,0,1,0,0,0,1,0,1,1,1,1
E00000376,0,1,1,0,0,1,1,1,0,0,0
E00000377,0,1,0,0,1,1,0,1,0,0,1
E00000378,1,1,1,0,0,1,1,0,0,0,1
E00000379,0,1,0,0,0,0,1,0,0,0,0
E00000380,0,1,1,1,0,1,0,1,0,0,1
E00000381,0,1,0,0,1,1,0,1,0,0,1
E00000382,0,1,0,1,1,1,0,1,1,0,1
E00000383,0,1,1,1,1,1,0,1,0,0,1
E00000384,1,1,0,0,1,1,0,1,0,0,1
E00000385,1,1,0,1,0,1,0,1,0,1,1
E00000386,0,1,1,0,0,1,1,1,0,0,0
E00000387,1,0,0,0,1,1,1,1,1,1,1
E00000388,0,1,1,1,1,1,1,1,1,0,0
E00000389,0,1,0,0,1,1,0,1,1,0,1
E00000390,0,1,0,0,1,1,0,1,1,0,1
E00000391,0,1,1,1,1,1,0,0,0,0,1
E00000392,1,1,1,0,0,1,0,1,0,0,1
E00000393,0,1,0,0,1,1,0,1,0,0,1
E00000394,0,1,0,0,1,1,0,1,0,0,1
E00000395,1,1,1,0,0,1,0,1,0,0,1
E00000396,0,1,1,0,1,1,0,1,0,0,1
E00000397,1,1,1,0,0,1,0,1,1,0,1
E00000398,0,0,0,0,1,1,0,1,1,1,1
E00000399,0,1,0,0,0,1,0,1,0,0,1
E00000400,0,0,0,0,0,1,0,1,1,0,1
E00000401,0,1,1,0,0,1,0,1,1,0,1
E00000402,0,1,0,0,1,1,0,1,1,0,0
E00000403,0,1,0,1,0,1,0,1,0,0,1
E00000404,0,1,0,0,0,1,0,1,0,0,0
