,Commercial,Estates,Green space,High-density,Low-density,lsoa
421,,,,,,E01000438
422,,3.55329949238578,,,,E01000439
423,,,,,,E01000440
424,,,,,,E01000441
425,,,,,,E01000442
426,,,,,,E01000443
427,,,,,,E01000444
428,,,,,-9.937827166669635,E01000445
429,,,,,,E01000446
430,,,,,,E01000447
431,,,,,,E01000448
432,,,,,,E01000449
433,,11.932215234102031,,,-14.308176100628927,E01000450
434,,,,,,E01000451
435,,,,,,E01000452
436,,,,,,E01000453
437,,,,,,E01000454
438,,,,,-11.589403973509938,E01000455
439,,,,,,E01000456
440,,,,,-10.12020990969002,E01000457
441,,,,,-13.690599709483301,E01000458
442,,,,4.404767458133131,,E01000459
443,,,,,,E01000460
444,,,,,-9.884467265725299,E01000461
445,,,,,-9.616671362163693,E01000462
446,,1.4925373134328301,,,,E01000463
447,3.94736842105263,,,,,E01000464
448,,,,,,E01000465
449,,,,,,E01000467
450,,,,,,E01000468
451,,,,,,E01000469
452,,,-15.807715491259785,4.35001004621258,,E01000470
453,,,,,,E01000471
454,,,-8.006535947712411,,,E01000472
455,,,,,,E01000473
456,,4.771118973905351,,,,E01000474
457,,,,,,E01000475
458,,,,,,E01000476
459,,,,,,E01000477
460,,2.41935483870967,,,,E01000478
461,,0.93457943925233,,,-12.28321011763612,E01000479
462,,,,,-13.054053134673609,E01000480
463,,,,,,E01000481
464,,,-8.811688884965118,,,E01000482
465,,,,,,E01000483
466,,,,,,E01000484
467,,3.56999114545601,,,,E01000485
468,,,,,,E01000486
469,,,,,,E01000487
470,,,,,,E01000488
471,,,,,,E01000489
472,,,,,,E01000490
473,,,,,-11.351692243010305,E01000491
474,,,,,,E01000492
475,,,,,,E01000493
476,,,,,-14.855869732643853,E01000494
477,,,,,,E01000495
478,,,,,,E01000497
479,,2.08333333333333,,,,E01000498
480,,,-5.64689822539057,,-8.347742555235353,E01000499
481,,,,,,E01000501
482,,,,,-14.285714285714292,E01000502
483,,,,,-11.34290361360582,E01000503
484,,,,,,E01000504
485,,,,,,E01000505
486,,,,,,E01000506
487,,,,,,E01000507
488,,,,,,E01000508
489,,,,,,E01000509
490,,,,,,E01000510
491,,,,,,E01000511
492,,,,,,E01000512
493,,,,,-13.738738738738732,E01000513
494,,,,,,E01000514
495,,,,,,E01000515
496,,,,,,E01000516
497,,1.55038759689922,,,-20.25120941889608,E01000517
498,,,,,,E01000518
499,,,,,,E01000519
500,,,,,-13.319245020842988,E01000520
501,,,,,,E01000521
502,,,,,,E01000522
503,,,,,,E01000523
504,,,,,,E01000524
505,,,,,,E01000525
506,,,,,,E01000526
507,,,,,,E01000527
508,2.19780219780219,,,,,E01000528
509,,,,,,E01000530
510,,,,,,E01000531
511,,,,,,E01000532
512,,,,,,E01000533
513,,,,-11.916354556803999,,E01000534
514,,,,,,E01000535
515,,1.62037037037037,,,,E01000536
516,,,,,-12.506243756243748,E01000538
517,,,,,-15.759526409563776,E01000539
518,,,,,,E01000540
519,,,,,-10.391389432485326,E01000541
520,,,,,,E01000543
521,,,,,,E01000544
522,12.337662337662337,,,,,E01000545
523,,2.94117647058823,,,,E01000546
524,,,,,,E01000547
525,,,,,,E01000548
526,,,,,,E01000549
527,,,,,,E01000550
528,,,,,,E01000551
529,,,,,,E01000553
530,,,,,,E01000554
531,,,9.616545893719811,,-11.231884057971008,E01000555
532,,,,-14.699792960662524,,E01000556
533,,,,,,E01000557
534,,,,,-12.03931203931204,E01000558
535,,,,,,E01000559
536,,,,,-19.68852459016394,E01000560
537,,,,,,E01000562
538,,1.04712041884816,,,-12.006785808300911,E01000563
539,,,,,,E01000564
540,,,,,,E01000565
541,,,,,-13.627320954907162,E01000566
542,,5.2394499762920805,,,,E01000567
543,,,,,,E01000569
544,,,,,,E01000570
545,,,,,,E01000571
546,,,,,,E01000572
547,,,,,-14.184276300840715,E01000573
548,,,,,-19.618055555555557,E01000574
549,,,,,,E01000575
550,,,,,-12.341546788206799,E01000576
551,,,,,,E01000578
552,,,,,,E01000579
553,,,,,-4.52823039029936,E01000580
554,,,,,,E01000581
555,,,,,,E01000582
556,,-4.9229133439659805,,,,E01000583
557,,,,,,E01000584
558,,,,,,E01000585
559,,,,,,E01000586
560,,,,2.25563909774436,-18.939485811302454,E01000587
561,,,,,,E01000588
562,,,,,,E01000589
563,,,,,-13.89236545682104,E01000590
564,,,,,,E01000591
565,,,,,,E01000592
566,,,,,-12.376512376512373,E01000593
567,,,,,,E01000594
568,,,,,,E01000595
569,,,,,-9.66706249725118,E01000596
570,,,,,,E01000599
571,1.3563915300169898,,-15.450829084562027,,,E01000600
572,,,-13.90849805028909,,,E01000601
573,-1.9047619047619,,,,,E01000602
574,,,,,-15.649350649350652,E01000603
575,,,,,,E01000604
576,,,,,-16.19793982510746,E01000605
577,,,,,,E01000606
578,,,,,-14.332718584961015,E01000607
579,,,,,-6.91472252180659,E01000608
580,,,,,-11.943942133815561,E01000609
