LSOA11CD,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles
E01000164,0,0,0,0,0,0,1,0,0,0,0
E01000165,0,1,1,0,1,1,1,1,1,0,0
E01000166,0,0,0,0,1,1,1,1,1,0,0
E01000167,0,1,0,0,1,1,1,1,1,0,0
E01000168,0,0,0,0,1,1,0,1,1,0,0
E01000169,0,0,0,0,1,1,1,1,1,1,0
E01000170,1,1,0,0,1,1,1,1,1,0,1
E01000171,1,0,0,1,0,1,1,0,0,1,0
E01000172,0,0,0,0,1,1,1,1,0,0,0
E01000173,0,0,0,0,1,1,1,0,1,0,0
E01000174,1,0,0,0,1,1,0,0,0,1,1
E01000175,0,0,0,0,1,1,1,1,0,0,0
E01000176,0,0,0,0,0,0,1,0,1,1,1
E01000177,1,0,1,1,1,0,0,0,0,1,1
E01000178,0,0,1,0,0,0,1,0,0,1,0
E01000179,0,1,1,1,1,1,1,1,1,1,1
E01000180,0,1,1,1,1,1,0,1,1,0,0
E01000181,1,1,0,0,1,1,0,0,0,1,0
E01000182,1,1,0,1,1,1,1,0,1,1,1
E01000183,0,1,0,1,1,0,1,1,1,0,0
E01000184,0,0,0,0,0,0,1,0,0,0,0
E01000185,0,1,1,1,0,0,1,1,1,0,1
E01000186,0,0,0,0,1,1,1,1,0,0,0
E01000187,1,0,1,0,1,1,1,1,1,0,0
E01000188,0,0,0,0,0,0,1,0,0,0,0
E01000189,0,1,1,1,0,0,1,1,0,0,1
E01000190,0,1,1,0,1,1,0,1,0,0,0
E01000191,0,1,0,0,1,1,1,1,0,0,0
E01000192,1,0,0,1,1,1,0,1,0,0,0
E01000193,0,0,1,1,1,1,1,1,1,0,1
E01000194,1,0,0,0,0,1,0,0,0,0,0
E01000195,0,1,0,0,0,0,1,0,0,0,0
E01000196,1,0,1,1,1,0,1,0,0,1,0
E01000197,0,0,0,0,1,1,1,0,0,1,0
E01000198,0,0,0,0,1,1,1,1,0,0,0
E01000199,0,1,1,0,1,1,1,1,0,0,0
E01000200,0,1,1,0,1,1,1,0,1,0,0
E01000201,0,0,0,0,1,1,1,1,0,0,0
E01000202,0,0,0,0,1,1,0,0,1,1,0
E01000203,0,1,0,0,1,1,1,1,0,0,0
E01000204,1,0,1,0,1,1,0,1,1,0,1
E01000205,0,0,1,0,1,0,1,0,0,0,0
E01000206,0,0,0,0,0,0,1,0,0,0,0
