,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,LSOA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
41,0,0,1,1,1,1,1,1,1,2,1,E01000044,,0,1,1,0,1,1,1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,
42,1,1,1,1,1,1,1,1,1,0,1,E01000045,1,1,1,1,1,1,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,,1,1,1,1,1,1,1,1,0,1,E01000046,,1,1,1,1,1,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,,1,1,1,1,1,1,1,1,1,1,E01000048,,1,1,1,1,1,,1,1,1,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45,,1,1,1,0,1,1,1,1,1,1,E01000049,,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
46,1,1,1,1,1,1,1,1,1,1,1,E01000050,1,1,1,1,0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
47,1,1,1,1,1,1,1,1,1,,1,E01000051,1,1,1,1,,,,1,1,,1,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
48,0,0,1,1,1,1,1,1,1,1,1,E01000052,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,1,1,0,1,1,1,1,1,1,0,1,E01000053,1,1,1,1,1,1,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,,1,1,1,1,2,1,1,1,,1,E01000054,,1,1,1,1,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
51,,1,1,1,1,2,1,1,1,,1,E01000055,0,1,1,0,1,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-1.0,0.0,
52,,1,1,1,1,2,1,1,1,0,1,E01000056,,1,1,1,1,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
53,1,1,0,1,1,2,1,1,1,,1,E01000057,1,1,1,1,1,1,0,1,1,0,1,-1.0,-1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0
54,,1,1,1,1,2,,1,1,,1,E01000058,,1,1,1,1,1,,1,1,1,1,-1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
55,,1,0,1,1,2,1,1,1,,1,E01000059,,1,1,1,1,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,
56,0,1,1,1,1,1,1,1,1,,1,E01000060,1,1,1,1,1,1,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
57,0,1,1,1,0,1,2,1,1,,1,E01000061,0,1,1,1,0,0,1,1,1,,1,-1.0,-1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
