,lsoa,hierarchical8_x,hierarchical8_y,same
508,E01000516,9,3,0
509,E01000517,3,3,1
510,E01000518,3,3,1
511,E01000519,4,4,1
512,E01000520,3,3,1
513,E01000521,6,6,1
514,E01000522,10,10,1
515,E01000523,6,6,1
516,E01000524,6,6,1
517,E01000525,6,6,1
518,E01000526,12,7,0
519,E01000527,8,6,0
520,E01000528,6,6,1
521,E01000530,9,9,1
522,E01000531,6,8,0
523,E01000532,6,6,1
524,E01000533,6,6,1
525,E01000534,3,9,0
526,E01000535,3,3,1
527,E01000536,3,9,0
528,E01000538,3,9,0
529,E01000539,3,3,1
530,E01000540,3,9,0
531,E01000541,3,3,1
532,E01000543,3,3,1
533,E01000544,6,10,0
534,E01000545,6,10,0
535,E01000546,6,6,1
536,E01000547,8,8,1
537,E01000548,6,10,0
538,E01000549,6,8,0
539,E01000550,6,10,0
540,E01000551,12,7,0
541,E01000552,7,1,0
542,E01000553,6,6,1
543,E01000554,6,6,1
544,E01000555,9,3,0
545,E01000556,6,6,1
546,E01000557,3,3,1
547,E01000558,9,3,0
548,E01000559,3,3,1
549,E01000560,9,9,1
550,E01000561,3,3,1
551,E01000562,5,5,1
552,E01000563,3,3,1
553,E01000564,3,3,1
554,E01000565,3,9,0
555,E01000566,9,9,1
556,E01000567,3,9,0
557,E01000568,4,5,0
558,E01000569,9,9,1
559,E01000570,9,9,1
560,E01000571,9,9,1
561,E01000572,9,9,1
562,E01000573,9,9,1
563,E01000574,3,3,1
564,E01000575,3,3,1
565,E01000576,3,9,0
566,E01000577,7,7,1
567,E01000578,3,3,1
568,E01000579,8,8,1
569,E01000580,6,6,1
570,E01000581,3,3,1
571,E01000582,6,6,1
572,E01000583,6,6,1
573,E01000584,3,3,1
574,E01000585,8,8,1
575,E01000586,6,6,1
576,E01000587,3,3,1
577,E01000588,3,3,1
578,E01000589,3,9,0
579,E01000590,9,9,1
580,E01000591,9,9,1
581,E01000592,3,3,1
582,E01000593,3,3,1
583,E01000594,3,3,1
584,E01000595,6,6,1
585,E01000596,3,3,1
586,E01000599,7,7,1
587,E01000600,5,5,1
588,E01000601,5,5,1
589,E01000602,3,3,1
590,E01000603,3,5,0
591,E01000604,5,5,1
592,E01000605,3,5,0
593,E01000606,3,3,1
594,E01000607,9,9,1
595,E01000608,3,3,1
596,E01000609,9,3,0
597,E01000610,5,3,0
598,E01000611,9,3,0
599,E01000612,5,4,0
600,E01000613,3,3,1
601,E01000615,5,3,0
602,E01000616,10,4,0
603,E01000617,3,3,1
604,E01000618,9,3,0
605,E01000619,9,9,1
606,E01000620,9,3,0
607,E01000621,3,3,1
608,E01000622,3,3,1
609,E01000623,9,9,1
610,E01000624,9,3,0
611,E01000625,3,3,1
612,E01000626,3,3,1
613,E01000627,3,3,1
614,E01000628,3,3,1
615,E01000629,9,9,1
616,E01000630,9,3,0
617,E01000631,3,9,0
618,E01000632,9,9,1
619,E01000633,3,3,1
620,E01000634,3,3,1
621,E01000635,10,10,1
622,E01000636,9,3,0
623,E01000637,8,8,1
624,E01000638,6,6,1
625,E01000639,6,6,1
626,E01000640,10,6,0
627,E01000641,8,6,0
628,E01000642,10,10,1
629,E01000643,4,3,0
630,E01000644,6,6,1
631,E01000645,4,4,1
632,E01000646,4,4,1
633,E01000647,9,9,1
634,E01000648,9,3,0
635,E01000649,4,4,1
636,E01000650,4,4,1
637,E01000651,3,3,1
638,E01000652,3,3,1
639,E01000653,4,4,1
640,E01000654,4,4,1
641,E01000655,4,3,0
642,E01000656,11,11,1
643,E01000657,9,4,0
644,E01000658,4,4,1
645,E01000659,3,3,1
646,E01000661,4,4,1
647,E01000662,3,3,1
648,E01000663,3,3,1
649,E01000664,3,3,1
650,E01000665,4,3,0
651,E01000666,11,11,1
652,E01000667,4,4,1
653,E01000668,3,3,1
654,E01000669,3,3,1
655,E01000670,3,3,1
656,E01000671,3,3,1
657,E01000672,3,3,1
658,E01000673,4,4,1
659,E01000674,3,3,1
660,E01000675,3,3,1
661,E01000676,10,10,1
662,E01000677,10,10,1
663,E01000678,9,3,0
664,E01000679,9,9,1
665,E01000680,11,11,1
666,E01000681,3,9,0
667,E01000682,4,3,0
668,E01000683,3,3,1
669,E01000684,3,3,1
670,E01000685,4,4,1
671,E01000686,4,4,1
672,E01000687,9,3,0
673,E01000688,4,4,1
674,E01000689,4,4,1
675,E01000690,3,9,0
676,E01000691,9,3,0
677,E01000692,3,3,1
678,E01000693,11,11,1
679,E01000694,4,4,1
680,E01000695,4,4,1
681,E01000696,11,11,1
682,E01000697,4,4,1
683,E01000698,11,11,1
684,E01000699,3,9,0
685,E01000700,10,3,0
686,E01000701,9,9,1
687,E01000702,3,9,0
688,E01000703,3,3,1
689,E01000704,9,9,1
690,E01000705,3,3,1
691,E01000706,3,10,0
692,E01000707,3,3,1
693,E01000708,9,9,1
694,E01000709,5,4,0
695,E01000710,5,5,1
696,E01000711,5,5,1
697,E01000712,5,3,0
698,E01000713,5,5,1
699,E01000714,3,3,1
700,E01000715,3,3,1
701,E01000716,3,3,1
702,E01000717,3,3,1
703,E01000718,4,4,1
704,E01000719,4,4,1
705,E01000720,11,11,1
706,E01000721,4,4,1
707,E01000722,4,5,0
708,E01000723,3,3,1
709,E01000724,4,4,1
710,E01000725,3,3,1
711,E01000726,3,3,1
712,E01000727,9,3,0
713,E01000728,11,11,1
714,E01000729,3,3,1
715,E01000730,5,3,0
716,E01000731,3,3,1
717,E01000732,3,3,1
718,E01000733,4,4,1
719,E01000734,3,3,1
720,E01000735,5,4,0
721,E01000736,5,5,1
722,E01000737,4,4,1
723,E01000738,5,5,1
724,E01000739,3,3,1
725,E01000740,5,5,1
726,E01000741,10,6,0
727,E01000742,4,4,1
728,E01000743,3,3,1
729,E01000744,3,3,1
730,E01000745,5,5,1
731,E01000746,3,3,1
732,E01000747,11,11,1
733,E01000748,11,11,1
734,E01000749,11,11,1
735,E01000750,4,4,1
736,E01000751,4,4,1
737,E01000752,11,11,1
738,E01000753,3,3,1
739,E01000754,3,4,0
740,E01000755,3,3,1
741,E01000756,5,4,0
742,E01000757,3,3,1
743,E01000758,3,3,1
744,E01000759,11,11,1
745,E01000760,3,4,0
746,E01000761,4,4,1
747,E01000762,5,5,1
748,E01000763,3,3,1
749,E01000764,3,3,1
750,E01000765,11,11,1
751,E01000766,3,3,1
752,E01000767,3,3,1
753,E01000768,3,3,1
754,E01000769,3,3,1
755,E01000770,4,4,1
756,E01000771,9,9,1
757,E01000772,4,4,1
758,E01000773,9,9,1
759,E01000774,3,3,1
760,E01000775,4,4,1
761,E01000777,9,9,1
762,E01000778,9,9,1
763,E01000779,4,4,1
764,E01000780,9,9,1
765,E01000781,3,3,1
766,E01000782,4,3,0
767,E01000783,3,3,1
768,E01000784,9,3,0
769,E01000785,3,3,1
770,E01000786,4,4,1
771,E01000787,3,3,1
772,E01000788,4,4,1
773,E01000789,3,3,1
774,E01000790,3,3,1
775,E01000791,5,5,1
776,E01000792,3,3,1
777,E01000793,3,3,1
778,E01000794,3,3,1
779,E01000795,3,3,1
780,E01000796,3,3,1
781,E01000797,4,4,1
