LSOA11CD,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Terraced,count,lsoa
E01002939,0.02666666666666667,0.04666666666666667,0.013333333333333334,0.49333333333333335,0.04,0.38,0.0,150,E01002939
E01002940,0.0,0.11864406779661017,0.01694915254237288,0.5338983050847458,0.025423728813559324,0.3050847457627119,0.0,118,E01002940
E01002941,0.04945054945054945,0.016483516483516484,0.0,0.5054945054945055,0.16483516483516483,0.25274725274725274,0.01098901098901099,182,E01002941
E01002942,0.0,0.01639344262295082,0.040983606557377046,0.7049180327868853,0.0,0.23770491803278687,0.0,122,E01002942
E01002943,0.0,0.048,0.016,0.72,0.024,0.192,0.0,125,E01002943
E01002944,0.0,0.052083333333333336,0.041666666666666664,0.5104166666666666,0.14583333333333334,0.25,0.0,96,E01002944
E01002945,0.006993006993006993,0.027972027972027972,0.04195804195804196,0.5804195804195804,0.006993006993006993,0.32867132867132864,0.006993006993006993,143,E01002945
E01002946,0.0,0.061224489795918366,0.01020408163265306,0.6020408163265306,0.08163265306122448,0.24489795918367346,0.0,98,E01002946
E01002947,0.0,0.01,0.01,0.74,0.01,0.23,0.0,100,E01002947
E01002948,0.0,0.002070393374741201,0.008281573498964804,0.13250517598343686,0.6728778467908902,0.18426501035196688,0.0,483,E01002948
E01002949,0.0,0.04516129032258064,0.0,0.44516129032258067,0.03225806451612903,0.4774193548387097,0.0,155,E01002949
E01002950,0.0,0.028846153846153848,0.04807692307692308,0.40384615384615385,0.25961538461538464,0.25961538461538464,0.0,104,E01002950
E01002951,0.0,0.07407407407407407,0.018518518518518517,0.42592592592592593,0.2037037037037037,0.24074074074074073,0.037037037037037035,54,E01002951
E01002952,0.0,0.00819672131147541,0.00819672131147541,0.22950819672131148,0.3524590163934426,0.4016393442622951,0.0,122,E01002952
E01002953,0.004016064257028112,0.008032128514056224,0.004016064257028112,0.08835341365461848,0.606425702811245,0.2891566265060241,0.0,249,E01002953
E01002954,0.02631578947368421,0.02631578947368421,0.0,0.2631578947368421,0.10526315789473684,0.5789473684210527,0.0,38,E01002954
E01002955,0.011363636363636364,0.0,0.011363636363636364,0.36363636363636365,0.20454545454545456,0.4090909090909091,0.0,176,E01002955
E01002956,0.0,0.011363636363636364,0.017045454545454544,0.3409090909090909,0.30113636363636365,0.32954545454545453,0.0,176,E01002956
E01002957,0.0,0.05357142857142857,0.14285714285714285,0.14285714285714285,0.48214285714285715,0.17857142857142858,0.0,56,E01002957
E01002958,0.01818181818181818,0.01818181818181818,0.03636363636363636,0.7454545454545455,0.03636363636363636,0.01818181818181818,0.12727272727272726,55,E01002958
E01002959,0.0,0.006993006993006993,0.006993006993006993,0.6503496503496503,0.06993006993006994,0.26573426573426573,0.0,143,E01002959
