,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Terraced,count_x,lsoa,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Terraced,count_y,proportion_Commercial,proportion_Estates,proportion_High-density,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Terraced
3914,0.03571428571428571,0.25,0.35714285714285715,0.14285714285714285,0.03571428571428571,0.14285714285714285,0.03571428571428571,28,E01004013,0.034482758620689655,0.10344827586206896,0.5172413793103449,0.13793103448275862,0.0,0.1724137931034483,0.034482758620689655,29,-0.0012315270935960576,-0.14655172413793105,0.1600985221674877,-0.0049261083743842304,-0.03571428571428571,0.029556650246305438,-0.0012315270935960576
3915,0.0,0.058823529411764705,0.5294117647058824,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.0,17,E01004014,0.0,0.11764705882352941,0.4117647058823529,0.11764705882352941,0.23529411764705882,0.11764705882352941,0.0,17,0.0,0.058823529411764705,-0.11764705882352944,0.058823529411764705,0.0,0.0,0.0
3916,0.01639344262295082,0.03278688524590164,0.00819672131147541,0.1557377049180328,0.36065573770491804,0.20491803278688525,0.22131147540983606,122,E01004015,0.017391304347826087,0.05217391304347826,0.008695652173913044,0.11304347826086956,0.4260869565217391,0.1391304347826087,0.24347826086956523,115,0.0009978617248752666,0.019387027797576617,0.0004989308624376333,-0.04269422665716323,0.06543121881682107,-0.06578759800427655,0.022166785459729166
3917,0.005952380952380952,0.041666666666666664,0.07142857142857142,0.11904761904761904,0.3392857142857143,0.041666666666666664,0.38095238095238093,168,E01004016,0.006289308176100629,0.06918238993710692,0.06918238993710692,0.10062893081761007,0.33962264150943394,0.031446540880503145,0.3836477987421384,159,0.0003369272237196772,0.027515723270440252,-0.002246181491464508,-0.018418688230008973,0.0003369272237196408,-0.01022012578616352,0.0026954177897574594
3918,0.02877697841726619,0.0,0.0,0.4244604316546763,0.2733812949640288,0.08633093525179857,0.18705035971223022,139,E01004017,0.0,0.02040816326530612,0.0,0.43537414965986393,0.32653061224489793,0.05442176870748299,0.16326530612244897,147,-0.02877697841726619,0.02040816326530612,0.0,0.010913718005187645,0.053149317280869135,-0.031909166544315574,-0.023785053589781252
3919,0.042735042735042736,0.0,0.017094017094017096,0.41025641025641024,0.15384615384615385,0.017094017094017096,0.358974358974359,117,E01004018,0.047244094488188976,0.007874015748031496,0.023622047244094488,0.4094488188976378,0.15748031496062992,0.047244094488188976,0.30708661417322836,127,0.00450905175314624,0.007874015748031496,0.006528030150077392,-0.0008075913587724526,0.0036341611144760644,0.03015007739417188,-0.05188774480113062
3920,0.020833333333333332,0.0,0.16666666666666666,0.22916666666666666,0.10416666666666667,0.10416666666666667,0.375,48,E01004019,0.023255813953488372,0.023255813953488372,0.13953488372093023,0.16279069767441862,0.046511627906976744,0.09302325581395349,0.5116279069767442,43,0.0024224806201550396,0.023255813953488372,-0.027131782945736427,-0.06637596899224804,-0.05765503875968993,-0.011143410852713184,0.1366279069767442
3921,0.0,0.05714285714285714,0.05714285714285714,0.2,0.37142857142857144,0.08571428571428572,0.22857142857142856,35,E01004020,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.22857142857142856,0.2,0.11428571428571428,0.2857142857142857,35,0.05714285714285714,0.0,0.0,0.028571428571428553,-0.17142857142857143,0.028571428571428567,0.057142857142857134
3922,0.0,0.0,0.031746031746031744,0.14285714285714285,0.06349206349206349,0.015873015873015872,0.746031746031746,63,E01004021,0.0,0.0,0.015384615384615385,0.2153846153846154,0.06153846153846154,0.03076923076923077,0.676923076923077,65,0.0,0.0,-0.01636141636141636,0.07252747252747255,-0.0019536019536019467,0.014896214896214899,-0.06910866910866909
3923,0.02564102564102564,0.1282051282051282,0.358974358974359,0.1282051282051282,0.02564102564102564,0.3333333333333333,0.0,39,E01004022,0.02702702702702703,0.10810810810810811,0.4594594594594595,0.16216216216216217,0.0,0.24324324324324326,0.0,37,0.0013860013860013884,-0.02009702009702008,0.10048510048510051,0.03395703395703398,-0.02564102564102564,-0.09009009009009006,0.0
