"","LSOA11CD","clusters_2018_cleanup_Commercial","clusters_2018_cleanup_Estates","clusters_2018_cleanup_High.density","clusters_2018_cleanup_Low.density","clusters_2018_cleanup_Open.green.space","clusters_2018_cleanup_Other.green","clusters_2018_cleanup_Terraced","count","lsoa","hierarchical8"
"4102","E01004217",0.0454545454545455,0.0984848484848485,0.303030303030303,0.136363636363636,0.242424242424242,0.151515151515152,0.0227272727272727,132,"E01004217",1
"4103","E01004218",0.0555555555555556,0.240740740740741,0.351851851851852,0.185185185185185,0,0.166666666666667,0,54,"E01004218",1
"4104","E01004219",0.188679245283019,0.0754716981132075,0.377358490566038,0,0.0377358490566038,0.264150943396226,0.0566037735849057,53,"E01004219",1
"4105","E01004221",0.121212121212121,0.106060606060606,0.53030303030303,0.0606060606060606,0,0.106060606060606,0.0757575757575758,66,"E01004221",2
"4106","E01004222",0.115942028985507,0.188405797101449,0.347826086956522,0.27536231884058,0,0.0434782608695652,0.0289855072463768,69,"E01004222",1
"4107","E01004223",0.0161290322580645,0.129032258064516,0.209677419354839,0.0806451612903226,0.370967741935484,0.145161290322581,0.0483870967741935,62,"E01004223",1
"4108","E01004224",0.168421052631579,0.0947368421052632,0.294736842105263,0.0736842105263158,0.157894736842105,0.2,0.0105263157894737,95,"E01004224",1
"4109","E01004225",0.0909090909090909,0.0545454545454545,0.309090909090909,0.0909090909090909,0,0,0.454545454545455,55,"E01004225",6
"4110","E01004226",0.353846153846154,0.0769230769230769,0.461538461538462,0.0461538461538462,0,0,0.0615384615384615,65,"E01004226",1
"4111","E01004228",0.0428571428571429,0.0642857142857143,0.207142857142857,0.0214285714285714,0,0.00714285714285714,0.657142857142857,140,"E01004228",6
"4112","E01004229",0.051948051948052,0.181818181818182,0.337662337662338,0.103896103896104,0,0,0.324675324675325,77,"E01004229",1
"4113","E01004230",0.103448275862069,0.0344827586206897,0.183908045977011,0.0574712643678161,0.149425287356322,0.103448275862069,0.367816091954023,87,"E01004230",1
"4114","E01004231",0.0888888888888889,0.244444444444444,0.444444444444444,0.0666666666666667,0.0222222222222222,0.111111111111111,0.0222222222222222,45,"E01004231",1
"4115","E01004232",0.126050420168067,0.176470588235294,0.285714285714286,0.0336134453781513,0.00840336134453781,0.0756302521008403,0.294117647058824,119,"E01004232",1
"4116","E01004233",0.111111111111111,0.333333333333333,0.388888888888889,0,0.0555555555555556,0.111111111111111,0,18,"E01004233",1
"4117","E01004234",0.0521739130434783,0.0565217391304348,0.169565217391304,0.0217391304347826,0.3,0.117391304347826,0.282608695652174,230,"E01004234",1
"4118","E01004235",0.05,0.65,0.1,0,0,0.2,0,20,"E01004235",8
"4119","E01004236",0,0.442307692307692,0.307692307692308,0.115384615384615,0,0.0961538461538462,0.0384615384615385,52,"E01004236",1
"4120","E01004237",0,0.242424242424242,0.666666666666667,0.0303030303030303,0,0.0606060606060606,0,33,"E01004237",2
