"","oa_name","clusters_2011_cleanup_Commercial","clusters_2011_cleanup_Estates","clusters_2011_cleanup_High.density","clusters_2011_cleanup_Low.density","clusters_2011_cleanup_Open.green.space","clusters_2011_cleanup_Other.green","clusters_2011_cleanup_Terraced","count","OA","hierarchical8"
"16708","E00017375",0,0.03125,0.0625,0.53125,0.1875,0.15625,0.03125,32,"E00017375",9
"16709","E00017376",0.0571428571428571,0.0142857142857143,0,0.285714285714286,0.328571428571429,0.314285714285714,0,70,"E00017376",11
"16710","E00017377",0,0,0.0588235294117647,0.847058823529412,0.0235294117647059,0.0470588235294118,0.0235294117647059,85,"E00017377",9
"16711","E00017378",0,0,0.0161290322580645,0.67741935483871,0,0.306451612903226,0,62,"E00017378",9
"16712","E00017379",0.0303030303030303,0,0.151515151515152,0.121212121212121,0.303030303030303,0.393939393939394,0,33,"E00017379",6
"16713","E00017380",0,0,0.075,0.8,0,0.125,0,40,"E00017380",9
"16714","E00017381",0,0,0.0476190476190476,0.0476190476190476,0.19047619047619,0.714285714285714,0,21,"E00017381",8
"16715","E00017382",0,0.358974358974359,0.128205128205128,0.282051282051282,0.0256410256410256,0.205128205128205,0,39,"E00017382",7
"16716","E00017383",0,0.0909090909090909,0.0909090909090909,0.363636363636364,0.181818181818182,0.272727272727273,0,11,"E00017383",6
"16717","E00017384",0,0.0555555555555556,0.0833333333333333,0.416666666666667,0.222222222222222,0.222222222222222,0,36,"E00017384",6
"16718","E00017385",0,0.13953488372093,0,0.604651162790698,0.0232558139534884,0.232558139534884,0,43,"E00017385",9
"16719","E00017386",0.0212765957446809,0.127659574468085,0,0.234042553191489,0.148936170212766,0.468085106382979,0,47,"E00017386",6
"16720","E00017387",0,0.194444444444444,0.0277777777777778,0.5,0,0.277777777777778,0,36,"E00017387",4
"16721","E00017388",0,0.0731707317073171,0.0487804878048781,0.341463414634146,0.304878048780488,0.231707317073171,0,82,"E00017388",6
"16722","E00017389",0,0.277777777777778,0.0555555555555556,0.5,0,0.166666666666667,0,18,"E00017389",4
"16723","E00017390",0,0.166666666666667,0.0416666666666667,0.375,0.0416666666666667,0.375,0,48,"E00017390",6
"16724","E00017391",0,0.025,0,0.3,0,0.675,0,40,"E00017391",6
"16725","E00017392",0,0.137931034482759,0.0689655172413793,0.482758620689655,0.0689655172413793,0.241379310344828,0,29,"E00017392",6
"16726","E00017393",0,0,0.075,0.3,0.425,0.2,0,40,"E00017393",11
"16727","E00017394",0.673913043478261,0.0217391304347826,0,0.0869565217391304,0.0652173913043478,0.152173913043478,0,46,"E00017394",3
"16728","E00017395",0,0.0178571428571429,0.0178571428571429,0.0535714285714286,0.160714285714286,0.732142857142857,0.0178571428571429,56,"E00017395",8
"16729","E00017396",0.0357142857142857,0.125,0,0.392857142857143,0,0.446428571428571,0,56,"E00017396",6
"16730","E00017397",0.0212765957446809,0.191489361702128,0.0851063829787234,0.276595744680851,0.212765957446809,0.212765957446809,0,47,"E00017397",11
"16731","E00017398",0,0.0714285714285714,0.0952380952380952,0.428571428571429,0,0.404761904761905,0,42,"E00017398",6
"16732","E00017399",0.0612244897959184,0.0204081632653061,0.0408163265306122,0.326530612244898,0.0816326530612245,0.469387755102041,0,49,"E00017399",6
"16733","E00017400",0.0204081632653061,0,0.0204081632653061,0.551020408163265,0.0204081632653061,0.306122448979592,0.0816326530612245,49,"E00017400",6
"16734","E00017401",0,0.142857142857143,0.0204081632653061,0.489795918367347,0.102040816326531,0.244897959183673,0,49,"E00017401",6
"16735","E00017402",0.0588235294117647,0,0.117647058823529,0.352941176470588,0.0588235294117647,0.352941176470588,0.0588235294117647,17,"E00017402",6
"16736","E00017403",0,0.02,0.04,0.62,0.14,0.16,0.02,50,"E00017403",9
"16737","E00017404",0,0.0232558139534884,0.0232558139534884,0.720930232558139,0,0.232558139534884,0,43,"E00017404",9
"16738","E00017405",0.0161290322580645,0,0,0.741935483870968,0.0483870967741935,0.193548387096774,0,62,"E00017405",9
"16739","E00017406",0,0.0588235294117647,0,0.264705882352941,0.176470588235294,0.5,0,34,"E00017406",6
"16740","E00017407",0,0,0,0.761904761904762,0.0317460317460317,0.206349206349206,0,63,"E00017407",9
"16741","E00017408",0,0.0476190476190476,0,0.476190476190476,0.238095238095238,0.238095238095238,0,63,"E00017408",6
"16742","E00017409",0,0,0,0.65,0,0.35,0,40,"E00017409",9
"16743","E00017410",0.0769230769230769,0.0512820512820513,0.0256410256410256,0.564102564102564,0.0256410256410256,0.256410256410256,0,39,"E00017410",9
"16744","E00017411",0.0192307692307692,0.0192307692307692,0.0192307692307692,0.519230769230769,0.0961538461538462,0.326923076923077,0,52,"E00017411",6
"16745","E00017412",0,0.032258064516129,0,0.483870967741935,0,0.483870967741935,0,31,"E00017412",6
"16746","E00017413",0,0.181818181818182,0,0.484848484848485,0.212121212121212,0.121212121212121,0,33,"E00017413",4
"16747","E00017414",0,0,0.0697674418604651,0.534883720930233,0.162790697674419,0.232558139534884,0,43,"E00017414",9
"16748","E00017415",0,0,0.0526315789473684,0.684210526315789,0,0.157894736842105,0.105263157894737,19,"E00017415",9
"16749","E00017416",0,0,0.0175438596491228,0.578947368421053,0.210526315789474,0.157894736842105,0.0350877192982456,57,"E00017416",9
"16750","E00017417",0,0,0,0.485294117647059,0.0882352941176471,0.411764705882353,0.0147058823529412,68,"E00017417",6
"16751","E00017418",0,0,0,0.775,0,0.025,0.2,40,"E00017418",9
"16752","E00017419",0,0.0416666666666667,0,0.708333333333333,0.0416666666666667,0.166666666666667,0.0416666666666667,24,"E00017419",9
"16753","E00017420",0,0.0303030303030303,0.0606060606060606,0.696969696969697,0,0.212121212121212,0,33,"E00017420",9
"16754","E00017421",0.037037037037037,0.037037037037037,0.148148148148148,0.444444444444444,0.222222222222222,0.037037037037037,0.0740740740740741,27,"E00017421",9
"16755","E00017422",0,0,0,0.584905660377358,0.150943396226415,0.226415094339623,0.0377358490566038,53,"E00017422",9
"16756","E00017423",0,0,0,0.333333333333333,0.0980392156862745,0.549019607843137,0.0196078431372549,51,"E00017423",6
"16757","E00017424",0,0,0.032258064516129,0.741935483870968,0,0,0.225806451612903,31,"E00017424",9
"16758","E00017425",0.025,0.025,0,0.375,0.175,0.4,0,40,"E00017425",6
"16759","E00017426",0,0,0,0.722222222222222,0.0555555555555556,0.222222222222222,0,18,"E00017426",9
"16760","E00017427",0,0.0277777777777778,0,0.472222222222222,0.0277777777777778,0.166666666666667,0.305555555555556,36,"E00017427",4
"16761","E00017428",0,0,0,0.6,0.05,0.1,0.25,20,"E00017428",9
"16762","E00017429",0,0,0,0.846153846153846,0,0.153846153846154,0,13,"E00017429",9
"16763","E00017430",0.0277777777777778,0,0.0833333333333333,0.194444444444444,0,0.111111111111111,0.583333333333333,36,"E00017430",5
"16764","E00017431",0,0.027027027027027,0,0.621621621621622,0.027027027027027,0.324324324324324,0,37,"E00017431",9
"16765","E00017432",0,0.111111111111111,0,0.666666666666667,0,0.111111111111111,0.111111111111111,18,"E00017432",9
"16766","E00017433",0,0,0,0.338028169014085,0.0704225352112676,0.591549295774648,0,71,"E00017433",6
"16767","E00017434",0,0,0.0540540540540541,0.540540540540541,0.0540540540540541,0.351351351351351,0,37,"E00017434",6
"16768","E00017436",0.112903225806452,0,0,0.516129032258065,0.112903225806452,0.258064516129032,0,62,"E00017436",6
"16769","E00017437",0.415094339622642,0,0.113207547169811,0.226415094339623,0.0377358490566038,0.169811320754717,0.0377358490566038,53,"E00017437",1
"16770","E00017438",0,0,0,0.53448275862069,0.362068965517241,0.103448275862069,0,58,"E00017438",9
"16771","E00017439",0,0,0.0392156862745098,0.137254901960784,0.372549019607843,0.450980392156863,0,51,"E00017439",11
"16772","E00017440",0,0,0.545454545454545,0.272727272727273,0,0.181818181818182,0,11,"E00017440",4
"16773","E00017441",0,0,0.216216216216216,0.135135135135135,0.27027027027027,0.378378378378378,0,37,"E00017441",6
"16774","E00017442",0,0,0.106060606060606,0.0757575757575758,0.621212121212121,0.196969696969697,0,66,"E00017442",12
"16775","E00017443",0,0.0793650793650794,0.0317460317460317,0,0.507936507936508,0.380952380952381,0,63,"E00017443",11
"16776","E00017444",0,0.133333333333333,0,0.133333333333333,0.533333333333333,0.2,0,15,"E00017444",11
"16777","E00017445",0,0.25,0,0.416666666666667,0.0833333333333333,0.25,0,12,"E00017445",4
"16778","E00017446",0,0.027027027027027,0.027027027027027,0.540540540540541,0.162162162162162,0.243243243243243,0,37,"E00017446",9
"16779","E00017447",0,0,0,0.352112676056338,0.211267605633803,0.422535211267606,0.0140845070422535,71,"E00017447",6
