OA11CD,Commercial,Estates,Fences,High-density,Leafy green residential,Low-density,Open green space,Other green,Sheds,Terraced,Vehicles
E00000102,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
E00000103,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0
E00000104,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E00000106,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
E00000107,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
E00000108,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
E00000109,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0
E00000110,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
E00000111,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0
E00000112,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
E00000113,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
E00000114,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
E00000115,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
E00000116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
E00000117,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
E00000118,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0
E00000119,0.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0
E00000120,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
E00000121,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
E00000122,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
E00000123,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
E00000124,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
E00000125,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
E00000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000127,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
E00000128,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0
E00000129,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
E00000130,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0
E00000131,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0
E00000132,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0
E00000133,0.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0
E00000134,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0
E00000135,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
E00000136,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
E00000137,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
E00000138,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
E00000139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
