,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,LSOA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
2306,1,1,1,1,1,4,1,2,2,1,1,E01002360,1,1,1,1,2,3,1,3,1,0,2,-1.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0
2307,2,1,1,1,1,2,1,2,1,1,1,E01002361,2,1,1,1,1,2,1,2,1,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2308,1,1,1,0,1,5,1,2,1,1,1,E01002362,1,1,1,1,2,4,1,3,1,1,2,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2309,1,1,1,1,1,5,2,1,1,1,1,E01002363,1,1,1,1,1,4,1,2,1,1,2,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2310,0,1,1,0,1,6,1,2,1,1,1,E01002364,0,1,1,1,1,5,1,2,1,1,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2311,2,1,1,1,1,6,1,1,1,0,1,E01002365,2,0,1,0,1,5,1,1,1,1,2,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0
2312,0,1,0,0,1,6,1,1,2,1,1,E01002366,0,1,1,0,1,5,1,1,1,1,2,-1.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
2313,1,1,1,1,1,5,1,1,2,1,1,E01002367,1,1,1,1,1,4,1,1,1,1,2,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2314,1,1,1,1,1,2,5,1,1,1,1,E01002368,1,1,1,1,1,1,3,2,1,0,1,-1.0,-2.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
2315,0,1,1,1,1,5,1,2,2,1,1,E01002369,0,1,1,1,1,5,1,2,2,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2316,1,1,1,1,1,2,6,2,1,0,1,E01002370,1,1,1,1,1,1,4,2,1,1,1,-1.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2317,1,1,1,1,1,5,1,2,1,1,1,E01002371,1,1,1,1,1,4,1,2,1,1,2,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2318,1,1,1,1,1,5,1,3,2,1,1,E01002372,1,1,1,1,1,5,1,2,1,1,1,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2319,0,1,1,1,1,4,1,3,1,1,1,E01002373,0,1,1,1,1,4,1,2,2,1,2,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2320,1,1,1,1,1,4,1,2,2,1,1,E01002374,1,1,1,1,1,4,1,3,1,1,2,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2321,0,1,1,1,1,3,3,2,1,1,1,E01002375,1,1,1,1,1,2,2,2,2,1,1,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2322,1,1,1,1,2,5,1,2,1,1,1,E01002376,0,1,1,1,2,5,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2323,1,1,1,1,1,4,2,2,2,1,1,E01002377,1,1,1,1,1,3,1,2,1,1,2,-1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
