"","clusters_2011_cleanup_Commercial","clusters_2011_cleanup_Estates","clusters_2011_cleanup_High.density","clusters_2011_cleanup_Low.density","clusters_2011_cleanup_Open.green.space","clusters_2011_cleanup_Other.green","clusters_2011_cleanup_Terraced","hierarchical8","LSOA11CD"
"616",0.00829875518672199,0.004149377593361,0.012448132780083,0.755186721991701,0.045643153526971,0.157676348547718,0.016597510373444,3,"E01000629"
"617",0.0324675324675325,0.038961038961039,0.0584415584415584,0.616883116883117,0,0.149350649350649,0.103896103896104,3,"E01000630"
"618",0,0.0189873417721519,0.0253164556962025,0.60126582278481,0.0189873417721519,0.310126582278481,0.0253164556962025,3,"E01000631"
"619",0.0236686390532544,0.0118343195266272,0.0118343195266272,0.781065088757396,0.00591715976331361,0.159763313609467,0.00591715976331361,3,"E01000632"
"620",0.160493827160494,0.037037037037037,0.0555555555555556,0.561728395061728,0,0.111111111111111,0.0740740740740741,3,"E01000633"
"621",0.06,0.0266666666666667,0.08,0.54,0.0266666666666667,0.213333333333333,0.0533333333333333,6,"E01000634"
"622",0.223255813953488,0.00930232558139535,0.0976744186046512,0.306976744186047,0.0511627906976744,0.0790697674418605,0.232558139534884,5,"E01000635"
"623",0.0878378378378378,0,0.0540540540540541,0.648648648648649,0.00675675675675676,0.0608108108108108,0.141891891891892,3,"E01000636"
"624",0,0,0.0125,0.1375,0,0,0.85,5,"E01000637"
"625",0.212765957446809,0.0212765957446809,0.0851063829787234,0.0638297872340425,0.0212765957446809,0,0.595744680851064,5,"E01000638"
"626",0,0.0792079207920792,0.0495049504950495,0.277227722772277,0,0,0.594059405940594,5,"E01000639"
"627",0.319444444444444,0.0208333333333333,0.0763888888888889,0.0972222222222222,0.00694444444444444,0.0347222222222222,0.444444444444444,5,"E01000640"
"628",0,0.00961538461538462,0.115384615384615,0.115384615384615,0.00961538461538462,0.0288461538461538,0.721153846153846,5,"E01000641"
"629",0.346666666666667,0.06,0.08,0.166666666666667,0.0133333333333333,0.0266666666666667,0.306666666666667,5,"E01000642"
"630",0,0.12781954887218,0.0300751879699248,0.345864661654135,0.176691729323308,0.278195488721804,0.0413533834586466,6,"E01000643"
"631",0.0761904761904762,0.019047619047619,0.104761904761905,0.20952380952381,0,0.0571428571428571,0.533333333333333,5,"E01000644"
"632",0,0.0148619957537155,0.00212314225053079,0.282377919320594,0.375796178343949,0.32484076433121,0,7,"E01000645"
"633",0.0267857142857143,0.00892857142857143,0.0178571428571429,0.388392857142857,0.169642857142857,0.388392857142857,0,6,"E01000646"
"634",0.00505050505050505,0.0202020202020202,0.0202020202020202,0.661616161616162,0.0303030303030303,0.121212121212121,0.141414141414141,3,"E01000647"
"635",0.0128205128205128,0.0341880341880342,0.0256410256410256,0.52991452991453,0.106837606837607,0.252136752136752,0.0384615384615385,6,"E01000648"
"636",0.00529100529100529,0.0582010582010582,0.0740740740740741,0.333333333333333,0.201058201058201,0.322751322751323,0.00529100529100529,6,"E01000649"
"637",0.00423728813559322,0.0127118644067797,0.0233050847457627,0.377118644067797,0.283898305084746,0.296610169491525,0.00211864406779661,6,"E01000650"
"638",0,0.040983606557377,0.0327868852459016,0.508196721311475,0.127049180327869,0.270491803278689,0.0204918032786885,6,"E01000651"
"639",0.0120481927710843,0.0210843373493976,0.00602409638554217,0.593373493975904,0.0602409638554217,0.30421686746988,0.00301204819277108,3,"E01000652"
"640",0,0.0244648318042813,0.018348623853211,0.403669724770642,0.296636085626911,0.253822629969419,0.00305810397553517,6,"E01000653"
"641",0,0.0115606936416185,0.023121387283237,0.416184971098266,0.341040462427746,0.208092485549133,0,6,"E01000654"
"642",0,0.0482758620689655,0.0482758620689655,0.4,0.2,0.303448275862069,0,6,"E01000655"
"643",0,0.00862068965517241,0.0137931034482759,0.205172413793103,0.618965517241379,0.153448275862069,0,7,"E01000656"
"644",0.00917431192660551,0.0229357798165138,0.0229357798165138,0.541284403669725,0.155963302752294,0.247706422018349,0,6,"E01000657"
"645",0.00292397660818713,0.0146198830409357,0,0.432748538011696,0.225146198830409,0.324561403508772,0,6,"E01000658"
"646",0,0.0328638497652582,0.0610328638497653,0.488262910798122,0.192488262910798,0.225352112676056,0,6,"E01000659"
"647",0.00309597523219814,0.108359133126935,0.0185758513931889,0.219814241486068,0.377708978328173,0.26625386996904,0.00619195046439629,7,"E01000661"
"648",0,0.0221518987341772,0.0126582278481013,0.585443037974684,0.110759493670886,0.268987341772152,0,3,"E01000662"
"649",0,0.119834710743802,0,0.471074380165289,0.00826446280991736,0.400826446280992,0,6,"E01000663"
"650",0,0.106837606837607,0.0128205128205128,0.602564102564103,0.0128205128205128,0.260683760683761,0.00427350427350427,3,"E01000664"
"651",0.00767263427109974,0.0179028132992327,0.0383631713554987,0.434782608695652,0.250639386189258,0.225063938618926,0.0255754475703325,6,"E01000665"
"652",0.0010351966873706,0.0041407867494824,0.0020703933747412,0.178053830227743,0.63871635610766,0.17287784679089,0.0031055900621118,7,"E01000666"
"653",0,0.00236406619385343,0.00236406619385343,0.269503546099291,0.444444444444444,0.281323877068558,0,7,"E01000667"
"654",0.05,0.00833333333333333,0.0416666666666667,0.504166666666667,0.0875,0.154166666666667,0.154166666666667,3,"E01000668"
"655",0.0229885057471264,0.028735632183908,0.028735632183908,0.494252873563218,0.0344827586206897,0.0804597701149425,0.310344827586207,3,"E01000669"
"656",0.0164473684210526,0.0394736842105263,0.0131578947368421,0.549342105263158,0.0756578947368421,0.302631578947368,0.00328947368421053,6,"E01000670"
"657",0.0191387559808612,0.0382775119617225,0.0239234449760766,0.607655502392344,0.076555023923445,0.200956937799043,0.0334928229665072,3,"E01000671"
"658",0.00467289719626168,0.0841121495327103,0.0280373831775701,0.481308411214953,0.210280373831776,0.186915887850467,0.00467289719626168,6,"E01000672"
"659",0,0.00925925925925926,0.0416666666666667,0.37037037037037,0.217592592592593,0.263888888888889,0.0972222222222222,6,"E01000673"
"660",0.0508474576271186,0.0621468926553672,0.0621468926553672,0.361581920903955,0.163841807909605,0.231638418079096,0.0677966101694915,6,"E01000674"
"661",0.155425219941349,0.0146627565982405,0.0997067448680352,0.398826979472141,0.0850439882697947,0.18475073313783,0.06158357771261,6,"E01000675"
"662",0.227467811158798,0.0429184549356223,0.128755364806867,0.150214592274678,0.197424892703863,0.124463519313305,0.128755364806867,6,"E01000676"
"663",0.0641025641025641,0.0299145299145299,0.0555555555555556,0.35042735042735,0.179487179487179,0.158119658119658,0.162393162393162,6,"E01000677"
"664",0.00869565217391304,0.00434782608695652,0.0260869565217391,0.691304347826087,0.0478260869565217,0.2,0.0217391304347826,3,"E01000678"
"665",0.0346534653465347,0.00495049504950495,0.00495049504950495,0.589108910891089,0.0247524752475248,0.143564356435644,0.198019801980198,3,"E01000679"
"666",0.000537056928034372,0.00268528464017186,0.00268528464017186,0.0719656283566058,0.822234156820623,0.0993555316863588,0.000537056928034372,7,"E01000680"
