,Commercial,Estates,Green space,High-density,Low-density,lsoa
205,0,0,0,0,0,E01000219
206,0,0,0,0,1,E01000220
207,0,1,1,0,1,E01000221
208,0,0,0,0,0,E01000222
209,0,0,1,0,1,E01000223
210,0,0,0,0,0,E01000224
211,0,0,0,0,1,E01000225
212,0,0,0,0,0,E01000226
213,0,0,0,0,1,E01000227
214,0,0,0,0,0,E01000228
215,0,0,0,0,0,E01000229
216,0,0,0,0,1,E01000230
217,0,0,0,1,1,E01000231
218,0,0,0,0,0,E01000232
219,0,0,0,0,0,E01000233
220,0,0,0,0,0,E01000234
221,0,0,0,0,0,E01000235
222,0,0,0,0,0,E01000236
223,0,0,0,0,0,E01000237
224,0,0,0,0,0,E01000238
225,0,0,0,0,0,E01000239
226,0,1,0,0,1,E01000240
227,0,0,0,0,0,E01000241
228,0,0,0,0,1,E01000242
229,0,0,0,0,0,E01000243
230,0,0,0,0,0,E01000244
231,0,1,0,0,0,E01000245
232,0,0,0,0,0,E01000246
233,0,0,0,0,0,E01000247
234,0,0,0,0,0,E01000248
235,0,0,0,0,0,E01000249
236,0,0,0,0,1,E01000250
237,0,0,0,0,0,E01000251
238,0,0,0,0,0,E01000252
239,0,0,0,0,0,E01000253
240,0,0,0,0,0,E01000254
241,0,0,0,0,0,E01000255
242,0,0,0,0,0,E01000256
243,0,0,0,0,0,E01000257
244,0,0,0,0,0,E01000258
245,0,0,0,0,0,E01000259
246,0,0,1,0,0,E01000260
247,0,0,0,0,0,E01000261
248,0,1,1,1,0,E01000262
249,0,0,0,0,0,E01000263
250,0,0,1,0,0,E01000264
251,0,0,0,0,0,E01000265
252,0,0,0,0,0,E01000266
253,0,0,0,0,1,E01000267
254,0,0,0,0,0,E01000268
255,0,0,0,0,0,E01000269
256,0,0,0,0,0,E01000270
257,0,0,0,0,0,E01000271
258,0,0,0,1,1,E01000272
259,0,0,0,0,0,E01000273
260,0,0,0,0,1,E01000274
261,0,0,0,0,0,E01000275
262,0,0,0,0,0,E01000276
263,0,0,0,0,0,E01000277
264,0,1,0,0,0,E01000278
265,0,0,0,0,0,E01000279
266,0,0,0,0,0,E01000280
267,0,1,0,0,0,E01000281
268,0,0,0,0,1,E01000282
269,0,0,0,0,0,E01000283
270,0,0,0,0,1,E01000284
271,0,0,0,0,0,E01000285
272,0,0,0,1,0,E01000286
273,0,0,0,1,1,E01000287
274,0,0,0,0,0,E01000288
275,0,0,0,0,0,E01000289
276,0,0,0,0,0,E01000290
277,0,0,0,1,1,E01000291
278,0,0,1,0,0,E01000292
279,0,0,0,0,0,E01000293
280,0,0,0,0,0,E01000294
281,1,0,0,0,0,E01000295
282,0,0,0,0,0,E01000296
283,0,0,0,0,0,E01000297
284,0,0,0,0,0,E01000298
285,0,0,0,0,1,E01000299
286,0,0,0,0,0,E01000300
287,0,0,0,0,0,E01000301
288,0,0,0,0,0,E01000302
289,0,0,0,0,0,E01000303
290,0,0,0,0,1,E01000304
291,0,1,0,0,0,E01000305
292,0,0,0,0,0,E01000306
293,0,0,1,0,1,E01000307
294,0,0,0,0,0,E01000308
295,0,0,0,0,1,E01000309
296,0,0,0,0,1,E01000310
297,0,1,0,0,0,E01000311
298,0,1,0,0,1,E01000312
299,0,0,0,0,0,E01000313
300,0,0,0,0,1,E01000314
301,0,0,0,0,0,E01000315
