,Unnamed: 0_x,matched,p,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,idx_y.1,angle
97,371292_d,10,0.2448511970739468,High-density,371292,E00016908,E00016908,E01003336,401873,-0.0450898407030253,51.4600521815909,RwTkvFFk9UUT1b8OKIjcUg,51.46012106609879,-0.0450380296480157,8,2020,183.094058060176,16E14A27-7A68-43E2-B7A4-36A09455C36D,371292,371292_d,,d
102,371318_d,4,0.3308486451747973,Low-density,371318,E00016907,E00016907,E01003336,401900,-0.0411284111517271,51.4611430568377,IhQmCRbKaHcGBsFHAS1p5A,51.46113437649421,-0.0410752748073552,5,2018,135.806929455102,28E7A4AD-0D4A-423B-8AB9-F880B41B6318,371318,371318_d,,d
104,371332_d,4,0.11381804907627,Low-density,371332,E00016907,E00016907,E01003336,401917,-0.042884571985662,51.4613884329996,rszs8RP5pPTr-XzjgZHhTQ,51.4613900369209,-0.0428479082281886,7,2021,133.069412558833,E4A83A37-E6C6-4CC4-9678-D6691EF1F4B1,371332,371332_d,,d
106,371286_d,13,0.4725024195764843,Estates,371286,E00016907,E00016907,E01003336,401867,-0.0402800267821973,51.4600510113937,BEJCysOo08SIit54jyjHeg,51.460030875739,-0.0402681327364486,3,2019,222.713082052591,49D74268-E54D-44C8-BC60-E7D0A115407A,371286,371286_d,,d
107,371301_d,13,0.1566132360549522,Estates,371301,E00016907,E00016907,E01003336,401882,-0.0424526690245415,51.461112124844206,C0fxVeQRWwNf5jz_BuMfOg,51.4611196292949,-0.0424324985686959,9,2020,135.395137042507,270E3E8B-9673-4919-BA99-47562F17E633,371301,371301_d,,d
110,371317_d,4,0.1861569382553002,Low-density,371317,E00016907,E00016907,E01003336,401899,-0.0413234502535537,51.4612752699401,N6FyF-tZdLzJ1gtvZCUhlA,51.4612289746606,-0.0412154105257104,5,2018,135.806929455102,28E7A4AD-0D4A-423B-8AB9-F880B41B6318,371317,371317_d,,d
112,371275_d,2,0.0689979372778664,Other green,371275,E00016907,E00016907,E01003336,401856,-0.0415631943972127,51.4605174141523,F5E0SiBz_SBHYZhdZKoNZw,51.4605364120984,-0.0416197089966657,4,2021,135.607353004934,270E3E8B-9673-4919-BA99-47562F17E633,371275,371275_d,,d
114,371309_d,4,0.6969654435514803,Low-density,371309,E00016907,E00016907,E01003336,401890,-0.0414672415609121,51.4605768178185,yBxbY6Xd7CIs5oGSytL9TQ,51.4605608277738,-0.0414700962275694,5,2018,223.351655495221,64E8294D-6C3F-4B2B-899A-B782A4135352,371309,371309_d,,d
116,371302_d,13,0.3373866889362247,Estates,371302,E00016907,E00016907,E01003336,401883,-0.0422561112020629,51.460980792662,XkqQPJro610VtJVh4hSB7A,51.4609928395418,-0.0422265988001708,9,2020,135.395137042507,270E3E8B-9673-4919-BA99-47562F17E633,371302,371302_d,,d
118,371281_d,9,0.120892096731264,Low-density,371281,E00016907,E00016907,E01003336,401862,-0.0398198116365376,51.4608971734347,zQoZsTBqxIgPBnMdH2EfXw,51.4609131477003,-0.0397891780834928,3,2019,195.73880143744896,49D74268-E54D-44C8-BC60-E7D0A115407A,371281,371281_d,,d
119,371304_d,4,0.0834069274501576,Low-density,371304,E00016907,E00016907,E01003336,401885,-0.0418629989396129,51.46071812733629,VkF0ijeEp6LUyfuyGcRJzw,51.4607302785501,-0.0418298127966,4,2021,135.607353004934,270E3E8B-9673-4919-BA99-47562F17E633,371304,371304_d,,d
121,371287_d,13,0.001,Estates,371287,E00016907,E00016907,E01003336,401868,-0.0405145829715566,51.4599840678888,60YKDFfYjmdYSeEvMWTY1A,51.4599701998178,-0.0405299641770209,3,2019,276.581944655178,49D74268-E54D-44C8-BC60-E7D0A115407A,371287,371287_d,,d
122,371285_d,13,0.2066053499492698,Estates,371285,E00016907,E00016907,E01003336,401866,-0.0401616212215298,51.4602104445417,LVDLPaiotcIPl9RLgdO_jQ,51.460194804234,-0.0401464377843999,3,2019,222.273689003076,49D74268-E54D-44C8-BC60-E7D0A115407A,371285,371285_d,,d
123,371331_d,8,0.1296897368831774,Low-density,371331,E00016907,E00016907,E01003336,401916,-0.0430895030956623,51.46151467325629,FHWAKN6h9Ec4bwRbZKWDyQ,51.4615170722082,-0.0430389760495719,7,2021,133.069412558833,E4A83A37-E6C6-4CC4-9678-D6691EF1F4B1,371331,371331_d,,d
126,371303_d,13,0.2626539913353266,Estates,371303,E00016907,E00016907,E01003336,401884,-0.0420595545070877,51.4608494601594,mZmjEYau1Pi0cUi1bbCWmQ,51.46086884854,-0.0420376916219447,4,2021,135.395137042507,270E3E8B-9673-4919-BA99-47562F17E633,371303,371303_d,,d
130,371305_d,1,0.2801919633308577,Open green space,371305,E00016907,E00016907,E01003336,401886,-0.0416664444996234,51.4605867941929,WrywX0hzXk2rbenEQOgusQ,51.460624156439,-0.0416476421020666,4,2021,135.607353004934,270E3E8B-9673-4919-BA99-47562F17E633,371305,371305_d,,d
131,663381_d,13,0.3947660624991076,Estates,663381,E00015189,E00015189,E01003015,717226,-0.1153265285576859,51.4943295021495,WiaMlfBvjaHJfA2uQUhu8A,51.49444083454989,-0.1153002211188019,11,2020,166.869651677534,5F791D66-273D-499D-B119-F519247512FC,663381,663381_d,,d
133,663586_d,10,0.223990107418543,High-density,663586,E00015189,E00015189,E01003015,717449,-0.116009519165766,51.4941691782103,2GufakeF_CGyCQewD48YxA,51.4941845127185,-0.116013786567371,4,2019,117.582029207797,A03E43FE-9CEE-4B2B-88A6-52CC30449A37,663586,663586_d,,d
134,663383_d,10,0.2366996583808563,High-density,663383,E00015189,E00015189,E01003015,717228,-0.115442987464588,51.4946816605044,JBzvG6OCrfc8WiKno2nBdQ,51.49472616790261,-0.1154180251509219,11,2020,166.84760942348302,5F791D66-273D-499D-B119-F519247512FC,663383,663383_d,,d
135,663417_d,10,0.5590185850367533,High-density,663417,E00015189,E00015189,E01003015,717263,-0.114935234475049,51.4949025483705,2oSNabN7XJshkS_U_-zsQg,51.4949288284838,-0.114886651329533,11,2020,247.784180000051,3920BD4E-1D14-4D0A-9560-0F58BCAF143E,663417,663417_d,,d
136,663416_d,10,0.2343606277707265,High-density,663416,E00015189,E00015189,E01003015,717262,-0.115204598067904,51.49483887688089,22nnN7qcysrylfFNTNij_A,51.49484024616429,-0.115276412208813,11,2020,247.784180000124,3920BD4E-1D14-4D0A-9560-0F58BCAF143E,663416,663416_d,,d
137,663585_d,10,0.3078381116115203,High-density,663585,E00015189,E00015189,E01003015,717448,-0.1157577439870219,51.4940818586629,bNnMK-Iv-qOuzU2u7zN0dg,51.49410633945661,-0.115765691332536,4,2019,117.582029207797,A03E43FE-9CEE-4B2B-88A6-52CC30449A37,663585,663585_d,,d
139,663425_d,10,0.421656149182948,High-density,663425,E00015189,E00015189,E01003015,717272,-0.11514500441719,51.4952698888327,MGKN8wm7wPPr10PcNuVBng,51.4953127555184,-0.115121216634316,11,2020,155.980861073181,13EF6CA2-6D5C-4B7B-ACFA-674213326CEF,663425,663425_d,,d
140,663382_d,13,0.4571828366294955,Estates,663382,E00015189,E00015189,E01003015,717227,-0.115384717946724,51.4945055864777,qHezFEROR-xbjqG-gLPnuQ,51.4945256448658,-0.1153230716186879,11,2020,166.869651677534,5F791D66-273D-499D-B119-F519247512FC,663382,663382_d,,d
141,663445_d,15,0.371985565267465,Commercial,663445,E00015189,E00015189,E01003015,717294,-0.116734410058648,51.4952111162093,Ati96dkZLOncRPuH6iU5GQ,51.4951863140761,-0.11674058911733,11,2020,247.520565602897,D34E2C93-C173-4D3F-9126-0DD81B40AFA8,663445,663445_d,,d
142,663428_d,4,0.0156967370284526,Low-density,663428,E00015189,E00015189,E01003015,717275,-0.1159134138641109,51.49495537275829,jU0Eq4nFcby1oBCx1hU_wA,51.4949536500012,-0.115821647295435,11,2020,202.619864947748,5FB4E5A4-2D28-4619-B672-5E180228B014,663428,663428_d,,d
