,Unnamed: 0_x,matched,p,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,keep
62,753048_d,0,0.6003746270501664,Terraced,753048,E00022087,E00022087,E01004392,814051,-0.0288747300923135,51.5845264070087,0YSBgLw45hRvm9y3Rzm8iw,51.584503364897,-0.0288518540818851,3,2018,161.826196950708,912DFF91-9353-406E-B371-E569C271DF46,753048,753048_d,1
63,754153_d,15,0.7013112477280097,Commercial,754153,E00171730,E00171730,E01004392,815243,-0.0335049267562427,51.5812933156581,DTUH654kiGftqtojd7Q2vA,51.5813132038458,-0.0335067748017723,3,2019,149.488203228066,7440CD25-B84D-4F69-913B-1E673853B3C3,754153,754153_d,1
65,754197_d,15,0.5372738145358954,Commercial,754197,E00171730,E00171730,E01004392,815290,-0.033598537007414,51.581451716891614,x3nKfpgkJwYJM0A7H7__2w,51.5814306497091,-0.0335579046092442,3,2018,145.410234049804,0F80E2D0-74D4-4030-8C46-0AF04E8F20DB,754197,754197_d,1
67,753745_d,15,0.4452240168124474,Commercial,753745,E00171730,E00171730,E01004392,814809,-0.0319995203402958,51.581942476149386,1v0syXejU8oW2_pByKHzuQ,51.5820151013337,-0.0322784926962805,9,2020,250.937140232198,3705AF81-B6E3-4F8C-B138-33549949B0F5,753745,753745_d,1
68,754199_d,4,0.001,Low-density,754199,E00171730,E00171730,E01004392,815292,-0.0334492886317828,51.58211399531879,ia1_fOtLECdbja9NomiFKw,51.5820929104869,-0.0333940614422209,9,2020,159.99671890702,36D32C7E-59E1-4A0B-8A0F-9BD0804A381A,754199,754199_d,1
70,753007_d,0,0.4416247689998868,Terraced,753007,E00022114,E00022114,E01004392,814008,-0.0305512498548696,51.583888726241,FGE1w580nHn-ZNuVJfVyRw,51.583897392992704,-0.0305120558377132,3,2018,241.990823291986,1CEEC007-2BEA-4C11-B46A-4FC1724E2D9D,753007,753007_d,1
72,753008_d,0,0.4354881894708301,Terraced,753008,E00022114,E00022114,E01004392,814009,-0.0302929064486332,51.583968850557696,3CLfMv8UMD1EOxLPW3b9oQ,51.5839775088622,-0.0302553977612455,3,2019,241.990823291986,1CEEC007-2BEA-4C11-B46A-4FC1724E2D9D,753008,753008_d,1
73,753002_d,0,0.32574941845546646,Terraced,753002,E00022114,E00022114,E01004392,814002,-0.0302964794963701,51.58452304119179,eJyatzpILcnrPXTXcBYdTQ,51.5845139143256,-0.0303242068816529,3,2019,243.26790620724097,8634AA41-E419-45C3-B953-3BA753ACAD0B,753002,753002_d,1
76,753005_d,0,0.44388668969228207,Terraced,753005,E00022114,E00022114,E01004392,814006,-0.0310679339748347,51.583728475869,n_D0MOqom5oiCIhVXP8oBQ,51.5837194809062,-0.031082626314823,3,2018,241.990823291986,1CEEC007-2BEA-4C11-B46A-4FC1724E2D9D,753005,753005_d,1
77,752999_d,0,0.01292779501067054,Terraced,752999,E00022114,E00022114,E01004392,813999,-0.0310799236374816,51.58429348735471,x_Upyf-OWEgT5kJSl-xV3Q,51.5842910717496,-0.0310737472436031,7,2021,243.26790620724097,8634AA41-E419-45C3-B953-3BA753ACAD0B,752999,752999_d,1
80,753000_d,0,0.41489823532983805,Terraced,753000,E00022114,E00022114,E01004392,814000,-0.0308187764557896,51.5843700058919,3EJw11oM-xEBChThRZHm3A,51.5843683803818,-0.0308123230822149,3,2018,243.26790620724097,8634AA41-E419-45C3-B953-3BA753ACAD0B,753000,753000_d,1
81,752998_d,0,0.12161075122205611,Terraced,752998,E00022114,E00022114,E01004392,813998,-0.0313410699538225,51.5842169682261,FqG2UqPZVbxLuMZJOtKqqw,51.58420934402739,-0.0313449517494189,7,2021,243.26790620724097,8634AA41-E419-45C3-B953-3BA753ACAD0B,752998,752998_d,1
84,752997_d,0,0.48006515453246335,Terraced,752997,E00022114,E00022114,E01004392,813997,-0.0316022154048116,51.5841404485059,lpa9h2RkpiIapch9tHGJxA,51.5841332398903,-0.0316021578209212,3,2019,243.26790620724097,8634AA41-E419-45C3-B953-3BA753ACAD0B,752997,752997_d,1
85,753006_d,0,0.2522760656158388,Terraced,753006,E00022114,E00022114,E01004392,814007,-0.030809592363604,51.5838086013447,HadiS9QB7rML-0VSNgrEug,51.583810928466605,-0.0307888156040663,7,2021,241.990823291986,1CEEC007-2BEA-4C11-B46A-4FC1724E2D9D,753006,753006_d,1
87,752955_d,0,0.4628160495881939,Terraced,752955,E00022079,E00022079,E01004392,813953,-0.0318493056172329,51.5848757389308,lbMe2oP-Z17xpSaaZlCC1Q,51.5848821404132,-0.0318081458014635,3,2018,245.061572344543,1B53702C-44C1-422D-A0ED-BBB2D1CC99FC,752955,752955_d,1
89,753025_d,13,0.11472240060354999,Estates,753025,E00022079,E00022079,E01004392,814027,-0.0292300731192353,51.58577150504561,tib0sy4jXIZIvBJaWSTelQ,51.585763697918,-0.0292150385487475,3,2021,171.869897645844,8F13D893-A586-4DB0-9EA4-5EA006595FE9,753025,753025_d,1
91,752958_d,13,0.17552187390291973,Estates,752958,E00022079,E00022079,E01004392,813956,-0.0310546956187293,51.585089894872205,8PAOy-g_9UO7A4zMWSM0gw,51.5850787280331,-0.0310819863226128,3,2019,245.087253500194,1B53702C-44C1-422D-A0ED-BBB2D1CC99FC,752958,752958_d,1
93,753789_d,1,0.18701924455543095,Open green space,753789,E00171483,E00171483,E01004392,814856,-0.0271589556606023,51.5822920001793,FRX2ClF2LbKKxzGVqNhHlg,51.58230214092961,-0.0271563182730894,3,2019,259.541329895436,28EE9CE0-BAE7-4076-9824-4C22E006849A,753789,753789_d,1
94,753785_d,1,0.33901964732529577,Open green space,753785,E00171483,E00171483,E01004392,814852,-0.0260199599485164,51.582408573906704,_W9mzdFRp8-aLcoo1xQNzg,51.5824193750655,-0.0260337248250747,3,2019,258.541873147068,28EE9CE0-BAE7-4076-9824-4C22E006849A,753785,753785_d,1
96,753787_d,1,0.17639511232851268,Open green space,753787,E00171483,E00171483,E01004392,814854,-0.0265887522473549,51.5823476369685,s0rd8rSTCXWp-NocSax5og,51.5823560636071,-0.0265898089647179,3,2021,259.552835260008,28EE9CE0-BAE7-4076-9824-4C22E006849A,753787,753787_d,1
97,753727_d,11,0.012629069407093185,Open green space,753727,E00171483,E00171483,E01004392,814790,-0.0296368349232297,51.5819276185864,-xxl7xDyW9KI327qBpleFw,51.58195302005011,-0.0296006187320991,9,2020,249.591954570558,8AD61D4A-2097-4E6B-B2A1-95836A2E528D,753727,753727_d,1
99,753838_d,15,0.22848422530467571,Commercial,753838,E00171483,E00171483,E01004392,814908,-0.0275843288346793,51.5830405364264,QpJy1_49g71pCRzEyL5_cg,51.5828629323855,-0.0279535052980355,3,2019,153.88024384302602,46AF11FF-3141-4DBF-8A05-EAF5D3F1AA20,753838,753838_d,1
100,753786_d,1,0.2620298782129393,Open green space,753786,E00171483,E00171483,E01004392,814853,-0.0263042177491399,51.582377582867096,mvGePTd-p2cpRNMSGmyiNA,51.5823933827315,-0.0262995645890821,3,2021,258.404499625756,28EE9CE0-BAE7-4076-9824-4C22E006849A,753786,753786_d,1
