,Unnamed: 0_x,matched,p,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,idx_y.1,angle
58,791305_b,13,0.2146227715776222,Estates,791305,E00019815,E00019815,E01003940,855491,-0.0859866095733273,51.4970704766257,-d4f7-v0-FJxIYO8_HAlug,51.4973460883212,-0.0859268745567226,4,2019,302.387631346322,625308FF-A7CA-4B3F-A471-5FFE2972363A,791305,791305_b,,b
59,791056_b,10,0.3203099116509921,High-density,791056,E00019815,E00019815,E01003940,855214,-0.086851581179916,51.49884820891621,EUu5Oe6XeOT6WmwvFVBJGA,51.4988486376668,-0.0867804804574809,11,2020,125.087664092376,5C497036-E251-474F-95C4-FE8A9125DBCE,791056,791056_b,,b
66,781138_b,4,0.3299325570019528,Low-density,781138,E00020380,E00020380,E01004050,844394,-0.0772340325593783,51.46831281762779,CfrH0zlrms5EaW-wj2UGJw,51.4683065667186,-0.0772143030664833,9,2020,228.21548399138695,9C5107FC-45C2-466A-9554-56F5E46C2034,781138,781138_b,,b
67,781228_b,4,0.0736865700966378,Low-density,781228,E00020380,E00020380,E01004050,844493,-0.0779510752861301,51.4690878432897,eGY4ieVhx0s3VaAB6Aq_fA,51.46910902797271,-0.0779556252485898,2,2018,186.70527455742905,2E2C62DC-1361-4427-89A2-3EDB1FDCA759,781228,781228_b,,b
68,781139_b,4,0.1190581943277578,Low-density,781139,E00020380,E00020380,E01004050,844395,-0.0769749661433971,51.46839119717861,c8aEYjFNuCwSYbBL5Bieow,51.4683847856831,-0.0769816732059505,2,2018,242.65012421992995,9C5107FC-45C2-466A-9554-56F5E46C2034,781139,781139_b,,b
71,781226_b,10,0.3247191727494715,High-density,781226,E00020380,E00020380,E01004050,844491,-0.0774127827260062,51.4690292807113,awQCDkgiN8nAA0aSL6Fw6A,51.4690203132697,-0.0779364949528663,3,2019,186.70527455742905,2E2C62DC-1361-4427-89A2-3EDB1FDCA759,781226,781226_b,,b
72,780924_b,10,0.4913261000687318,High-density,780924,E00020380,E00020380,E01004050,844163,-0.0763263150517179,51.468534977295896,IL1wwV708MnF0044VydGwA,51.4685428291713,-0.0762640652235891,2,2018,271.22919569967496,BCAAD5F2-D657-4FF3-974C-86A9C0238EB9,780924,780924_b,,b
73,781229_b,9,0.2007282171188691,Low-density,781229,E00020380,E00020380,E01004050,844494,-0.0782243126972832,51.469144427258215,C0L0XweymDy94q5MaaXQMg,51.46914223764399,-0.0781563581201239,2,2018,106.840512064204,46A87152-F23F-4088-B930-EEDE0B92DEA2,781229,781229_b,,b
75,780917_b,4,0.1558927841949964,Low-density,780917,E00020380,E00020380,E01004050,844156,-0.076836533121874,51.4689595817192,VijEEeeStU92SNR_LDiqjg,51.468981921699495,-0.0765935962523032,2,2018,183.3762861656029,59AD12D2-870A-411F-8B8A-D93DBB7DD79F,780917,780917_b,,b
77,781217_b,4,0.3658424156854829,Low-density,781217,E00020380,E00020380,E01004050,844480,-0.0779829152187445,51.4689499933026,LgD-E9GefcCS1OIw-XsFiQ,51.4689399156923,-0.0779455775702971,2,2018,170.78429027491,2E2C62DC-1361-4427-89A2-3EDB1FDCA759,781217,781217_b,,b
78,780920_b,9,0.1791720051393337,Low-density,780920,E00020380,E00020380,E01004050,844159,-0.0762739461153215,51.46892484344621,n9qMaNNeS9CUfKnjx5uByA,51.4689430766554,-0.0763036381826319,2,2018,164.985733737691,BCAAD5F2-D657-4FF3-974C-86A9C0238EB9,780920,780920_b,,b
79,780914_b,4,0.5164847539792554,Low-density,780914,E00020380,E00020380,E01004050,844153,-0.0768247286690648,51.4684366505619,jxTAjdD__JzTQi1D24WnYQ,51.4684127882928,-0.0768130672293687,9,2020,242.65012421992995,9C5107FC-45C2-466A-9554-56F5E46C2034,780914,780914_b,,b
81,781230_b,9,0.001,Low-density,781230,E00020380,E00020380,E01004050,844495,-0.0784975507998164,51.46920101059629,7OfbMUuu9mU3qZzS7SrgnA,51.4691999979136,-0.0784403891516885,2,2018,106.840512064039,46A87152-F23F-4088-B930-EEDE0B92DEA2,781230,781230_b,,b
