,Unnamed: 0.1,clusters,clusters_2021_edited,clusters_2021_cleanup,idx,oa_name_x,OA11CD,LSOA11CD,panoid,lat,lon,oa_name_y
92,753788_b,12,17,,753788,E00171483,E00171483,E01004392,ynD_H6tpStoUR_ZSX8GHfg,51.5823334398848,-0.0268656172091285,E00171483
93,753788_d,4,19,,753788,E00171483,E00171483,E01004392,ynD_H6tpStoUR_ZSX8GHfg,51.5823334398848,-0.0268656172091285,E00171483
94,753784_b,7,10,High-density,753784,E00171483,E00171483,E01004392,eYw-ODW0a-2Y6ibcJLTNBw,51.5827403392855,-0.0279182852360414,E00171483
95,753784_d,1,18,,753784,E00171483,E00171483,E01004392,eYw-ODW0a-2Y6ibcJLTNBw,51.5827403392855,-0.0279182852360414,E00171483
96,753789_b,12,17,,753789,E00171483,E00171483,E01004392,FRX2ClF2LbKKxzGVqNhHlg,51.5823021409296,-0.0271563182730894,E00171483
97,753789_d,9,1,Green space,753789,E00171483,E00171483,E01004392,FRX2ClF2LbKKxzGVqNhHlg,51.5823021409296,-0.0271563182730894,E00171483
98,753734_d,7,10,High-density,753734,E00171483,E00171483,E01004392,ENUNu1thvHXUAFH90-dioQ,51.5815151888962,-0.0315386900097842,E00171483
99,753734_b,12,17,,753734,E00171483,E00171483,E01004392,ENUNu1thvHXUAFH90-dioQ,51.5815151888962,-0.0315386900097842,E00171483
100,753832_b,12,17,,753832,E00171483,E00171483,E01004392,cErsS5wBxNs8aBQ6GOFaVA,51.5829685554883,-0.0303729765428871,E00171483
101,753832_d,3,2,Green space,753832,E00171483,E00171483,E01004392,cErsS5wBxNs8aBQ6GOFaVA,51.5829685554883,-0.0303729765428871,E00171483
102,753841_b,7,10,High-density,753841,E00171483,E00171483,E01004392,Ts90oB_9mjtCNUFdLIdsTw,51.5832083182727,-0.0283686536954216,E00171483
103,753841_d,1,18,,753841,E00171483,E00171483,E01004392,Ts90oB_9mjtCNUFdLIdsTw,51.5832083182727,-0.0283686536954216,E00171483
104,753770_b,7,10,High-density,753770,E00171483,E00171483,E01004392,GUrPeR0-f0ZUh9oq4OYY-Q,51.5823156741396,-0.0286604610947153,E00171483
105,753770_d,1,18,,753770,E00171483,E00171483,E01004392,GUrPeR0-f0ZUh9oq4OYY-Q,51.5823156741396,-0.0286604610947153,E00171483
106,753757_d,7,10,High-density,753757,E00171483,E00171483,E01004392,s4zhnx56q_S7GiaOK-nhYQ,51.5822978568779,-0.031160935077017,E00171483
107,753757_b,1,18,,753757,E00171483,E00171483,E01004392,s4zhnx56q_S7GiaOK-nhYQ,51.5822978568779,-0.031160935077017,E00171483
108,753781_d,12,17,,753781,E00171483,E00171483,E01004392,kZFnLxyGhnP9rHNe_zWdsg,51.5822332411357,-0.0278954272286481,E00171483
109,753781_b,13,3,,753781,E00171483,E00171483,E01004392,kZFnLxyGhnP9rHNe_zWdsg,51.5822332411357,-0.0278954272286481,E00171483
110,753729_d,12,17,,753729,E00171483,E00171483,E01004392,C54imkpfyw7nYNMsf4UwiA,51.5818317240019,-0.0301577411235101,E00171483
111,753729_b,12,17,,753729,E00171483,E00171483,E01004392,C54imkpfyw7nYNMsf4UwiA,51.5818317240019,-0.0301577411235101,E00171483
112,753775_d,7,10,High-density,753775,E00171483,E00171483,E01004392,h3RU9n0WadExIdFmgWTUUw,51.582300267671,-0.0311528587155028,E00171483
113,753775_b,7,10,High-density,753775,E00171483,E00171483,E01004392,h3RU9n0WadExIdFmgWTUUw,51.582300267671,-0.0311528587155028,E00171483
114,753724_b,7,10,High-density,753724,E00171483,E00171483,E01004392,_jc4Ddd_1F7-xsvH4UPAxA,51.5820776724595,-0.0287708931224215,E00171483
115,753724_d,12,17,,753724,E00171483,E00171483,E01004392,_jc4Ddd_1F7-xsvH4UPAxA,51.5820776724595,-0.0287708931224215,E00171483
116,753723_d,4,19,,753723,E00171483,E00171483,E01004392,mV_GxjSiaWtFL7yKCWwgbg,51.5821071927335,-0.028547146903104,E00171483
117,753723_b,5,5,,753723,E00171483,E00171483,E01004392,mV_GxjSiaWtFL7yKCWwgbg,51.5821071927335,-0.028547146903104,E00171483
