,Unnamed: 0_x,matched,p,clusters_2011_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,angle
79,623705_d,13,0.7103228965614379,Estates,623705,E00019826,E00019826,E01003940,855478,-0.0875662433867123,51.4968031827047,KNs_c9H9ktKQ0CjDdPEqOA,51.496791340849285,-0.0875873740866882,6,2012,232.416789370468,FCEC6A66-D696-4482-B915-7E13375BDBA0,623705,623705_d,d
80,623677_d,13,0.1892096215834013,Estates,623677,E00019826,E00019826,E01003940,855436,-0.0875098264216459,51.49638629514421,Ydg7tsGy1KX9FAWjU-CgMA,51.4963988890425,-0.0874405048228632,9,2009,148.39063650406,1AB44DFF-4710-42C4-956A-4C2D1ED6244B,623677,623677_d,d
82,519161_d,10,0.2145798297534148,High-density,519161,E00015169,E00015169,E01003015,716581,-0.112369802812964,51.4939692714439,oC8myDHFxvb98Fa11AhcbA,51.4939431166403,-0.112292678395896,6,2008,127.433934661354,FF99A0A3-3B5E-48CF-B3A4-04FB8EAAC2B1,519161,519161_d,d
84,519162_d,10,0.3060321214726015,High-density,519162,E00015169,E00015169,E01003015,716582,-0.112145714832738,51.4938563189714,N9V3CA4CRWiZUmAmGc6Pyg,51.4938830651328,-0.112175766718788,6,2008,127.433934661354,FF99A0A3-3B5E-48CF-B3A4-04FB8EAAC2B1,519162,519162_d,d
85,519164_d,0,0.2104838897652149,Terraced,519164,E00015169,E00015169,E01003015,716584,-0.111704157323135,51.493625408577,Xsc-1sVGZL49qLirNdN-tA,51.4936247411708,-0.111681304381077,5,2012,128.65980825409,FF99A0A3-3B5E-48CF-B3A4-04FB8EAAC2B1,519164,519164_d,d
87,519163_d,10,0.4158231586868397,High-density,519163,E00015169,E00015169,E01003015,716583,-0.111924358915951,51.4937413002441,y4Hi-8LSF_lhCp9NiGu0ZA,51.493729833307,-0.111884909954388,7,2009,128.65980825409,FF99A0A3-3B5E-48CF-B3A4-04FB8EAAC2B1,519163,519163_d,d
89,519187_d,13,0.300579631678824,Estates,519187,E00015169,E00015169,E01003015,716617,-0.111685376707138,51.4945369680953,VDkq7rwQ_mkcO_rzsByoiw,51.4945857532063,-0.110868146275981,7,2008,177.702522949994,1AF632EA-1652-4E07-BC20-8F80D2EB5863,519187,519187_d,d
90,519160_d,10,0.4278717714904461,High-density,519160,E00015169,E00015169,E01003015,716580,-0.112595170828522,51.4940812226447,yMtbgDdHNCkcb7AU8e0-pg,51.4940456880715,-0.112496505722974,7,2009,127.454597537601,FF99A0A3-3B5E-48CF-B3A4-04FB8EAAC2B1,519160,519160_d,d
93,519157_d,10,0.0777792186623681,High-density,519157,E00015169,E00015169,E01003015,716576,-0.113501790330973,51.4946158255867,fsS9yK0XMqlSK5Pn2clvQw,51.494578591994106,-0.113557640054156,7,2009,127.303948277983,1D758DCB-CA42-454D-9752-A8CB06BF6BC4,519157,519157_d,d
94,519186_d,10,0.1854375670667042,High-density,519186,E00015169,E00015169,E01003015,716616,-0.111955360069517,51.4944743317389,nbzUqOJpAPEvfuKXVPyPJA,51.4940406412941,-0.112484242206705,5,2012,127.454597537601,FF99A0A3-3B5E-48CF-B3A4-04FB8EAAC2B1,519186,519186_d,d
