,Unnamed: 0_x,matched,p,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,keep
75,753005_b,0,0.6067573003078586,Terraced,753005,E00022114,E00022114,E01004392,814006,-0.0310679339748347,51.583728475869,n_D0MOqom5oiCIhVXP8oBQ,51.5837194809062,-0.031082626314823,3,2018,241.990823291986,1CEEC007-2BEA-4C11-B46A-4FC1724E2D9D,753005,753005_b,0
78,752999_b,0,0.001,Terraced,752999,E00022114,E00022114,E01004392,813999,-0.0310799236374816,51.58429348735471,x_Upyf-OWEgT5kJSl-xV3Q,51.5842910717496,-0.0310737472436031,7,2021,243.26790620724097,8634AA41-E419-45C3-B953-3BA753ACAD0B,752999,752999_b,0
79,753000_b,0,0.4901181323350201,Terraced,753000,E00022114,E00022114,E01004392,814000,-0.0308187764557896,51.5843700058919,3EJw11oM-xEBChThRZHm3A,51.5843683803818,-0.0308123230822149,3,2018,243.26790620724097,8634AA41-E419-45C3-B953-3BA753ACAD0B,753000,753000_b,0
82,752998_b,0,0.026198614954396682,Terraced,752998,E00022114,E00022114,E01004392,813998,-0.0313410699538225,51.5842169682261,FqG2UqPZVbxLuMZJOtKqqw,51.58420934402739,-0.0313449517494189,7,2021,243.26790620724097,8634AA41-E419-45C3-B953-3BA753ACAD0B,752998,752998_b,0
83,752997_b,0,0.39543341358924555,Terraced,752997,E00022114,E00022114,E01004392,813997,-0.0316022154048116,51.5841404485059,lpa9h2RkpiIapch9tHGJxA,51.5841332398903,-0.0316021578209212,3,2019,243.26790620724097,8634AA41-E419-45C3-B953-3BA753ACAD0B,752997,752997_b,0
86,753006_b,0,0.11507651437430577,Terraced,753006,E00022114,E00022114,E01004392,814007,-0.030809592363604,51.5838086013447,HadiS9QB7rML-0VSNgrEug,51.583810928466605,-0.0307888156040663,7,2021,241.990823291986,1CEEC007-2BEA-4C11-B46A-4FC1724E2D9D,753006,753006_b,0
88,752955_b,9,0.35229932705435885,Low-density,752955,E00022079,E00022079,E01004392,813953,-0.0318493056172329,51.5848757389308,lbMe2oP-Z17xpSaaZlCC1Q,51.5848821404132,-0.0318081458014635,3,2018,245.061572344543,1B53702C-44C1-422D-A0ED-BBB2D1CC99FC,752955,752955_b,0
90,752961_b,8,0.5645167314731807,Low-density,752961,E00022079,E00022079,E01004392,813959,-0.0302600973765494,51.5853040728696,ZBfmTNqTnbdP1hUt6KCmCQ,51.58529234989,-0.0302929135723662,3,2019,245.059494697242,1B53702C-44C1-422D-A0ED-BBB2D1CC99FC,752961,752961_b,0
92,753840_b,15,0.19124609185142638,Commercial,753840,E00171483,E00171483,E01004392,814911,-0.0282244529541613,51.5830338273467,FazeGgsILExceBZMa-X64w,51.58303815050321,-0.0281773724960204,3,2019,139.635463426903,5C4BD4A3-CB1B-44C5-A795-54711DC545E0,753840,753840_b,0
95,753787_b,10,0.2301961288039216,High-density,753787,E00171483,E00171483,E01004392,814854,-0.0265887522473549,51.5823476369685,s0rd8rSTCXWp-NocSax5og,51.5823560636071,-0.0265898089647179,3,2021,259.552835260008,28EE9CE0-BAE7-4076-9824-4C22E006849A,753787,753787_b,0
98,753838_b,15,0.4388250484185303,Commercial,753838,E00171483,E00171483,E01004392,814908,-0.0275843288346793,51.5830405364264,QpJy1_49g71pCRzEyL5_cg,51.5828629323855,-0.0279535052980355,3,2019,153.88024384302602,46AF11FF-3141-4DBF-8A05-EAF5D3F1AA20,753838,753838_b,0
101,753722_b,4,0.1926602674332788,Low-density,753722,E00171483,E00171483,E01004392,814785,-0.0282195526314557,51.5820924163398,_SY3r1-n6Ki1cVmLR37dDg,51.5821111265347,-0.0282155719636781,9,2020,258.498120561916,8AD61D4A-2097-4E6B-B2A1-95836A2E528D,753722,753722_b,0
102,753082_b,9,0.027024567084722118,Low-density,753082,E00171483,E00171483,E01004392,814088,-0.0278700273194421,51.583364404692496,VWPRqnZae764tbYSoJSM3w,51.5833433065017,-0.0279441125748335,3,2019,65.1288302513002,A8932A84-D2E4-4E25-93E4-7BB06A111CD8,753082,753082_b,0
103,753783_b,10,0.25650374159618927,High-density,753783,E00171483,E00171483,E01004392,814850,-0.0279049419688595,51.5825804455933,FZOatWYHXxCx2AyWuF0o7Q,51.5825641900294,-0.0278987203323463,3,2018,176.738510471828,46AF11FF-3141-4DBF-8A05-EAF5D3F1AA20,753783,753783_b,0
104,753724_b,10,0.2708306648904786,High-density,753724,E00171483,E00171483,E01004392,814787,-0.0287880103594523,51.5820302420349,_jc4Ddd_1F7-xsvH4UPAxA,51.5820776724595,-0.0287708931224215,3,2019,258.498120561916,8AD61D4A-2097-4E6B-B2A1-95836A2E528D,753724,753724_b,0
105,753782_b,10,0.2725328786483431,High-density,753782,E00171483,E00171483,E01004392,814849,-0.0278929575274285,51.5824008361405,rDr-ZWNfdfLfMz3IHAu-yA,51.582382818012704,-0.0278980003677579,3,2018,176.7365151053,46AF11FF-3141-4DBF-8A05-EAF5D3F1AA20,753782,753782_b,0
