,Unnamed: 0_x,matched,p,clusters_2011_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,angle
95,519186_b,0,0.3268094834715808,Terraced,519186,E00015169,E00015169,E01003015,716616,-0.111955360069517,51.4944743317389,nbzUqOJpAPEvfuKXVPyPJA,51.4940406412941,-0.112484242206705,5,2012,127.454597537601,FF99A0A3-3B5E-48CF-B3A4-04FB8EAAC2B1,519186,519186_b,b
96,630965_b,13,0.3419370112998471,Estates,630965,E00015169,E00015169,E01003015,865101,-0.110884655043305,51.4940167603489,DSRuoG5Qx0Ad48h_rY0UnA,51.49414156481621,-0.110881227205721,7,2009,180.931327191104,9E4ACDD1-6049-49B3-91C6-0F4FA85FE5A8,630965,630965_b,b
97,519136_b,10,0.0233582819453261,High-density,519136,E00015169,E00015169,E01003015,716541,-0.114485282594154,51.49387223815479,lurGGDzmWdz_bewCy_NAhg,51.4938801472106,-0.114468181252631,6,2008,127.57429291233,20629EAB-945E-4AAF-9BDC-969E71BC360A,519136,519136_b,b
100,519184_b,13,0.2707808326666011,Estates,519184,E00015169,E00015169,E01003015,716613,-0.112423159862344,51.494738490280106,qoU0By2-cDbzbG-CD2FHEA,51.49425528706779,-0.112895002530208,5,2012,126.745089859287,FF99A0A3-3B5E-48CF-B3A4-04FB8EAAC2B1,519184,519184_b,b
104,519153_b,10,0.5475796113761381,High-density,519153,E00015169,E00015169,E01003015,716570,-0.113570411740041,51.49456357885581,eg0lul787jKcUefy-EPuIw,51.49456953807589,-0.113555200897569,6,2008,127.303948277983,1D758DCB-CA42-454D-9752-A8CB06BF6BC4,519153,519153_b,b
106,519185_b,10,0.3248788141649972,High-density,519185,E00015169,E00015169,E01003015,716615,-0.1122183841403819,51.49444118370271,-_Fok5eS2IOZi2sVDk-vJA,51.4941503528602,-0.112692839071057,5,2012,126.737447611028,FF99A0A3-3B5E-48CF-B3A4-04FB8EAAC2B1,519185,519185_b,b
107,294232_b,13,0.2000282785170355,Estates,294232,E00020195,E00020195,E01004013,408808,-0.0735076879710792,51.4766031724554,cbaLmrXGniYacUJTKWRFgg,51.476584667431,-0.0735389936248922,5,2012,254.32047587758095,D3551847-0C5C-4AF4-9302-9D03206B59CD,294232,294232_b,b
108,615398_b,13,0.0101852335736215,Estates,615398,E00020195,E00020195,E01004013,843950,-0.0735575525894183,51.476009934113705,AOcnVju6RRyjcnnjmyP0Xg,51.476083568563006,-0.0734877301479534,5,2012,164.604450746005,136C5135-1F75-4D7A-93AE-62CE72EC68A3,615398,615398_b,b
111,615369_b,9,0.0040995178536663,Low-density,615369,E00020195,E00020195,E01004013,843913,-0.0751562216605758,51.4758015573007,TNwiPldrYNQ2R69siqqaeQ,51.4758228204896,-0.0749856601983377,6,2008,75.41108126712541,A273067D-915C-490F-86B5-BA8050F30A17,615369,615369_b,b
117,615396_b,9,0.001,Low-density,615396,E00020195,E00020195,E01004013,843948,-0.0734193393339051,51.4756608653599,py6cK66ySgBLNg1klpB63w,51.475675021947495,-0.0733303886782256,5,2012,164.604450746005,136C5135-1F75-4D7A-93AE-62CE72EC68A3,615396,615396_b,b
