,Unnamed: 0.1,clusters,clusters_2021_edited,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,keep
72,752960_d,18,0,High-density,752960,E00022080,E00022080,E01004392,813958,-0.0305249632878828,51.5852326793904,PsMiX55i9QALO8ONDWKQdw,51.5852186539396,-0.030556413806275,3,2019,245.066489094446,1B53702C-44C1-422D-A0ED-BBB2D1CC99FC,752960,752960_d,1
75,752948_d,18,0,High-density,752948,E00022080,E00022080,E01004392,813946,-0.0322297572848235,51.584154808913,cuFtw0Df6LcKGso6iM7l-g,51.5841175881501,-0.0321765172218475,3,2019,157.06789956241002,7F801C68-7982-43FC-AF7D-A73F447BF48F,752948,752948_d,1
76,752950_d,18,0,High-density,752950,E00022080,E00022080,E01004392,813948,-0.0319385998201767,51.58365771997301,9O_aFMrcBOVJQmcfcKCQ-w,51.5836973329114,-0.0319370555596374,3,2018,159.102234501161,27AFCEC5-AD8E-4FDE-BFE3-1D34ACEF337A,752950,752950_d,1
78,752942_d,7,10,High-density,752942,E00022080,E00022080,E01004392,813940,-0.0325424084867052,51.5845417274351,7fOz-Ll6i5N10PShE5fZKQ,51.5845220881664,-0.0324896757486387,3,2019,150.64224645720898,3A3B58FE-8713-445F-9EBA-771B0B7C8A96,752942,752942_d,1
80,752951_d,18,0,High-density,752951,E00022080,E00022080,E01004392,813949,-0.0320342469143612,51.583827343906,bTLpKSIjrWaEdfGZf5d8Bw,51.5837954326653,-0.0319920195365595,7,2021,159.102234501161,27AFCEC5-AD8E-4FDE-BFE3-1D34ACEF337A,752951,752951_d,1
82,752947_d,17,9,Low-density,752947,E00022080,E00022080,E01004392,813945,-0.0321245037107146,51.583987407291296,iL58VchrjAsLvqX0AnVMIw,51.5839496457435,-0.0320830479102225,3,2018,159.102234501161,27AFCEC5-AD8E-4FDE-BFE3-1D34ACEF337A,752947,752947_d,1
87,752956_d,17,9,Low-density,752956,E00022080,E00022080,E01004392,813954,-0.0315844396368428,51.5849471294644,gKZL8veQuhpSM-miiiB3Hg,51.5849549584725,-0.0315338710325308,3,2019,245.061572344543,1B53702C-44C1-422D-A0ED-BBB2D1CC99FC,752956,752956_d,1
92,752981_d,18,0,High-density,752981,E00022108,E00022108,E01004392,813980,-0.0312633887777695,51.5858573740317,lGfWZE5kyEV6TvVHJrIOlA,51.5858711675432,-0.0312551548120727,3,2019,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,752981,752981_d,1
94,752875_d,18,0,High-density,752875,E00022108,E00022108,E01004392,813869,-0.0345421267973359,51.5849968580892,GrJqlW_y_5MA6oueJIUN3g,51.58498558154861,-0.0345652184576201,3,2019,241.47456321769,41772219-2061-47D4-A39C-731C2BFA4134,752875,752875_d,1
96,752874_d,18,0,High-density,752874,E00022108,E00022108,E01004392,813868,-0.0342849288921081,51.585078408154,kZmth_OcIq6Psqmm0UlLdg,51.5850665914411,-0.0343062969744139,3,2019,241.47456321769,41772219-2061-47D4-A39C-731C2BFA4134,752874,752874_d,1
97,752979_d,18,0,High-density,752979,E00022108,E00022108,E01004392,813978,-0.0307249352263061,51.5859868954589,oHUYn44cdsnlq0_9lwVOCA,51.5860056370753,-0.0307253407557021,3,2019,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,752979,752979_d,1
98,752982_d,18,0,High-density,752982,E00022108,E00022108,E01004392,813981,-0.0315326144674053,51.58579261244471,KkJdwsqqre9NxmP3fZgSPA,51.5858094319752,-0.0315202927713311,3,2019,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,752982,752982_d,1
101,754197_d,10,15,Commercial,754197,E00171730,E00171730,E01004392,815290,-0.033598537007414,51.581451716891614,x3nKfpgkJwYJM0A7H7__2w,51.5814306497091,-0.0335579046092442,3,2018,145.410234049804,0F80E2D0-74D4-4030-8C46-0AF04E8F20DB,754197,754197_d,1
103,753745_d,10,15,Commercial,753745,E00171730,E00171730,E01004392,814809,-0.0319995203402958,51.581942476149386,1v0syXejU8oW2_pByKHzuQ,51.5820151013337,-0.0322784926962805,9,2020,250.937140232198,3705AF81-B6E3-4F8C-B138-33549949B0F5,753745,753745_d,1
105,754153_d,10,15,Commercial,754153,E00171730,E00171730,E01004392,815243,-0.0335049267562427,51.5812933156581,DTUH654kiGftqtojd7Q2vA,51.5813132038458,-0.0335067748017723,3,2019,149.488203228066,7440CD25-B84D-4F69-913B-1E673853B3C3,754153,754153_d,1
106,754228_d,7,10,High-density,754228,E00171730,E00171730,E01004392,815322,-0.0325195038968436,51.581239694676,okqkx0GzrPPzfvCqFyK9Mw,51.58127022163161,-0.0324627287261839,3,2019,243.21778329491295,562004DC-D9BC-4A6B-950E-910FC3B5FF9C,754228,754228_d,1
107,754232_d,10,15,Commercial,754232,E00171730,E00171730,E01004392,815327,-0.0323699674408304,51.58154321448591,ny8zEYMGJB9SlMes-DJunQ,51.5815536733141,-0.032328048754717,3,2019,250.94229548992297,49067391-1972-4BE9-BDA9-6BB0705B58E4,754232,754232_d,1
