,LSOA code (2011),Outdoors Sub-domain Score,lsoa,Unnamed: 0
43,E01000046,0.81,E01000046,5.408913543908903
44,E01000048,1.107,E01000048,5.51217120885849
45,E01000049,1.633,E01000049,5.4762985242737665
46,E01000050,1.44,E01000050,5.297499372490814
47,E01000051,1.283,E01000051,5.326549146324396
48,E01000052,1.677,E01000052,5.326917021804386
49,E01000053,1.114,E01000053,5.486362733664336
50,E01000054,0.899,E01000054,5.470981787179262
51,E01000055,1.069,E01000055,5.462246837037982
52,E01000056,0.912,E01000056,5.503730320161389
53,E01000057,1.281,E01000057,5.337719834075783
54,E01000058,0.919,E01000058,5.336466393050025
55,E01000059,0.741,E01000059,5.398395725016324
56,E01000060,1.316,E01000060,5.483513988894546
57,E01000061,0.651,E01000061,5.530594278264929
58,E01000062,0.776,E01000062,5.3665361705280485
59,E01000063,1.056,E01000063,5.402268586556117
60,E01000064,0.845,E01000064,5.351061291005238
61,E01000065,1.061,E01000065,5.314822154809098
62,E01000066,0.682,E01000066,5.2345848012778715
63,E01000067,1.136,E01000067,5.1901980224719715
64,E01000068,1.248,E01000068,5.072758941306281
65,E01000069,0.974,E01000069,5.051195394702074
66,E01000070,1.271,E01000070,5.140644975165103
67,E01000071,0.886,E01000071,5.198129743848528
68,E01000072,1.235,E01000072,5.465619005408942
69,E01000073,0.71,E01000073,5.441161162540561
70,E01000074,0.837,E01000074,5.467731398755107
71,E01000075,1.375,E01000075,5.366178995775945
72,E01000076,0.892,E01000076,5.499461470013958
73,E01000077,1.091,E01000077,5.465972339234701
74,E01000078,1.073,E01000078,5.378516658930711
75,E01000079,0.94,E01000079,5.335014945629871
76,E01000080,0.984,E01000080,5.395566263756194
77,E01000081,1.009,E01000081,5.475014447255899
78,E01000082,1.037,E01000082,5.402096936919472
79,E01000083,1.118,E01000083,5.4046616146439
80,E01000084,1.086,E01000084,5.236356493646064
81,E01000085,1.156,E01000085,5.359481561183929
82,E01000086,0.78,E01000086,5.380637806874734
83,E01000087,0.968,E01000087,5.591539799392997
84,E01000088,1.268,E01000088,5.349505051374435
85,E01000089,1.104,E01000089,5.20581119450239
86,E01000090,1.071,E01000090,5.679800267050252
87,E01000091,1.17,E01000091,5.494455146622824
88,E01000092,0.862,E01000092,5.588628537197995
89,E01000093,1.582,E01000093,5.483590531934259
90,E01000094,0.648,E01000094,5.520132399357117
91,E01000095,0.888,E01000095,5.844840230090047
92,E01000096,1.553,E01000096,5.670419241969041
93,E01000097,1.08,E01000097,5.465099754578927
94,E01000098,1.104,E01000098,5.416434032004951
95,E01000099,0.705,E01000099,5.504030399983472
96,E01000100,1.09,E01000100,5.406186904638044
97,E01000101,1.53,E01000101,5.475851051789477
98,E01000102,1.105,E01000102,5.361572370623911
99,E01000103,0.622,E01000103,5.515636251866818
100,E01000104,0.646,E01000104,5.3791424857245556
101,E01000105,1.071,E01000105,5.383970010590244
102,E01000106,0.688,E01000106,5.429355637005397
103,E01000107,0.673,E01000107,5.322509359193329
104,E01000108,0.723,E01000108,5.267427910804749
105,E01000109,1.049,E01000109,5.38114745214761
106,E01000110,0.689,E01000110,5.361233714150219
107,E01000111,0.807,E01000111,5.442321502947593
108,E01000112,0.93,E01000112,5.318079336634222
109,E01000113,1.001,E01000113,5.3523056708103
110,E01000114,0.941,E01000114,5.435225567489705
111,E01000115,0.849,E01000115,5.248067502508459
112,E01000116,0.403,E01000116,5.08561392642992
113,E01000117,0.417,E01000117,5.396026281133357
114,E01000118,0.443,E01000118,5.241656056348829
115,E01000119,0.86,E01000119,5.293793110413985
116,E01000120,0.561,E01000120,5.168683299223582
117,E01000121,0.571,E01000121,5.4758963109855365
118,E01000122,0.543,E01000122,5.318947648539127
119,E01000123,0.372,E01000123,5.420198902749179
120,E01000124,0.96,E01000124,5.436237214524069
121,E01000125,1.071,E01000125,5.390464827749464
122,E01000126,0.672,E01000126,5.453477073491104
123,E01000127,0.862,E01000127,5.368002697661683
124,E01000128,1.087,E01000128,5.429873893135472
125,E01000129,1.277,E01000129,5.21864546529995
126,E01000130,0.757,E01000130,5.454579187374489
127,E01000131,1.139,E01000131,5.192040456665887
128,E01000132,1.039,E01000132,5.363366934740655
129,E01000133,1.101,E01000133,5.477071400672671
130,E01000134,0.71,E01000134,5.33889094395424
131,E01000135,1.363,E01000135,5.172074773732354
132,E01000136,1.033,E01000136,5.148034974733989
133,E01000137,1.096,E01000137,5.29956793092018
134,E01000138,1.157,E01000138,5.237906587039325
135,E01000139,1.181,E01000139,5.242676326398099
136,E01000140,0.865,E01000140,5.015399269519314
137,E01000141,1.703,E01000141,5.281204892989786
138,E01000142,0.904,E01000142,5.3220890715437115
