,Unnamed: 0,X,LSOA.code..2011.,Income.Score..rate.,lsoa,Unnamed..0,resid,res_dec,Outdoors.Sub.domain.Score,Education..Skills.and.Training.Score,wealth_resid,outdoor_resid,education_resid
1951,1952,1951,E01002001,0.119,E01002001,6.00373777002096,0.411576593636447,9,1.731,8.276,0.411576593636447,-0.310529369783602,-0.375042143963018
1954,1955,1954,E01002004,0.12,E01002004,5.84955188227288,0.258758376730174,9,1.664,9.711,0.258758376730174,-0.352207722386242,-0.368300612474762
1970,1971,1970,E01002021,0.068,E01002021,6.13986316564921,0.477950776332714,9,1.398,0.523,0.477950776332714,-0.343314123744784,-0.287313733934142
1974,1975,1974,E01002025,0.026,E01002025,5.97392333665137,0.254568771979123,9,1.107,0.487,0.254568771979123,-0.246121202766505,-0.192229692753409
1981,1982,1981,E01002032,0.213,E01002032,5.8799670515237,0.41636693426872,9,1.61,31.206,0.41636693426872,-0.307490815150558,-0.238864035326146
2008,2009,2008,E01002060,0.083,E01002060,6.07797692351871,0.43657959682927,9,1.213,3.817,0.43657959682927,-0.410655432314506,-0.243472283423907
2514,2515,2514,E01002573,0.051,E01002573,5.97119783138742,0.286035037760268,9,1.701,1.309,0.286035037760268,-0.364104619197885,-0.336371797737441
2713,2714,2713,E01002780,0.177,E01002780,5.87399018533302,0.361153917773111,9,1.698,9.3,0.361153917773111,-0.242910929038766,-0.364007467116877
2714,2715,2714,E01002781,0.232,E01002781,5.85622119903564,0.418606827774929,9,1.521,12.247,0.418606827774929,-0.361311877475438,-0.492543347504097
2767,2768,2767,E01002834,0.056,E01002834,6.00662789079878,0.328303451380644,9,2.093,0.199,0.328303451380644,-0.26014398603998,-0.362212208503798
2769,2770,2769,E01002836,0.043,E01002836,6.0415618121624,0.345457651800817,9,2.222,1.32,0.345457651800817,-0.439455885032996,-0.390076646168829
2772,2773,2772,E01002839,0.111,E01002839,6.03538440025016,0.432281857131218,9,2.305,1.707,0.432281857131218,-0.279711789514761,-0.201885838190453
