,LSOA code (2011),Outdoors Sub-domain Score,lsoa,Unnamed: 0
336,E01000341,0.398,E01000341,5.005557473172846
337,E01000342,0.341,E01000342,4.892321485540141
338,E01000343,0.437,E01000343,4.898340997809456
339,E01000344,0.246,E01000344,4.844801779614379
340,E01000345,0.355,E01000345,4.752980623175116
341,E01000346,0.396,E01000346,4.94847327898564
342,E01000347,0.661,E01000347,4.997219229521959
343,E01000348,0.407,E01000348,4.888257070405949
344,E01000349,0.68,E01000349,5.021588696989903
345,E01000350,0.467,E01000350,4.750865113425564
346,E01000351,0.452,E01000351,5.115121180191636
347,E01000352,0.786,E01000352,5.13911987405245
348,E01000353,0.61,E01000353,5.152220202080997
349,E01000354,0.246,E01000354,5.103673433694314
350,E01000355,0.63,E01000355,5.090687765696338
351,E01000356,0.699,E01000356,5.1727675189895015
352,E01000357,0.407,E01000357,5.044943924711532
353,E01000358,0.344,E01000358,5.11569724359565
354,E01000359,0.435,E01000359,5.063545961168748
355,E01000360,0.881,E01000360,5.118058904801329
356,E01000361,0.448,E01000361,5.0384023462023055
357,E01000362,0.706,E01000362,5.1492225110786665
358,E01000363,0.795,E01000363,5.0508377007816145
359,E01000364,1.016,E01000364,4.910758486930156
360,E01000365,0.76,E01000365,5.088845684212082
361,E01000366,0.646,E01000366,5.135301623438379
362,E01000367,0.309,E01000367,4.913028736603565
363,E01000368,0.265,E01000368,4.933429389036903
364,E01000369,0.153,E01000369,5.113912824241594
365,E01000370,0.446,E01000370,4.871537923812866
366,E01000371,0.155,E01000371,5.155415973222325
367,E01000372,0.321,E01000372,4.930634276305928
368,E01000373,0.475,E01000373,5.076517706917178
369,E01000374,0.429,E01000374,5.360312915129647
370,E01000375,0.607,E01000375,5.227780233854535
371,E01000376,0.676,E01000376,5.041954197851168
372,E01000377,0.291,E01000377,4.930779383296058
373,E01000378,0.241,E01000378,5.095496733125737
374,E01000379,0.617,E01000379,4.877934911907119
375,E01000380,0.275,E01000380,5.039788807918823
376,E01000381,-0.147,E01000381,4.787977448714677
377,E01000382,-0.075,E01000382,4.7894715666770935
378,E01000383,0.304,E01000383,4.9194727626340145
379,E01000384,0.094,E01000384,4.82791012835193
380,E01000385,0.346,E01000385,4.987105506335118
381,E01000386,0.827,E01000386,5.123645056338206
382,E01000387,0.038,E01000387,4.956939382478595
383,E01000388,0.542,E01000388,4.997257624816031
384,E01000389,0.674,E01000389,4.992855444082765
385,E01000390,0.561,E01000390,5.084869853123461
386,E01000391,0.551,E01000391,5.268970014768488
387,E01000392,0.648,E01000392,5.141664803353815
388,E01000393,0.799,E01000393,4.966392257320347
389,E01000394,0.624,E01000394,5.144682007882653
390,E01000395,0.445,E01000395,4.9784463128735945
391,E01000396,0.846,E01000396,4.905934148693677
392,E01000398,0.375,E01000398,4.957834832157407
393,E01000399,0.468,E01000399,5.023257589676011
394,E01000400,0.785,E01000400,5.011088564395904
395,E01000401,0.444,E01000401,5.018981852554923
396,E01000402,0.416,E01000402,4.893369087466487
397,E01000403,0.747,E01000403,5.17513827774762
398,E01000404,0.008,E01000404,5.115528655231447
399,E01000405,0.11,E01000405,5.1334225132985765
400,E01000406,0.397,E01000406,4.926354239506977
401,E01000407,0.298,E01000407,4.893523968902289
402,E01000408,0.215,E01000408,5.2309847248011625
403,E01000409,0.31,E01000409,5.130267262458801
404,E01000410,0.337,E01000410,4.956666485434438
405,E01000411,0.664,E01000411,5.092083409608128
406,E01000412,0.464,E01000412,5.042157807036074
407,E01000413,0.669,E01000413,5.143185895341666
408,E01000414,0.76,E01000414,5.110000727343005
409,E01000415,0.436,E01000415,4.954060931416119
410,E01000416,0.47,E01000416,5.350721913415033
411,E01000417,0.691,E01000417,4.817422056300009
412,E01000418,0.482,E01000418,5.096213968973311
413,E01000419,0.452,E01000419,5.122200651657887
414,E01000420,0.223,E01000420,5.0594841003417965
415,E01000421,0.37,E01000421,5.218283469357142
416,E01000422,0.453,E01000422,5.454122853550044
417,E01000423,0.29,E01000423,4.868874301335642
418,E01000424,0.533,E01000424,4.795378335510812
419,E01000425,0.11,E01000425,4.606260138516985
420,E01000426,0.21,E01000426,5.00581521082383
421,E01000427,0.239,E01000427,4.926032677744374
422,E01000428,0.373,E01000428,5.034868907321383
423,E01000429,-0.019,E01000429,5.281051264392386
424,E01000430,-0.176,E01000430,5.397282585461935
425,E01000431,0.247,E01000431,5.234471910140094
426,E01000432,-0.056,E01000432,5.147372352915841
427,E01000433,0.591,E01000433,5.11880138767771
428,E01000434,-0.1,E01000434,5.252826399356127
429,E01000435,0.746,E01000435,5.113140407155772
430,E01000436,0.457,E01000436,4.962685261770736
431,E01000437,0.15,E01000437,4.892348553516246
432,E01000438,0.195,E01000438,4.8483130707925195
433,E01000439,0.288,E01000439,5.027078931101688
434,E01000440,0.146,E01000440,5.104541174629155
435,E01000441,0.189,E01000441,4.994906512035686
436,E01000442,0.177,E01000442,5.13616008293338
437,E01000443,0.373,E01000443,4.868282694268871
438,E01000444,0.812,E01000444,4.97524373838678
439,E01000445,0.081,E01000445,4.9343353766496945
440,E01000446,0.218,E01000446,5.14470114133745
441,E01000447,0.944,E01000447,5.062820750348111
442,E01000448,0.209,E01000448,4.8271063985051335
443,E01000449,0.615,E01000449,4.971394786814682
444,E01000450,0.17,E01000450,5.160104817814297
445,E01000451,0.258,E01000451,5.228287263870239
446,E01000452,0.242,E01000452,5.110467250530537
447,E01000453,0.235,E01000453,5.0645049322219124
448,E01000454,0.414,E01000454,5.052958365179535
449,E01000455,0.127,E01000455,5.052657723426819
450,E01000456,0.17,E01000456,5.201077786939485
451,E01000457,0.3,E01000457,5.024762249091848
452,E01000458,0.098,E01000458,4.811475281506939
453,E01000459,0.094,E01000459,4.85609021337863
