LSOA code,price,Unnamed: 0,"Price (central estimate, natural log scale)"
E01002730,466088.7223692341,5.611748287437159,13.052131286335937
E01002731,420342.63812463265,5.421403565943636,12.948825462730126
E01002732,430121.73599285,5.626592149419233,12.971823554562649
E01002733,464409.8928303894,5.6140945378471825,13.04852283097
E01002734,419215.1823937359,5.505533401782696,12.94613962887544
E01002735,502308.6309705495,5.519855467896712,13.126970012490272
E01002736,342580.3080104586,5.274922446292989,12.744261385142174
E01002737,355374.655550112,5.4070301453272505,12.78092787969532
E01002738,639014.7230667726,5.72181965384567,13.367682773887308
E01002739,676489.8168046765,5.7542227594130635,13.42467267371498
E01002740,821203.4726160591,5.738173327025245,13.618526192827252
E01002741,375379.7070410099,5.674720687812634,12.835693344776802
E01002742,619275.3800470204,5.790136944387377,13.336305331650244
E01002743,675920.68631175,5.891733621483419,13.423831020200442
E01002744,581274.5589121936,5.58442015265241,13.272978486883064
E01002745,680003.7746106789,5.687515623867512,13.429853628034941
E01002747,544235.8756145901,5.591334637842681,13.207138026742745
E01002748,503108.28391749697,5.79956631824888,13.128560702091212
E01002749,498626.96605214546,5.672889945150792,13.11961353214733
E01002751,483643.5108023256,5.667601987540004,13.089103366384997
E01002752,562289.2226114313,5.771598078483759,13.239771627479914
E01002753,404760.63830542564,5.504377508604968,12.911051154839749
E01002754,503166.2284407392,5.891203861861002,13.128675868524613
E01002755,449650.6652365123,5.557901512781779,13.016226260795614
E01002756,500558.62827089767,5.7549698262111,13.123480010279522
E01002757,453466.9616701236,5.95285886984605,13.024677693998438
E01002758,351610.04690916446,5.5698329519915895,12.770278019211881
E01002759,495095.5697263439,5.80713827924414,13.112506093069413
E01002760,362750.33137114794,5.310723508557966,12.801470084243324
E01002762,521137.0757766433,5.882351622273845,13.163768387429167
E01002763,359833.52064771403,5.6714986476553495,12.793396760827477
E01002764,448316.4394097147,5.591289787900213,13.013254600025977
E01002765,401883.65839344874,5.350174369290471,12.903917918733406
E01002766,408817.4324404763,5.403167857199299,12.921023959918601
E01002767,424608.4062914253,5.7089629161591615,12.958922626198094
E01002768,476900.2254595457,5.6256572008132935,13.075062577046836
E01002769,605293.943190192,5.665031000080272,13.313469475535634
E01002770,498188.2928416128,5.678832785859292,13.118733382621253
E01002771,497991.22401404835,5.8045785219773,13.118337733389762
E01002772,415132.67929860175,5.389616964908129,12.93635345727001
E01002773,401114.9740312224,5.485688877105713,12.902003383475225
E01002774,509028.5979394535,5.744580067396164,13.14025947851125
E01002775,631493.1248842648,5.687379418886625,13.355842333752635
