,LSOA code (2011),Crime Score,lsoa,Unnamed: 0
91,E01000095,0.944,E01000095,5.414667860419566
92,E01000096,1.284,E01000096,5.519120104200258
93,E01000097,0.468,E01000097,5.863783077282064
94,E01000098,0.911,E01000098,5.859651858374576
95,E01000099,0.008,E01000099,5.843894264485576
96,E01000100,0.634,E01000100,5.952902607379421
97,E01000101,0.832,E01000101,5.83634913326206
98,E01000102,0.762,E01000102,5.8617207214532305
99,E01000103,0.58,E01000103,5.710728249698877
100,E01000104,0.131,E01000104,5.852193726433648
101,E01000105,1.039,E01000105,5.809800770375635
102,E01000106,0.786,E01000106,5.783066832678658
103,E01000107,-0.027,E01000107,5.9524202442809235
104,E01000108,0.183,E01000108,5.866525688171387
105,E01000109,0.891,E01000109,5.721630224262375
106,E01000110,-0.312,E01000110,5.961759086546859
107,E01000111,0.313,E01000111,5.736742771960594
108,E01000112,0.602,E01000112,5.767379804227337
109,E01000113,0.708,E01000113,5.725910397463067
110,E01000114,0.423,E01000114,5.745504099855978
111,E01000115,-0.545,E01000115,6.274722427436986
112,E01000116,-0.43,E01000116,6.305150399828171
113,E01000117,-0.168,E01000117,5.941900429865306
114,E01000118,-0.206,E01000118,6.164255143363695
115,E01000119,0.627,E01000119,6.066599614692457
116,E01000120,-0.568,E01000120,6.047538803418477
117,E01000121,0.336,E01000121,5.911839280809675
118,E01000122,-0.622,E01000122,6.076037252412259
119,E01000123,-0.684,E01000123,5.977901111569321
120,E01000124,0.491,E01000124,5.732230159971449
121,E01000125,0.586,E01000125,5.720837571223577
122,E01000126,-0.164,E01000126,5.800171410165182
123,E01000127,0.424,E01000127,6.041064031831511
124,E01000128,0.957,E01000128,5.888777806570656
125,E01000129,1.004,E01000129,5.7389024022203055
126,E01000130,0.839,E01000130,6.0620888424854655
127,E01000131,1.133,E01000131,6.0253282635300245
128,E01000132,0.309,E01000132,5.955177166751612
129,E01000133,0.065,E01000133,6.001288998694647
130,E01000134,-0.195,E01000134,5.941856647605326
131,E01000135,0.385,E01000135,6.219591658099804
132,E01000136,0.188,E01000136,6.125337891048855
133,E01000137,0.348,E01000137,5.986389154611632
134,E01000138,1.066,E01000138,6.004264145032734
135,E01000139,0.61,E01000139,6.034962356760261
136,E01000140,-0.026,E01000140,5.86273693653845
137,E01000141,1.518,E01000141,5.714731913836882
138,E01000142,-0.373,E01000142,6.024687900483233
139,E01000143,0.763,E01000143,5.986248478744969
140,E01000144,0.717,E01000144,6.030055368940036
141,E01000145,0.196,E01000145,6.199942797422409
142,E01000146,0.638,E01000146,6.033525305841027
143,E01000147,0.336,E01000147,5.984348384325936
144,E01000148,0.009,E01000148,5.779860298884542
145,E01000150,-0.033,E01000150,5.805264791941534
146,E01000151,0.085,E01000151,5.629223042412808
147,E01000152,0.049,E01000152,5.828467808167139
148,E01000153,0.872,E01000153,5.806273373882328
149,E01000154,0.827,E01000154,5.668927070829604
150,E01000155,-0.128,E01000155,6.01448202252388
151,E01000156,-0.158,E01000156,6.166375162187687
152,E01000157,-0.281,E01000157,6.045678289313066
153,E01000158,0.561,E01000158,6.161849271774292
154,E01000159,0.561,E01000159,6.114333974463599
155,E01000160,0.463,E01000160,6.026126870742211
156,E01000161,0.612,E01000161,6.04307620453112
157,E01000162,0.481,E01000162,6.0085409348269545
158,E01000163,0.26,E01000163,5.782542148758384
159,E01000164,0.841,E01000164,5.668805110580929
160,E01000165,0.198,E01000165,5.920536049163144
161,E01000166,0.276,E01000166,6.116781431158589
162,E01000167,0.516,E01000167,6.160831629835217
163,E01000168,-0.095,E01000168,6.155264799622284
164,E01000169,0.466,E01000169,6.1179633918383445
165,E01000170,0.536,E01000170,6.025533941430106
166,E01000171,0.288,E01000171,5.820735371312615
167,E01000172,-0.743,E01000172,6.147488580431257
168,E01000173,-0.085,E01000173,5.884684909221738
169,E01000174,-0.248,E01000174,6.019390859101948
170,E01000175,0.185,E01000175,6.126419147990998
171,E01000176,0.377,E01000176,5.793700892564862
172,E01000177,0.031,E01000177,6.112214620433637
173,E01000178,-0.15,E01000178,6.153077083118891
174,E01000179,-0.087,E01000179,6.054054765140309
175,E01000180,-0.257,E01000180,6.082455034797073
176,E01000181,0.07,E01000181,6.280708046520457
177,E01000182,-0.177,E01000182,6.227534548680585
178,E01000183,-0.504,E01000183,6.155914498820449
179,E01000184,0.303,E01000184,5.886033974974244
180,E01000185,-0.438,E01000185,5.869644086360932
181,E01000186,-0.699,E01000186,6.145215326044933
182,E01000187,-0.561,E01000187,6.1418621002459055
183,E01000188,0.509,E01000188,5.749807979872818
184,E01000189,-0.444,E01000189,6.028090595302725
185,E01000190,-0.437,E01000190,6.179606858052705
186,E01000191,-0.547,E01000191,6.012086560275104
187,E01000192,0.535,E01000192,5.972447916404488
188,E01000193,0.546,E01000193,6.088468325656393
189,E01000194,0.884,E01000194,5.989754090706508
190,E01000195,0.143,E01000195,5.7139947753611615
191,E01000196,-0.675,E01000196,5.963859454445217
192,E01000197,0.035,E01000197,6.121505301379593
193,E01000198,-0.606,E01000198,5.98537860661745
194,E01000199,-0.138,E01000199,6.082807967675984
195,E01000200,0.008,E01000200,6.11901352113607
196,E01000201,-0.066,E01000201,6.146766081966203
197,E01000202,-0.497,E01000202,6.237281321076786
198,E01000203,-0.564,E01000203,5.966837814041212
199,E01000204,0.3,E01000204,6.155893927354079
200,E01000205,0.215,E01000205,6.304122282534229
201,E01000206,0.147,E01000206,6.122034884354459
202,E01000207,-0.487,E01000207,6.351444655451282
203,E01000208,0.17,E01000208,6.227403180165724
204,E01000209,-0.013,E01000209,6.400863550251645
205,E01000210,0.359,E01000210,6.205693564146681
206,E01000211,-0.369,E01000211,5.913233365585555
207,E01000212,-0.219,E01000212,6.260796634440727
208,E01000213,-0.45,E01000213,6.436296578203694
209,E01000214,0.283,E01000214,6.23909256659763
210,E01000215,-0.456,E01000215,5.962440249146215
211,E01000216,-0.268,E01000216,6.251338266464601
212,E01000217,-0.342,E01000217,6.072993186055397
213,E01000218,0.132,E01000218,6.042504688789105
214,E01000219,0.403,E01000219,5.920035440217024
215,E01000220,-0.403,E01000220,6.084167278729952
216,E01000221,1.127,E01000221,5.608311443599229
217,E01000222,0.729,E01000222,5.889700118826811
218,E01000223,0.888,E01000223,5.6476196981825915
219,E01000224,-0.054,E01000224,6.007944510943854
220,E01000225,-0.009,E01000225,5.911609153204326
221,E01000226,-0.171,E01000226,6.0183486566475946
222,E01000227,-0.601,E01000227,6.005948148924729
223,E01000228,0.618,E01000228,5.792731091558791
224,E01000229,0.071,E01000229,5.943722023117926
225,E01000230,-0.336,E01000230,6.042214225320255
226,E01000231,0.156,E01000231,5.814352007473216
227,E01000232,0.019,E01000232,5.891484142433513
228,E01000233,-0.162,E01000233,5.9351436217625935
229,E01000234,-0.259,E01000234,6.249448927966031
230,E01000235,0.481,E01000235,5.973799231561642
231,E01000236,-0.545,E01000236,5.97491907323157
232,E01000237,0.266,E01000237,5.928050509564162
233,E01000238,-0.19,E01000238,5.999380854284688
234,E01000239,-0.006,E01000239,5.6357710892573385
235,E01000240,0.071,E01000240,5.852448983797951
236,E01000241,-0.181,E01000241,6.099696368184583
237,E01000242,0.287,E01000242,5.894807778515862
238,E01000243,0.105,E01000243,6.018534129979659
239,E01000244,0.292,E01000244,5.979658091321904
240,E01000245,0.449,E01000245,5.612701248721916
241,E01000246,0.498,E01000246,6.062190091336957
242,E01000247,-0.555,E01000247,6.110815503904896
243,E01000248,0.52,E01000248,6.158801528514844
244,E01000249,0.087,E01000249,6.151711976643905
245,E01000250,0.064,E01000250,6.034338780071424
246,E01000251,0.114,E01000251,6.098551669860269
247,E01000252,0.165,E01000252,6.170443856632793
248,E01000253,0.187,E01000253,5.859670069139445
249,E01000254,-0.121,E01000254,6.104965109209861
250,E01000255,0.195,E01000255,5.990105226374509
251,E01000256,0.014,E01000256,6.047889906106536
252,E01000257,0.252,E01000257,5.881626955668131
253,E01000258,0.361,E01000258,5.983232489947615
254,E01000259,0.318,E01000259,6.100547596027977
255,E01000260,0.203,E01000260,5.71534799826595
256,E01000261,-0.944,E01000261,6.033170974099791
257,E01000262,-0.404,E01000262,5.909054290977392
258,E01000263,-0.311,E01000263,6.221720236128774
259,E01000264,0.195,E01000264,5.776286695033881
260,E01000265,-0.357,E01000265,5.890377854086031
261,E01000266,0.572,E01000266,6.18510890138742
262,E01000267,-0.628,E01000267,5.9941595278003
263,E01000268,-0.132,E01000268,5.9796777020639444
264,E01000269,0.173,E01000269,6.112748450012568
265,E01000270,0.109,E01000270,6.085159768660863
266,E01000271,-0.499,E01000271,6.120138808571059
267,E01000272,-0.007,E01000272,6.18967497163486
268,E01000273,-0.127,E01000273,6.019446196922889
