,LSOA code (2011),Living Environment Score,Crime Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,"Education, Skills and Training Score",Employment Score (rate),Income Score (rate),Index of Multiple Deprivation (IMD) Score,Outdoors Sub-domain Score,lsoa_x,hierarchical8x,lsoa_y,hierarchical13x,lsoa,hierarchical24x
69,E01000073,23.636,1.346,0.57,43.442,35.14,0.135,0.209,38.757,0.71,E01000073,3.0,,,,
70,E01000074,22.806,0.005,0.461,47.408,32.398,0.128,0.234,35.044,0.837,E01000074,3.0,,,,
71,E01000075,39.815,1.057,0.136,44.869,36.347,0.118,0.196,36.999,1.375,E01000075,3.0,E01000075,4.0,E01000075,5.0
72,E01000076,27.02,0.287,0.097,49.87,36.193,0.148,0.208,36.246,0.892,E01000076,3.0,E01000076,9.0,E01000076,12.0
73,E01000077,35.02,0.487,0.725,44.143,33.494,0.159,0.251,41.032,1.091,E01000077,3.0,E01000077,3.0,E01000077,11.0
74,E01000078,33.091,0.467,0.035,44.311,33.668,0.128,0.228,35.033,1.073,E01000078,3.0,,,,
75,E01000079,29.325,0.253,0.045,48.007,24.526,0.141,0.227,34.522,0.94,E01000079,3.0,E01000079,3.0,E01000079,11.0
76,E01000080,24.492,0.145,0.445,45.385,26.379,0.146,0.19,33.185,0.984,E01000080,3.0,E01000080,3.0,E01000080,11.0
77,E01000081,32.758,0.192,0.225,43.718,30.952,0.116,0.162,30.608,1.009,E01000081,3.0,E01000081,9.0,E01000081,12.0
78,E01000082,30.006,-0.221,-0.111,43.176,31.053,0.113,0.158,27.895,1.037,E01000082,3.0,,,,
79,E01000083,35.395,0.434,0.361,44.245,27.072,0.134,0.196,34.377,1.118,E01000083,3.0,E01000083,3.0,E01000083,11.0
80,E01000084,28.534,1.309,0.338,43.432,36.839,0.141,0.229,39.815,1.086,E01000084,3.0,E01000084,3.0,E01000084,11.0
81,E01000085,32.465,1.036,-0.227,46.139,36.259,0.124,0.189,35.154,1.156,E01000085,3.0,E01000085,9.0,E01000085,12.0
82,E01000086,26.281,0.868,0.89,42.757,28.503,0.142,0.218,38.156,0.78,E01000086,3.0,E01000086,3.0,E01000086,11.0
83,E01000087,31.357,0.135,0.046,48.565,27.171,0.131,0.226,34.357,0.968,E01000087,3.0,E01000087,3.0,E01000087,11.0
84,E01000088,34.525,0.552,0.264,44.005,20.313,0.1,0.147,28.849,1.268,E01000088,3.0,E01000088,9.0,E01000088,12.0
85,E01000089,40.955,0.189,-0.154,47.254,25.246,0.092,0.156,28.968,1.104,E01000089,3.0,E01000089,9.0,E01000089,12.0
86,E01000090,29.464,0.7,-0.187,45.475,22.024,0.091,0.169,28.317,1.071,,,,,,
87,E01000091,23.563,0.994,0.324,48.266,32.562,0.175,0.256,42.183,1.17,E01000091,3.0,E01000091,3.0,E01000091,11.0
88,E01000092,29.993,0.657,-0.008,61.059,18.788,0.106,0.215,33.768,0.862,E01000092,4.0,E01000092,5.0,E01000092,14.0
89,E01000093,43.57,1.073,0.842,49.657,27.955,0.169,0.26,46.922,1.582,E01000093,4.0,E01000093,5.0,E01000093,13.0
90,E01000094,20.692,0.524,-0.036,64.961,10.866,0.094,0.167,28.182,0.648,,,,,,
91,E01000095,18.657,0.944,-0.111,63.151,22.314,0.095,0.196,32.254,0.888,E01000095,4.0,E01000095,5.0,,
92,E01000096,29.982,1.284,0.008,48.317,34.307,0.135,0.259,40.926,1.553,E01000096,4.0,E01000096,5.0,,
93,E01000097,28.566,0.468,0.808,47.096,32.926,0.131,0.223,38.009,1.08,E01000097,3.0,E01000097,3.0,E01000097,11.0
94,E01000098,28.673,0.911,0.443,43.482,31.389,0.159,0.239,39.405,1.104,E01000098,3.0,E01000098,3.0,E01000098,11.0
95,E01000099,26.795,0.008,0.214,47.111,25.037,0.105,0.174,29.266,0.705,E01000099,3.0,E01000099,3.0,E01000099,11.0
96,E01000100,38.207,0.634,0.106,42.938,29.622,0.117,0.16,31.83,1.09,E01000100,3.0,E01000100,3.0,E01000100,11.0
97,E01000101,37.223,0.832,0.464,43.29,28.988,0.154,0.254,40.463,1.53,E01000101,3.0,E01000101,3.0,E01000101,11.0
98,E01000102,33.8,0.762,0.684,44.376,23.976,0.175,0.275,42.631,1.105,E01000102,3.0,E01000102,3.0,E01000102,11.0
99,E01000103,20.068,0.58,0.427,50.872,26.208,0.113,0.18,32.894,0.622,E01000103,3.0,,,,
100,E01000104,18.066,0.131,0.276,50.107,31.664,0.134,0.222,34.672,0.646,,,,,,
101,E01000105,25.589,1.039,0.932,47.24,36.132,0.165,0.246,44.149,1.071,E01000105,3.0,,,,
102,E01000106,26.265,0.786,0.636,51.428,27.219,0.167,0.275,43.523,0.688,,,,,,
103,E01000107,22.813,-0.027,0.579,44.429,29.324,0.095,0.151,28.332,0.673,E01000107,3.0,E01000107,9.0,E01000107,12.0
104,E01000108,35.136,0.183,0.158,41.045,20.596,0.104,0.171,28.166,0.723,E01000108,3.0,,,,
105,E01000109,34.149,0.891,-0.199,39.755,22.485,0.084,0.12,25.691,1.049,E01000109,3.0,E01000109,9.0,E01000109,12.0
106,E01000110,20.544,-0.312,-0.002,32.872,12.848,0.078,0.112,17.741,0.689,E01000110,3.0,,,,
107,E01000111,26.789,0.313,0.187,44.339,20.878,0.111,0.174,28.903,0.807,E01000111,3.0,E01000111,3.0,E01000111,11.0
108,E01000112,40.766,0.602,-0.324,43.159,18.969,0.065,0.129,24.743,0.93,,,,,,
109,E01000113,26.945,0.708,-0.122,42.208,16.983,0.081,0.152,25.268,1.001,,,,,,
110,E01000114,34.274,0.423,-0.117,40.755,19.124,0.074,0.119,23.288,0.941,E01000114,3.0,,,,
111,E01000115,18.838,-0.545,-1.526,17.004,3.734,0.046,0.055,6.227,0.849,E01000115,3.0,E01000115,3.0,E01000115,11.0
112,E01000116,18.248,-0.43,-1.412,19.173,3.87,0.049,0.074,7.79,0.403,E01000116,3.0,,,,
113,E01000117,17.66,-0.168,-1.141,21.506,6.077,0.062,0.071,9.642,0.417,E01000117,3.0,E01000117,3.0,E01000117,11.0
114,E01000118,16.261,-0.206,-1.679,22.339,8.59,0.059,0.077,9.812,0.443,E01000118,3.0,E01000118,3.0,E01000118,11.0
115,E01000119,21.949,0.627,-1.884,23.519,3.312,0.054,0.078,11.589,0.86,E01000119,3.0,E01000119,9.0,E01000119,12.0
116,E01000120,14.872,-0.568,-1.58,18.977,4.436,0.036,0.061,5.902,0.561,E01000120,3.0,E01000120,9.0,E01000120,12.0
117,E01000121,13.339,0.336,0.261,37.522,22.583,0.194,0.262,36.203,0.571,E01000121,3.0,E01000121,3.0,E01000121,11.0
118,E01000122,21.817,-0.622,-1.246,30.659,2.257,0.055,0.071,10.152,0.543,E01000122,3.0,E01000122,3.0,E01000122,11.0
119,E01000123,15.659,-0.684,-1.062,34.632,8.519,0.049,0.075,11.048,0.372,E01000123,3.0,,,,
120,E01000124,20.768,0.491,-0.593,30.587,14.674,0.128,0.166,23.589,0.96,E01000124,3.0,E01000124,4.0,E01000124,5.0
121,E01000125,20.582,0.586,-0.615,45.911,23.785,0.088,0.179,26.704,1.071,,,,,,
122,E01000126,24.433,-0.164,-0.077,51.181,13.21,0.152,0.243,33.625,0.672,,,,,,
123,E01000127,22.92,0.424,-0.495,37.588,21.348,0.129,0.193,27.543,0.862,E01000127,3.0,E01000127,3.0,E01000127,11.0
124,E01000128,27.146,0.957,-0.346,34.708,22.529,0.103,0.171,27.055,1.087,E01000128,3.0,,,,
125,E01000129,25.543,1.004,-0.148,38.657,23.973,0.11,0.214,31.0,1.277,E01000129,3.0,E01000129,3.0,E01000129,11.0
126,E01000130,35.288,0.839,-0.331,43.475,19.118,0.118,0.185,30.863,0.757,E01000130,3.0,E01000130,3.0,E01000130,11.0
127,E01000131,20.979,1.133,-0.802,39.033,10.9,0.067,0.116,20.904,1.139,E01000131,3.0,E01000131,3.0,E01000131,11.0
128,E01000132,25.837,0.309,-0.464,35.397,22.698,0.106,0.187,25.53,1.039,E01000132,3.0,,,,
129,E01000133,26.72,0.065,-0.059,40.079,24.516,0.159,0.188,30.774,1.101,E01000133,3.0,,,,
