,lsoa,all_2011,0-14_2011,15-29_2011,30-69_2011,70+_2011,all_2020,0-14_2020,15-29_2020,30-69_2020,70+_2020
581,E01002788,1848,221,484,1058,85,2123,279,457,1238,149
582,E01002789,1857,268,400,1094,95,2123,363,462,1125,173
583,E01002738,1783,292,370,984,137,2247,365,504,1191,187
584,E01002741,1514,304,401,686,123,1720,354,421,826,119
585,E01002743,1661,301,422,801,137,1914,359,428,949,178
586,E01002744,1448,193,320,852,83,1575,192,311,963,109
587,E01002752,1522,276,380,780,86,1625,284,365,890,86
588,E01002764,1776,304,503,829,140,2014,333,622,909,150
589,E01002783,1495,204,408,760,123,1768,313,470,890,95
590,E01002784,1787,321,458,872,136,1858,287,494,937,140
591,E01002786,1804,315,534,851,104,1655,241,501,810,103
592,E01002787,1621,186,587,782,66,1485,220,459,728,78
593,E01002762,1954,203,676,989,86,2228,214,796,1084,134
594,E01002767,2040,297,605,992,146,2324,352,703,1120,149
595,E01033486,1040,164,348,483,45,1127,186,376,530,35
596,E01033487,1235,159,477,589,10,1520,178,505,804,33
597,E01033488,1213,175,419,530,89,2756,208,1675,792,81
598,E01033491,1683,182,596,841,64,2520,188,1024,1219,89
599,E01033492,1352,124,538,666,24,2749,499,720,1475,55
600,E01002777,1620,169,444,896,111,1800,214,424,1019,143
601,E01002778,1773,442,481,733,117,1980,402,582,900,96
602,E01002779,1893,270,653,898,72,2182,319,792,1002,69
603,E01002781,1351,228,371,671,81,1553,290,374,785,104
604,E01002782,1525,374,360,699,92,1697,384,443,779,91
605,E01002739,1840,282,450,970,138,2115,376,497,1048,194
606,E01002740,1833,301,439,1009,84,2577,432,579,1447,119
607,E01002745,1470,198,345,844,83,1593,228,377,857,131
608,E01002795,1998,288,603,1021,86,2244,275,615,1216,138
609,E01002796,1041,103,291,566,81,1243,175,293,674,101
610,E01002716,2289,416,641,1060,172,2524,462,627,1253,182
611,E01002718,1669,172,484,915,98,1854,213,442,1072,127
612,E01002721,1668,233,386,943,106,1836,268,362,1092,114
613,E01002775,1435,163,417,795,60,1615,235,425,887,68
614,E01002776,1666,310,446,793,117,2172,387,541,1106,138
615,E01002780,1640,266,372,930,72,1723,277,368,977,101
616,E01002708,1987,259,764,851,113,2605,335,1023,1108,139
617,E01002712,1782,179,657,880,66,2129,285,777,970,97
618,E01002713,1554,241,360,735,218,2004,307,560,909,228
619,E01002765,2512,442,925,1022,123,4291,485,2266,1418,122
620,E01002766,1798,298,596,763,141,2554,398,906,1107,143
621,E01002717,1316,208,328,683,97,1411,187,327,758,139
622,E01002719,1494,209,319,822,144,1712,269,372,889,182
623,E01002720,2308,521,613,1047,127,2342,483,588,1139,132
624,E01002790,1434,209,348,735,142,1592,283,347,805,157
625,E01002791,1547,179,378,849,141,2248,349,490,1231,178
626,E01002793,1906,255,575,953,123,2193,266,582,1200,145
627,E01002698,2066,267,626,1099,74,2494,389,603,1391,111
628,E01002699,1501,162,382,865,92,1729,181,396,984,168
629,E01002700,1481,206,315,847,113,1657,251,329,900,177
630,E01002714,1705,230,510,897,68,1955,259,548,1056,92
631,E01002792,1870,253,554,967,96,2242,337,549,1218,138
632,E01002722,1310,196,310,692,112,1440,214,306,783,137
633,E01002797,1877,251,625,896,105,2175,295,636,1102,142
634,E01002798,1966,239,467,1113,147,2083,294,470,1169,150
635,E01002799,1834,331,475,889,139,2122,367,519,1096,140
636,E01002800,1055,237,266,474,78,1698,302,482,807,107
637,E01002694,1529,331,415,684,99,1613,351,412,732,118
638,E01002697,2099,312,935,682,170,2474,369,1122,830,153
639,E01002709,1769,249,634,733,153,1757,209,667,732,149
640,E01002710,1674,320,451,784,119,1683,306,473,809,95
641,E01002715,1516,315,492,615,94,1790,327,551,792,120
642,E01002696,1820,218,474,1028,100,2180,293,466,1241,180
643,E01002794,1780,211,536,922,111,2140,213,593,1148,186
644,E01002801,1557,167,418,870,102,1838,245,429,1014,150
645,E01002802,1481,197,377,814,93,1622,226,400,911,85
646,E01002803,2067,228,717,989,133,3251,453,1104,1531,163
647,E01002695,1718,230,572,760,156,1896,234,525,989,148
648,E01002711,1948,201,698,1001,48,2766,280,1139,1274,73
649,E01002727,1625,186,380,965,94,1696,232,320,1045,99
650,E01002728,1652,140,872,563,77,2000,196,1101,644,59
651,E01002729,1590,201,383,879,127,1726,197,397,963,169
652,E01002707,1746,172,664,796,114,2491,277,920,1209,85
653,E01002723,1534,225,495,704,110,2075,245,916,818,96
654,E01002724,1979,126,748,1047,58,2741,151,1235,1273,82
655,E01002725,1453,204,540,590,119,1840,253,746,748,93
656,E01002726,1691,250,443,903,95,1742,254,477,895,116
657,E01033489,1839,77,952,799,11,3085,158,1704,1178,45
658,E01033490,1710,162,867,602,79,2177,164,1267,663,83
659,E01002701,1592,218,480,747,147,1904,226,663,864,151
660,E01002702,1967,324,742,811,90,2653,431,1017,1115,90
661,E01002703,1642,260,549,734,99,2760,487,887,1260,126
662,E01002704,2194,310,731,989,164,2669,386,870,1264,149
663,E01002706,2016,357,560,954,145,2605,461,888,1112,144
664,E01002852,1898,386,399,986,127,2011,331,492,985,203
665,E01002853,1094,188,263,557,86,993,173,205,530,85
666,E01002854,1121,225,233,543,120,1032,195,180,506,151
667,E01002855,1726,272,402,922,130,1524,265,232,867,160
668,E01002857,1358,278,300,687,93,1131,181,185,627,138
669,E01002904,1176,210,301,587,78,1083,212,185,583,103
670,E01002905,1552,294,336,820,102,1417,237,269,765,146
671,E01002906,1677,268,378,834,197,1748,307,276,865,300
672,E01002907,1370,357,277,629,107,1331,311,218,649,153
673,E01002876,1715,310,307,932,166,1646,352,215,863,216
674,E01002877,1712,375,393,837,107,1623,361,298,849,115
675,E01002878,1616,216,290,977,133,1556,217,251,895,193
676,E01002908,1385,236,316,730,103,1295,262,232,684,117
677,E01002909,2122,272,414,1297,139,1918,308,258,1183,169
678,E01002829,1464,168,289,931,76,1301,178,183,817,123
679,E01002830,1765,213,381,1021,150,1621,204,241,952,224
680,E01002831,1967,280,453,1106,128,1737,291,293,968,185
681,E01002832,1695,243,379,970,103,1537,249,237,896,155
682,E01002856,1727,193,440,1019,75,1557,195,303,921,138
683,E01002870,1386,221,313,705,147,1435,212,246,771,206
684,E01002872,1440,243,212,728,257,1332,229,163,662,278
685,E01002879,1529,280,371,754,124,1278,195,268,629,186
686,E01002880,1542,322,351,765,104,976,209,177,483,107
687,E01002881,1402,295,311,704,92,1159,216,203,598,142
688,E01002882,1336,217,207,772,140,1369,240,165,727,237
689,E01002883,1819,256,340,997,226,1767,278,291,929,269
690,E01002884,1405,145,426,754,80,1359,146,324,729,160
691,E01002885,1530,146,431,888,65,1361,200,229,834,98
692,E01002886,1537,242,257,916,122,1454,246,167,874,167
693,E01002833,1457,195,300,880,82,1391,229,200,846,116
694,E01002871,1679,301,252,987,139,1671,297,235,951,188
