,OA code,price,"Price (central estimate, natural log scale)",oa,Unnamed: 0
2336,E00002427,270998.6334646347,12.5098690572832,E00002427,5.288409967422485
2337,E00002428,264504.0168491201,12.4856117167403,E00002428,5.340808868408203
2338,E00002429,260214.30806634467,12.4692608322741,E00002429,5.623971562636526
2339,E00002430,269946.63555568655,12.5059795723559,E00002430,5.9159964964939995
2340,E00002431,302417.7940805488,12.6195647644153,E00002431,5.792434249605451
2341,E00002432,244754.91432431535,12.4080126391465,E00002432,5.2688922023773195
2342,E00002433,278106.2755036618,12.5357586056045,E00002433,5.404741669956007
2343,E00002434,292741.0039275157,12.587043551449,E00002434,5.809737825393677
2344,E00002435,275322.04330115655,12.5256967580348,E00002435,5.399366974830627
2345,E00002436,279217.1960929423,12.5397452385645,E00002436,5.376260179060477
2346,E00002437,304976.36645524803,12.6279895655553,E00002437,5.766510941765525
2347,E00002438,282657.46768738586,12.5519910820176,E00002438,5.1717856863895095
2348,E00002439,307317.54645964125,12.6356368452833,E00002439,5.616796525816123
2349,E00002440,267957.00350212277,12.4985818119284,E00002440,5.892517720951753
2350,E00002441,273552.89927118254,12.5192502981241,E00002441,4.9858060876528425
2351,E00002442,263926.05297327565,12.4834242405185,E00002442,5.465272982915242
2352,E00002443,326931.76367266907,12.6975067543201,E00002443,5.637489843875803
2353,E00002444,277007.5092849573,12.531799894134,E00002444,5.407328560948372
2354,E00002445,341738.1760159859,12.7418001556438,E00002445,5.505696803331375
2355,E00002446,294883.96246304316,12.5943372103576,E00002446,5.688406352813427
2356,E00002447,331097.6489891121,12.7101686229034,E00002447,5.587781095504761
2357,E00002448,296105.1156353881,12.5984697906557,E00002448,5.486960461645415
2358,E00002449,267440.65847914806,12.4966529832475,E00002449,5.022651149676396
2359,E00002450,316342.2070415317,12.6645798402951,E00002450,5.464800210560069
2360,E00002451,365462.6676433492,12.8089194124446,E00002451,5.593003365530897
2361,E00002452,315612.98812704644,12.6622720208683,E00002452,5.322422051429749
2362,E00002453,326834.68706704787,12.6972097779114,E00002453,5.675500874616662
2363,E00002454,351481.28985011054,12.7699117593712,E00002454,5.694821929109508
2364,E00002455,249308.8876736925,12.4264479193924,E00002455,4.6657571111406595
2365,E00002456,289095.25005656906,12.5745114977642,E00002456,5.628237104415893
2366,E00002457,275209.6206735164,12.525288343273,E00002457,5.141063976287842
2367,E00002458,365918.155816329,12.8101649693891,E00002458,5.663158441291136
2368,E00002459,337214.2351899567,12.7284737200846,E00002459,5.588339265849855
2369,E00002460,409764.4424750028,12.9233377430258,E00002460,5.9519363164901735
2370,E00002461,351118.54644302826,12.7688791845809,E00002461,5.7854765837009134
2371,E00002462,427137.110043764,12.964860341474,E00002462,5.660289951733181
2372,E00002463,431506.5070213304,12.975037869395,E00002463,5.7997987646805615
2373,E00002464,486014.1151062125,13.0939929458893,E00002464,5.811151230335236
2374,E00002465,361596.0704108219,12.7982830402144,E00002465,5.705024858315785
2375,E00002466,558565.6502640453,13.2331274380569,E00002466,6.06800119082133
2376,E00002467,454918.95477501594,13.027874560694,E00002467,5.986907047884805
2377,E00002468,351040.9322441582,12.7686581117291,E00002468,5.409013553099199
2378,E00002469,468677.38911866484,13.0576699410545,E00002469,5.716633473833402
2379,E00002470,340733.6129541092,12.7388562572919,E00002470,5.615002668820894
2380,E00002471,312617.0224800387,12.6527341499976,E00002471,5.132783560752869
2381,E00002472,463411.5841563511,13.0463708888474,E00002472,6.113061020771663
2382,E00002473,420306.53417517775,12.9487395673277,E00002473,5.68964397162199
2383,E00002474,510113.1371697835,13.142387817686,E00002474,5.937419176101685
2384,E00002475,418955.14440534374,12.9455191392484,E00002475,5.795723581314087
2385,E00002476,293374.78414926946,12.5892061974028,E00002476,5.341403262715944
