,Unnamed: 0,X,LSOA.code..2011.,Income.Score..rate.,lsoa,Unnamed..0,resid,res_dec,Outdoors.Sub.domain.Score,Education..Skills.and.Training.Score,wealth_resid,outdoor_resid,education_resid
822,823,822,E01000840,0.054,E01000840,5.68846595623124,0.0074061751294947,5,0.628,4.215,0.0074061751294947,0.0630817936931477,0.0609840970415554
849,850,849,E01000867,0.22,E01000867,5.43161449692037,-0.0224119244419896,4,2.076,21.635,-0.0224119244419896,-0.0344627241442582,-0.0337579741319293
858,859,858,E01000876,0.224,E01000876,5.48691452756713,0.0383587895719833,5,1.314,15.354,0.0383587895719833,-0.0300082495405308,-0.0341823148263576
912,913,912,E01000930,0.249,E01000930,5.48430041636317,0.0699364494131166,6,1.787,17.051,0.0699364494131166,-0.0269079970103625,0.0493812442718243
1093,1094,1093,E01001114,0.25,E01001114,5.3753260088361,-0.0376702872721524,4,1.133,34.193,-0.0376702872721524,0.0204334762225594,-0.0138206002732485
1113,1114,1113,E01001134,0.07,E01001134,5.63586654611256,-0.0233105015203291,4,0.496,8.774,-0.0233105015203291,-0.0136914550631364,0.0508368952223536
1146,1147,1146,E01001167,0.131,E01001167,5.57710020279007,0.0013510765072005,5,1.417,11.225,0.0013510765072005,0.0847895262656817,0.0345579921445094
1187,1188,1187,E01001208,0.065,E01001208,5.74066994169302,0.0746545398511172,6,1.401,1.458,0.0746545398511172,-0.0377398305999052,-0.0037733498479238
1201,1202,1201,E01001222,0.125,E01001222,5.58693792484701,0.0029827735133137,5,1.693,6.483,0.0029827735133137,-0.0235341293337728,-0.0311779112001364
1211,1212,1211,E01001232,0.125,E01001232,5.6479143795566,0.0639592282229092,6,1.357,10.07,0.0639592282229092,0.0710636663688649,0.0634036675230287
1237,1238,1237,E01001259,0.126,E01001259,5.59338289744233,0.0107954169504452,5,1.478,16.107,0.0107954169504452,0.0741657446418341,0.0433585033991543
1290,1291,1290,E01001312,0.105,E01001312,5.58868008987032,-0.0226284782994461,4,1.212,11.654,-0.0226284782994461,-0.0231566080903092,-0.0062149457343905
1396,1397,1396,E01001419,0.099,E01001419,5.61851213166588,-0.0010024615547021,5,0.359,3.74,-0.0010024615547021,-0.0381618645982902,-0.0148926390663755
1423,1424,1423,E01001447,0.302,E01001447,5.39276490278884,0.0508874904543741,6,0.651,32.613,0.0508874904543741,0.0501849713501555,-0.0249068515202586
1498,1499,1498,E01001523,0.065,E01001523,5.70419227493846,0.038176873096554,5,0.391,4.41,0.038176873096554,-0.0454706632235754,-0.0001450222468787
1581,1582,1581,E01001607,0.12,E01001607,5.6829314877867,0.0921379822439927,6,0.989,10.649,0.0921379822439927,0.085012387334923,-0.0056132863860453
1585,1586,1585,E01001611,0.12,E01001611,5.62257153715863,0.0317780316159222,5,0.862,18.058,0.0317780316159222,0.005772394437719,-0.0394254555931843
1600,1601,1600,E01001633,0.245,E01001633,5.38115021444502,-0.0386844358722467,4,0.838,21.632,-0.0386844358722467,-0.0120074299313801,-0.0205877699006791
1670,1671,1670,E01001710,0.259,E01001710,5.37943075747972,-0.0212565010522999,4,0.775,26.943,-0.0212565010522999,-0.0219529654090585,-0.039357131090536
1713,1714,1713,E01001755,0.247,E01001755,5.47381928270938,0.0567199740757206,6,1.98,17.111,0.0567199740757206,0.0753775483219401,0.0229268439600256
1720,1721,1720,E01001762,0.138,E01001762,5.55024623760471,-0.0159291927855411,4,1.857,4.389,-0.0159291927855411,-0.0402366507414479,0.0680482942326016
1735,1736,1735,E01001780,0.225,E01001780,5.44329622324477,-0.003891843908572,4,2.594,13.408,-0.003891843908572,0.0182462646912492,-0.0327369870550073
1788,1789,1788,E01001837,0.086,E01001837,5.61457615559644,-0.0227181585675904,4,1.82,2.089,-0.0227181585675904,0.0409411203119054,0.0319032230326661
1791,1792,1791,E01001840,0.262,E01001840,5.4479729062035,0.051388660196887,6,1.626,17.855,0.051388660196887,0.0027193898660031,0.0380957616432399
1884,1885,1884,E01001933,0.123,E01001933,5.60916326533664,0.0224727723193437,5,1.631,7.679,0.0224727723193437,-0.027075766067529,-0.0345901587645204
1889,1890,1889,E01001939,0.168,E01001939,5.50335500616094,-0.0217902989751978,4,1.722,14.819,-0.0217902989751978,0.0043397029561647,0.0597616757963287
1912,1913,1912,E01001962,0.109,E01001962,5.60420228110419,-0.0016356036983554,4,1.265,3.491,-0.0016356036983554,0.0442120674111969,0.0183377695214113
1958,1959,1958,E01002008,0.049,E01002008,5.66730871550123,-0.0205894198095354,4,1.123,3.402,-0.0205894198095354,0.012882971336068,-0.0347481201660608
1960,1961,1960,E01002010,0.126,E01002010,5.64735033686873,0.0647628563768357,6,1.198,7.054,0.0647628563768357,0.0036200115407763,0.0104581296887306
1963,1964,1963,E01002014,0.157,E01002014,5.55250612449646,0.0123164401004792,5,1.501,5.357,0.0123164401004792,-0.0289986523017615,0.0193007529221744
2037,2038,2037,E01002089,0.347,E01002089,5.28313634087962,0.0028041164263142,5,1.418,39.292,0.0028041164263142,0.0885413515724993,0.0434691591309631
2047,2048,2047,E01002099,0.281,E01002099,5.36279692857162,-0.007801571440725,4,1.281,24.136,-0.007801571440725,0.0643647533968078,0.0206767927272846
2058,2059,2058,E01002110,0.07,E01002110,5.65321613515465,-0.0059609124782372,4,0.911,3.28,-0.0059609124782372,0.0700173260539194,0.036961766574152
2084,2085,2084,E01002136,0.095,E01002136,5.62277995188212,-0.0022053247056822,4,1.075,3.09,-0.0022053247056822,0.0619659345985674,0.021612263403477
2088,2089,2088,E01002140,0.135,E01002140,5.62077233640627,0.0504938934906118,6,0.606,9.874,0.0504938934906118,-0.0029707513548532,0.0275875426138459
2128,2129,2128,E01002180,0.189,E01002180,5.50904728341521,0.0126230659569409,5,0.754,16.471,0.0126230659569409,0.0014431007662415,0.0511865155377557
2132,2133,2132,E01002184,0.146,E01002184,5.5949813245817,0.0397472609258809,5,0.458,10.656,0.0397472609258809,-0.0103564389009231,0.0358396795013656
2133,2134,2133,E01002185,0.239,E01002185,5.49483209416486,0.066791418796771,6,0.35,19.487,0.066791418796771,0.0540311317415853,0.0595312708692589
2155,2156,2155,E01002208,0.036,E01002208,5.76610898753492,0.0604311312807119,6,0.333,0.645,0.0604311312807119,0.0608233774345688,0.0003238551761057
2164,2165,2164,E01002217,0.249,E01002217,5.47479452455745,0.0604305576073941,6,0.534,21.271,0.0604305576073941,-0.0224420399817518,0.0218414348153348
2220,2221,2220,E01002273,0.054,E01002273,5.74660958988326,0.0655498087815156,6,0.051,17.26,0.0655498087815156,-0.0149034813079408,-0.0166423575021114
2221,2222,2221,E01002274,0.056,E01002274,5.72362416177183,0.0452997223536899,6,0.283,12.994,0.0452997223536899,-0.0387652063801862,0.0268441477707819
2226,2227,2226,E01002279,0.163,E01002279,5.58276785288425,0.0507841935390952,6,0.081,34.252,0.0507841935390952,0.0571510146555863,-0.0288036298962682
2306,2307,2306,E01002360,0.096,E01002360,5.6242344298146,0.0006168240686032,5,0.286,14.168,0.0006168240686032,0.004644152185191,0.0246839739732716
2364,2365,2364,E01002418,0.09,E01002418,5.69885727987124,0.0670336490744238,6,0.243,10.521,0.0670336490744238,0.0162512473364818,0.0678363986502602
2367,2368,2367,E01002421,0.07,E01002421,5.63912658512911,-0.0200504625037764,4,0.412,6.823,-0.0200504625037764,0.0460391536264158,0.0260803777490597
2475,2476,2475,E01002534,0.08,E01002534,5.67638561698054,0.0308852777656841,5,0.381,6.469,0.0308852777656841,-0.000197200747125,-0.0320911758801997
2476,2477,2476,E01002535,0.062,E01002535,5.67768694636642,0.0075685319991078,5,0.794,3.552,0.0075685319991078,-0.0463498625168556,0.0262136481829762
2521,2522,2521,E01002580,0.132,E01002580,5.66682807570797,0.092446620266901,6,1.732,4.397,0.092446620266901,-0.0152673223083254,0.0050730397751075
2580,2581,2580,E01002640,0.07,E01002640,5.62975752612819,-0.0294195215046983,4,1.45,5.921,-0.0294195215046983,-0.033294154869406,0.0021664825421076
2610,2611,2610,E01002671,0.097,E01002671,5.6893234372139,0.0670735023097061,6,1.04,8.7,0.0670735023097061,0.025900250092545,0.0218972248260919
2662,2663,2662,E01002726,0.172,E01002726,5.53600727819627,0.0163326564273462,5,2.256,7.84,0.0163326564273462,0.0021923891198157,-0.0357836902450444
2666,2667,2666,E01002730,0.168,E01002730,5.61174828743716,0.0866029823010174,6,2.008,9.46,0.0866029823010174,-0.014063359329968,0.0317715510412694
2673,2674,2673,E01002737,0.268,E01002737,5.40703014532725,0.0186519243714614,5,1.496,25.83,0.0186519243714614,0.0426199102465533,-0.0197185538299615
2702,2703,2702,E01002769,0.111,E01002769,5.66503100008027,0.0619284569613293,6,1.537,1.837,0.0619284569613293,-0.0017329864239163,-0.0284903874911974
2710,2711,2710,E01002777,0.175,E01002777,5.52792914591584,0.0123575366723184,5,1.682,6.937,0.0123575366723184,-0.0335112468146995,-0.0102419527938424
2731,2732,2731,E01002798,0.145,E01002798,5.52557542832459,-0.0310263061730354,4,1.947,5.725,-0.0310263061730354,0.005481493807503,0.0077262087565092
2732,2733,2732,E01002799,0.241,E01002799,5.45533125675642,0.0300259230719312,5,2.042,14.199,0.0300259230719312,-0.0449603594500658,-0.0344314139079012
2741,2742,2741,E01002808,0.176,E01002808,5.50345974965174,-0.0107441887499768,4,1.552,8.441,-0.0107441887499768,-0.0035570349414483,0.0027988604071474
2935,2936,2935,E01003003,0.103,E01003003,5.602755628881,-0.0112882809723699,4,1.007,8.14,-0.0112882809723699,0.0575418073581544,-0.0087699786844803
2950,2951,2950,E01003019,0.114,E01003019,5.66799662526198,0.0689970946684504,6,1.914,3.255,0.0689970946684504,-0.0030373443285467,-0.0394422069428803
2982,2983,2982,E01003051,0.221,E01003051,5.44891898052112,-0.00373976999943,4,2.127,17.496,-0.00373976999943,0.0640746507821592,0.0321569758039102
3008,3009,3008,E01003077,0.121,E01003077,5.66737926129213,0.077953426591226,6,1.835,5.566,0.077953426591226,-0.0401746002073347,0.04547764221667
3024,3025,3024,E01003093,0.246,E01003093,5.50149228672187,0.083025307246399,6,2.099,14.164,0.083025307246399,-0.0340406960553656,0.0441294018096901
3110,3111,3110,E01003180,0.145,E01003180,5.58248852565885,0.0258867911612233,5,1.99,6.834,0.0258867911612233,0.0794436368781117,-0.0391587753439463
3125,3126,3125,E01003195,0.131,E01003195,5.54350179959746,-0.0322473266854126,4,1.116,11.175,-0.0322473266854126,0.0156754159950382,0.0579980832011277
3163,3164,3163,E01003235,0.186,E01003235,5.48918266269748,-0.0113445672862003,4,0.946,16.531,-0.0113445672862003,0.0726036423255382,-0.0111953182531623
3187,3188,3187,E01003260,0.093,E01003260,5.69227437118986,0.0645537529184519,6,1.074,3.152,0.0645537529184519,0.0029565006642786,0.0340322569521261
3189,3190,3189,E01003262,0.109,E01003262,5.58958313441036,-0.0162547503921927,4,1.189,4.809,-0.0162547503921927,-0.0394959668182033,0.044044095856841
3195,3196,3195,E01003268,0.143,E01003268,5.64632655430391,0.0869894781226835,6,1.279,11.104,0.0869894781226835,0.053211919895264,0.056482447695726
3224,3225,3224,E01003299,0.185,E01003299,5.51604686604172,0.0141519652162334,5,1.601,10.925,0.0141519652162334,0.0428513015957552,0.021758833556048
3236,3237,3236,E01003312,0.099,E01003312,5.65613199864762,0.0366174054270325,5,1.305,8.77,0.0366174054270325,-0.0011172657167929,0.0143915050506515
3250,3251,3250,E01003326,0.2,E01003326,5.50871627291372,0.0273364347152911,5,1.32,8.953,0.0273364347152911,0.0350935667577149,0.0001020425724067
3253,3254,3253,E01003329,0.111,E01003329,5.66661461252366,0.0635120694047143,6,1.172,10.653,0.0635120694047143,0.0582483004635613,-0.0313462714104329
3316,3317,3316,E01003392,0.098,E01003392,5.58355999379963,-0.037322270262758,4,1.384,13.332,-0.037322270262758,0.0544608676320615,0.0175717575501287
3334,3335,3334,E01003410,0.175,E01003410,5.58066036560956,0.0650887563660453,6,1.179,18.279,0.0650887563660453,0.0704696313467724,0.0099427448754146
3383,3384,3383,E01003459,0.149,E01003459,5.58225222395248,0.0311211728220689,5,0.942,6.12,0.0311211728220689,-0.0247453236198701,0.0679929835986089
3413,3414,3413,E01003489,0.236,E01003489,5.40992402609657,-0.0222196617969332,4,1.624,21.799,-0.0222196617969332,0.0301589903100201,0.0704407828862926
3414,3415,3414,E01003490,0.212,E01003490,5.5186020670266,0.0536342789298125,6,1.342,23.332,0.0536342789298125,0.0073033773863332,0.0139227144934894
3420,3421,3420,E01003496,0.185,E01003496,5.45992001810589,-0.0419748827195885,4,1.042,12.787,-0.0419748827195885,-0.0164030198158325,0.0582407944359135
3431,3432,3431,E01003509,0.197,E01003509,5.45520213220873,-0.0302807185151048,4,1.534,21.979,-0.0302807185151048,0.0474484777319163,-0.0159844159587369
3660,3661,3660,E01003748,0.031,E01003748,5.73450471487912,0.021988504415898,5,0.81,2.649,0.021988504415898,-0.0288481420168437,-0.039617591057376
3780,3781,3780,E01003869,0.027,E01003869,5.77236963774823,0.0543827439177964,6,1.228,0.329,0.0543827439177964,0.0521445989541041,-0.0353372727840634
3811,3812,3811,E01003900,0.145,E01003900,5.5564779161333,-0.0001238183643261,5,0.908,10.552,-0.0001238183643261,0.0652767797308648,0.0453092015207899
3817,3818,3817,E01003906,0.084,E01003906,5.70332059307375,0.0632909372261105,6,1.112,7.221,0.0632909372261105,0.0529374850395534,0.0355862615886455
3823,3824,3823,E01003912,0.286,E01003912,5.4161973820358,0.0524372362324768,6,1.751,19.247,0.0524372362324768,0.0681949633904309,0.0306838603666296
3824,3825,3824,E01003913,0.118,E01003913,5.63412829488516,0.0405994476588407,5,1.828,4.43,0.0405994476588407,-0.0239794094546522,0.0130364063414057
3880,3881,3880,E01003975,0.228,E01003975,5.41421179430825,-0.0288732603196763,4,1.619,19.349,-0.0288732603196763,0.0570097364129887,0.0225218505330625
3890,3891,3890,E01003987,0.258,E01003987,5.41721769710919,0.0151627677353638,5,1.422,26.706,0.0151627677353638,-0.0229696657752205,0.0677343406227531
3903,3904,3903,E01004001,0.248,E01004001,5.44649716315231,0.0307655253604472,5,1.081,18.793,0.0307655253604472,-0.0180381955408849,0.0495025657261721
3924,3925,3924,E01004023,0.177,E01004023,5.54719861682135,0.0343623492614378,5,1.725,14.507,0.0343623492614378,0.0254346092484122,-0.0111522686025059
3941,3942,3941,E01004042,0.306,E01004042,5.29347127554368,-0.0429354534235754,4,1.582,28.243,-0.0429354534235754,-0.0142673192949172,-0.021918670142233
3959,3960,3959,E01004060,0.179,E01004060,5.50453502830418,-0.0055658975721262,4,1.342,17.385,-0.0055658975721262,-0.0141690479100561,-0.0345544572329514
3985,3986,3985,E01004086,0.117,E01004086,5.59591326536956,0.0010167473014356,5,0.317,11.867,0.0010167473014356,-0.0179566984864465,0.0401949119879722
4023,4024,4023,E01004125,0.199,E01004125,5.46326020725986,-0.0194873017803679,4,0.598,29.156,-0.0194873017803679,0.0006196118599045,-0.0249614567925843
4042,4043,4042,E01004144,0.064,E01004144,5.68193673136089,0.0145536586771796,5,0.529,6.167,0.0145536586771796,-0.0027888327349834,-0.0005826232028013
4045,4046,4045,E01004147,0.065,E01004147,5.69827997142618,0.0322645695842788,5,0.41,9.202,0.0322645695842788,0.018543536040147,0.0584318445866201
4123,4124,4123,E01004229,0.183,E01004229,5.46327885389328,-0.0413513886158083,4,1.866,12.646,-0.0413513886158083,0.046278359064646,0.0012113773725588
4167,4168,4167,E01004274,0.225,E01004274,5.48287810297573,0.0356900358223926,5,0.671,20.038,0.0356900358223926,0.0412200239503429,0.0477328213807158
4171,4172,4171,E01004280,0.226,E01004280,5.45285710124742,0.0070367049358874,5,1.285,18.608,0.0070367049358874,0.0390851571955432,0.0661910043871041
4180,4181,4180,E01004290,0.196,E01004290,5.50358222951793,0.0167317079522843,5,2.259,12.545,0.0167317079522843,0.0722084195400439,-0.0392198246382472
4220,4221,4220,E01004332,0.145,E01004332,5.55773745522355,0.0011357207259228,5,1.207,19.068,0.0011357207259228,0.0114742618824862,0.0008574988253397
4251,4252,4251,E01004363,0.124,E01004363,5.6577818835845,0.0724590614090049,6,1.289,12.104,0.0724590614090049,0.0011785462826091,-0.0169566745709865
4271,4272,4271,E01004383,0.099,E01004383,5.6071703790859,-0.0123442141346799,4,0.975,13.598,-0.0123442141346799,0.023921172256299,0.0206276356672511
4312,4313,4312,E01004424,0.218,E01004424,5.47416699450949,0.017405231463524,5,1.759,23.475,0.017405231463524,-0.046002182628224,-0.0365965097269498
4350,4351,4350,E01004464,0.271,E01004464,5.34265388952237,-0.0416213189080041,4,1.12,25.599,-0.0416213189080041,-0.0161515190632536,0.0578947016417705
4383,4384,4383,E01004497,0.119,E01004497,5.56645964336395,-0.0257015330205619,4,1.339,7.709,-0.0257015330205619,0.0368318857131394,0.0016404040624818
4427,4428,4427,E01004541,0.265,E01004541,5.35722505224162,-0.0352561812395782,4,1.677,21.159,-0.0352561812395782,0.0533306636755845,0.063615957519163
4474,4475,4474,E01004590,0.176,E01004590,5.48299551543905,-0.0312084229626656,4,1.7,6.991,-0.0312084229626656,-0.0020073540333055,0.0264373479391477
4488,4489,4488,E01004605,0.099,E01004605,5.59173137826078,-0.0277832149598036,4,1.481,2.296,-0.0277832149598036,0.0107956014263061,-0.02863027126962
4602,4603,4602,E01004726,0.047,E01004726,5.64746199235195,-0.0431714846424191,4,1.76,3.766,-0.0431714846424191,0.0010281563754164,0.0679946599278766
4614,4615,4614,E01004738,0.044,E01004738,5.77712781127842,0.0823913217586411,6,2.236,0.325,0.0823913217586411,0.054180519134563,0.0375500768692068
4621,4622,4621,E01004745,0.096,E01004745,5.7066454504743,0.0830278447283078,6,2.341,5.824,0.0830278447283078,-0.0382643087953296,0.0208011325538277
4699,4700,4699,E01032788,0.193,E01032788,5.50512599674138,0.0141724626503281,5,1.68,10.815,0.0141724626503281,0.0622123726625833,-0.0370435810562219
4724,4725,4724,E01033153,0.297,E01033153,5.41002354801046,0.0613077814669696,6,1.386,27.348,0.0613077814669696,-0.0253559067301801,0.0364691659138683
4725,4726,4725,E01033207,0.22,E01033207,5.47562894895673,0.0216025275943696,5,2.1,11.0,0.0216025275943696,0.032233336890005,0.0437642224495518
4729,4730,4729,E01033324,0.198,E01033324,5.46450904216475,-0.0196061377172845,4,1.832,13.041,-0.0196061377172845,0.0318566870755949,0.0307845383187623
4784,4785,4784,E01033603,0.261,E01033603,5.49037071069082,0.0924187938424023,6,2.463,10.522,0.0924187938424023,0.0365081409276631,0.0588378041340393
4788,4789,4788,E01033607,0.125,E01033607,5.66860668600341,0.0846515346697215,6,2.203,1.674,0.0846515346697215,0.0645791007939943,0.0303179646433233
