,lsoa,popden2011,popden2021
723,E01002901,38.7,32.062
724,E01002902,123.3,88.712
725,E01002903,136.8,115.37100000000001
726,E01002844,110.8,92.649
727,E01002845,193.2,166.051
728,E01002910,97.5,96.13799999999999
729,E01002911,136.7,106.374
730,E01002914,87.8,67.041
731,E01002896,154.1,139.49
732,E01002897,91.8,104.19
733,E01002912,150.8,131.996
734,E01002840,155.4,117.64
735,E01002841,122.8,109.336
736,E01002842,684.7,557.692
737,E01002843,183.1,192.422
738,E01002913,173.6,161.412
739,E01003015,166.9,180.0
740,E01003108,194.1,193.75799999999998
741,E01003110,124.3,136.032
742,E01003111,208.2,269.388
743,E01003112,101.1,120.618
744,E01003101,135.3,123.555
745,E01003105,174.6,178.079
746,E01003106,164.9,179.412
747,E01003107,147.6,142.934
748,E01003102,104.8,102.711
749,E01003104,196.6,212.638
750,E01003122,175.7,184.77200000000002
751,E01003129,212.8,208.102
752,E01033208,344.6,337.74699999999996
753,E01003098,194,184.472
754,E01003099,52.3,55.898999999999994
755,E01003100,191.1,198.22799999999998
756,E01003180,107.1,113.71700000000001
757,E01003183,98.7,105.665
758,E01003097,170.3,158.81799999999998
759,E01003121,262.8,255.537
760,E01003123,103,110.214
761,E01003124,177.6,166.421
762,E01003125,241.7,244.582
763,E01003181,181.1,186.97799999999998
764,E01003184,253.9,255.296
765,E01003185,188.1,219.31799999999998
766,E01003186,93.4,116.85799999999999
767,E01003187,104.9,163.399
768,E01003089,141.3,146.702
769,E01003091,207.3,212.81099999999998
770,E01003092,113.3,149.08100000000002
771,E01003126,156.5,170.34799999999998
772,E01003128,173.1,189.273
773,E01003046,183.6,177.215
774,E01003048,145.3,157.578
775,E01003075,209.1,219.718
776,E01003182,100.9,99.00299999999999
777,E01003188,165.6,156.296
778,E01003088,192.5,168.22
779,E01003093,322.6,312.943
780,E01003094,189.3,182.28799999999998
781,E01003096,145,146.639
782,E01003127,132,155.77100000000002
783,E01003045,172.6,174.408
784,E01003047,90.1,99.00399999999999
785,E01003049,142.4,148.696
786,E01003059,211.1,285.548
787,E01003060,182.9,199.06099999999998
788,E01003061,156.9,167.38
789,E01003034,152.7,143.156
790,E01003035,132.4,143.33100000000002
791,E01003036,142.2,155.664
792,E01003090,161.4,169.051
793,E01003095,118.7,106.00399999999999
794,E01003037,121.3,126.04899999999999
795,E01003038,113.3,128.066
796,E01003039,110.5,110.43799999999999
797,E01003040,85.4,82.56
798,E01003042,109,115.795
799,E01003072,89,83.711
800,E01003073,100.5,94.90799999999999
801,E01003076,50.9,71.816
802,E01003077,173.3,180.174
803,E01003078,75.7,77.959
804,E01003019,139,135.306
805,E01003053,149.1,144.435
806,E01003054,208.9,250.114
807,E01003056,232.9,205.415
808,E01003058,212,217.234
809,E01003020,123.7,126.634
810,E01003050,168.2,161.468
811,E01003052,144.6,176.80700000000002
812,E01003055,108.9,116.959
813,E01003176,150,151.77
814,E01003029,121.6,122.932
815,E01003032,97.1,95.611
816,E01003041,168,158.333
817,E01003057,174.2,177.051
818,E01003043,158,156.48
819,E01003044,184.2,209.97
820,E01003051,89.6,114.55799999999999
821,E01003071,128.3,130.968
822,E01003074,33.2,33.165
823,E01003026,42.7,43.181999999999995
824,E01003027,110.7,112.419
825,E01003028,107.5,108.492
826,E01003030,107.4,103.052
827,E01003033,102.2,108.956
828,E01003018,138.6,134.87
829,E01003171,167.3,157.814
830,E01003173,128.5,130.327
831,E01003177,169.5,164.918
832,E01003178,149.3,139.498
833,E01003021,118.3,133.955
834,E01003022,150.5,139.569
835,E01003023,186.5,203.52900000000002
836,E01003024,145,148.34799999999998
837,E01003025,132.2,130.56799999999998
838,E01003136,135.9,142.526
839,E01003137,130.9,140.284
840,E01003159,101.7,122.514
841,E01003160,144.8,143.564
842,E01003162,194.5,169.835
843,E01003031,183.2,173.923
844,E01003156,133.1,136.72899999999998
845,E01003157,92.4,94.50399999999999
846,E01003158,128.6,130.862
847,E01003161,105.1,110.67200000000001
848,E01003163,75.7,79.83
849,E01003132,107,101.47
850,E01003172,159.9,159.55700000000002
851,E01003174,134.9,134.433
852,E01003175,132.7,130.00799999999998
853,E01003179,226.4,221.614
854,E01003164,116.8,123.802
855,E01003165,87.9,89.738
856,E01003168,76.3,79.904
857,E01003169,129.1,123.72399999999999
858,E01003170,57.8,59.273
859,E01003130,117.8,126.92
860,E01003131,79.1,117.486
861,E01003135,163.2,187.016
862,E01003138,116.1,111.64
863,E01003151,145.8,145.279
864,E01003079,81.1,75.82300000000001
865,E01003080,125.6,131.74
866,E01003133,98.9,95.28200000000001
867,E01003134,96.5,99.069
868,E01003152,88.3,86.59700000000001
869,E01003064,100.7,95.869
870,E01003066,49,54.727
871,E01003081,86.8,90.414
872,E01003166,99,110.93799999999999
873,E01003167,86.6,88.44200000000001
874,E01003116,56.7,63.388000000000005
875,E01003117,114.9,110.44200000000001
876,E01003118,82,88.12700000000001
877,E01003153,169.1,177.59599999999998
878,E01003155,108.8,110.788
879,E01003083,101.7,103.84100000000001
880,E01003084,114.2,106.804
881,E01003085,77.1,79.76
882,E01003149,67.4,66.11399999999999
883,E01003154,98.2,106.45299999999999
884,E01003065,120.2,136.571
885,E01003068,89.4,88.49
886,E01003082,115.7,109.56200000000001
887,E01003086,110.6,106.93700000000001
888,E01003087,125.6,124.075
889,E01003113,120.9,109.179
890,E01003114,91.6,122.054
891,E01003119,110.4,120.96
892,E01003120,136.2,165.477
893,E01003148,92.2,94.59299999999999
894,E01003150,105.8,119.79
895,E01003062,123,135.251
896,E01003063,116.3,110.471
897,E01003067,98,103.667
898,E01003069,57.9,58.213
899,E01003070,116.5,120.48299999999999
900,E01003115,148.7,148.942
901,E01003141,105.2,113.12100000000001
902,E01003144,31.1,30.628
903,E01003145,102.5,99.819
904,E01003147,112.4,117.06200000000001
905,E01003139,122.6,119.82799999999999
906,E01003140,107.6,108.887
907,E01003142,98.9,100.0
908,E01003143,88.8,92.93700000000001
909,E01003146,123.8,134.612
910,E01003013,47.7,56.402
911,E01003014,82.2,80.557
912,E01003016,82.8,72.252
913,E01003017,127.9,125.365
914,E01032582,59.6,71.514
915,E01003244,243.1,284.731
916,E01003245,141.6,181.017
917,E01003247,84.6,106.32
918,E01003249,172.9,184.31900000000002
919,E01003246,59.6,99.917
920,E01003248,63.6,64.303
921,E01003251,87.3,75.556
922,E01003252,217.5,220.53099999999998
923,E01003253,97,95.887
924,E01003297,41.3,45.667
925,E01003299,107.3,118.38600000000001
926,E01003301,100.7,122.305
927,E01003302,119.9,148.292
928,E01003305,120.9,201.938
929,E01003207,115.7,192.96900000000002
930,E01003209,158.4,150.079
931,E01003210,92.6,94.111
932,E01003212,87.8,89.338
933,E01003215,91.7,88.821
934,E01003338,126.9,144.168
935,E01003339,117.7,113.04299999999999
936,E01003340,108.9,118.171
937,E01003341,82.8,75.906
938,E01003343,107,114.522
939,E01003199,54.6,62.216
940,E01003201,106.3,107.211
941,E01003204,54.1,62.724
942,E01003205,148,154.556
943,E01003206,77,68.598
944,E01003211,77.8,77.221
945,E01003213,90.4,91.604
946,E01003214,113.2,113.665
947,E01033324,89,85.93
948,E01033325,198.2,224.83599999999998
949,E01003198,86.3,88.24600000000001
950,E01003200,21,19.976
951,E01003202,67.5,67.50399999999999
952,E01003203,119.4,132.659
953,E01003336,109.4,121.587
954,E01003337,123.7,108.314
955,E01003342,100.4,103.667
956,E01003344,92.2,89.137
957,E01003345,106.9,122.271
958,E01003273,108,81.459
959,E01003277,119.9,117.145
960,E01003278,125.5,138.63
961,E01003279,89.6,86.149
962,E01003288,106.2,126.495
963,E01003290,120.1,132.547
964,E01003291,53.5,54.655
965,E01033327,46.9,67.71
966,E01033341,102.2,103.762
967,E01003282,111.9,111.75399999999999
968,E01003283,90.2,91.014
969,E01003284,109.6,117.09299999999999
970,E01003286,85.9,91.272
971,E01003272,132.3,134.186
972,E01003274,117.7,108.311
973,E01003275,88.8,87.346
974,E01003276,41.2,41.25
975,E01003225,70.8,74.87100000000001
976,E01003231,92.9,89.705
977,E01003232,84.5,83.825
978,E01003233,123.2,132.923
979,E01003280,80.7,82.655
980,E01003281,44.2,43.125
981,E01003285,73.2,79.51899999999999
982,E01003287,78.6,80.995
983,E01003292,117.6,134.662
984,E01003293,136.6,141.224
985,E01003295,92.1,98.402
986,E01033320,102,107.02600000000001
987,E01033322,181,179.571
988,E01003319,139.7,136.53
989,E01003320,80,84.904
990,E01003323,87.6,89.086
991,E01003325,129,135.725
992,E01003226,96.2,101.54700000000001
993,E01003227,67.2,66.437
994,E01003228,106.3,110.97
995,E01003229,72.9,78.933
996,E01003230,91.7,94.734
997,E01003318,46.4,58.765
998,E01003321,117.8,104.985
999,E01003322,96.6,110.405
1000,E01003324,157.2,180.922
1001,E01003254,44.5,44.575
1002,E01003255,104.3,110.12700000000001
1003,E01003260,84.8,77.22
1004,E01003261,82.7,84.40299999999999
1005,E01003262,84.8,94.65799999999999
1006,E01003217,103.9,120.1
1007,E01003218,105.3,109.072
1008,E01003220,86.5,92.87299999999999
1009,E01003222,89.2,86.00299999999999
1010,E01003224,109.2,113.87200000000001
1011,E01003263,47.5,51.049
1012,E01003268,56.9,63.178000000000004
1013,E01003269,73.5,75.828
1014,E01003270,58.1,58.375
1015,E01003271,56.7,55.272
1016,E01003307,105.1,110.50399999999999
1017,E01003308,115.7,113.515
1018,E01003314,103.1,106.061
1019,E01003315,89.5,90.821
1020,E01003316,102.5,102.14399999999999
1021,E01003216,88.6,79.017
1022,E01003219,78.6,82.243
1023,E01003221,58.8,64.729
1024,E01003223,58.1,55.958
1025,E01003346,44.4,48.223
1026,E01003349,102.8,112.445
1027,E01003351,79.7,92.04799999999999
1028,E01003354,45.7,56.17100000000001
1029,E01003309,95.2,102.079
1030,E01003310,97.4,99.31299999999999
1031,E01003311,82.6,85.31
1032,E01003312,88.7,88.508
1033,E01003313,65.2,67.02199999999999
1034,E01003256,92.4,95.865
1035,E01003257,77,73.52
1036,E01003258,124.7,128.702
1037,E01003259,78.1,84.727
1038,E01003193,45,51.636
1039,E01003194,50.9,53.578
1040,E01003195,78.9,75.816
1041,E01003196,62.6,65.98100000000001
1042,E01003197,76.6,78.06
1043,E01003347,121.5,122.463
1044,E01003348,45.1,55.305
1045,E01003350,58.3,54.56399999999999
1046,E01003352,81.3,102.463
1047,E01003353,67.3,68.999
1048,E01003264,70.9,72.315
1049,E01003265,66.4,71.348
1050,E01003266,101.5,100.64299999999999
1051,E01003267,47.5,53.24
1052,E01003329,90.2,93.133
1053,E01003330,59.8,61.333999999999996
1054,E01003331,89.6,96.758
1055,E01003332,71.8,77.925
1056,E01003334,97.8,105.06200000000001
1057,E01003189,87.4,92.51299999999999
1058,E01003190,57.6,71.082
1059,E01003191,75.6,84.024
1060,E01003192,16.1,17.605
1061,E01003326,107.4,132.023
1062,E01003327,87.3,79.252
1063,E01003328,89.9,92.779
1064,E01003333,122.7,122.116
1065,E01003335,119,129.181
1066,E01003236,89.9,95.42399999999999
1067,E01003237,56.7,65.16199999999999
1068,E01003238,108.5,114.109
1069,E01003239,65,73.373
1070,E01032564,86,85.37700000000001
1071,E01003235,26.2,29.104
1072,E01003240,85.6,95.505
1073,E01003241,54.1,55.833
1074,E01003243,55.6,61.743
1075,E01032565,64.4,67.083
1076,E01003298,94.4,93.499
1077,E01003300,114.6,125.697
1078,E01003303,70.1,77.783
1079,E01003304,111,132.04
