,Unnamed: 0,X,LSOA.code..2011.,Income.Score..rate.,lsoa,Unnamed..0,resid,res_dec,Outdoors.Sub.domain.Score,outdoor_resid,Education..Skills.and.Training.Score,wealth_resid,education_resid
88,89,88,E01000092,0.215,E01000092,5.10110958215949,-0.359755193411888,0,0.862,0.33339515959552,18.788,-0.359755193411888,0.337897573917661
89,90,89,E01000093,0.26,E01000093,5.22044088284662,-0.178878704843596,1,1.582,0.376235172903794,27.955,-0.178878704843596,0.0349215847377542
90,91,90,E01000094,0.167,E01000094,5.223145670182,-0.303367305795949,0,0.648,0.22094638845685,10.866,-0.303367305795949,0.323125067732611
92,93,92,E01000096,0.259,E01000096,5.01837852949233,-0.382308729039695,0,1.553,0.557107684968315,34.307,-0.382308729039695,0.205507772448713
93,94,93,E01000097,0.223,E01000097,5.29525523150668,-0.154668177330264,1,1.08,0.254640554821866,32.926,-0.154668177330264,0.117656131108617
94,95,94,E01000098,0.239,E01000098,5.33730482815096,-0.0907358472171305,2,1.104,0.210904099533624,31.389,-0.0907358472171305,0.048866684184041
95,96,95,E01000099,0.174,E01000099,5.24245185132074,-0.274487428764581,0,0.705,0.216551398886822,25.037,-0.274487428764581,0.14758259745131
96,97,96,E01000100,0.16,E01000100,5.49788822377882,-0.0381984480917524,4,1.09,0.197781566250039,29.622,-0.0381984480917524,0.007056437412557
97,98,97,E01000101,0.254,E01000101,5.37810273546922,-0.0294228772718229,4,1.53,0.357815613639923,28.988,-0.0294228772718229,0.100853446930452
98,99,98,E01000102,0.275,E01000102,5.33204602879404,-0.0467584962691224,3,1.105,0.156247824289489,23.976,-0.0467584962691224,0.116294237459761
101,102,101,E01000105,0.246,E01000105,5.27325707209575,-0.145209907379719,2,1.071,0.171662335601033,36.132,-0.145209907379719,-0.039029559275813
102,103,102,E01000106,0.275,E01000106,5.19464402948107,-0.184160495582094,1,0.688,0.138385071581352,27.219,-0.184160495582094,0.0307763880499203
104,105,104,E01000108,0.171,E01000108,5.33997447299957,-0.181067819611158,1,0.723,-0.0163541398276011,20.596,-0.181067819611158,0.0950264832540107
107,108,107,E01000111,0.174,E01000111,5.1750180517231,-0.341921228362218,0,0.807,0.175791887815311,20.878,-0.341921228362218,0.221497383569738
108,109,108,E01000112,0.129,E01000112,5.23328773705464,-0.345196730911834,0,0.93,0.0768122163413253,18.969,-0.345196730911834,0.182760575267305
109,110,109,E01000113,0.152,E01000113,5.23598801881768,-0.311040019787318,0,1.001,0.125620966237699,16.983,-0.311040019787318,0.23581042895532
110,111,110,E01000114,0.119,E01000114,5.30193185301685,-0.290229323367666,0,0.941,0.19621769470277,19.124,-0.290229323367666,0.330034732912238
111,112,111,E01000115,0.055,E01000115,5.88908297437982,0.209390864119885,8,0.849,-0.0098358948737891,3.734,0.209390864119885,-0.120823016635009
113,114,113,E01000117,0.071,E01000117,5.48798612770176,-0.16982324908932,1,0.417,0.0493960726079022,6.077,-0.16982324908932,0.03348422387834
118,119,118,E01000122,0.071,E01000122,5.64051691652502,-0.0172924602660668,4,0.543,-0.0018039067362254,2.257,-0.0172924602660668,0.214889175674186
120,121,120,E01000124,0.166,E01000124,5.27447643177009,-0.25340421504966,0,0.96,0.20113167833834,14.674,-0.25340421504966,0.197258674649214
