,lsoa,price,hierarchical8x,hierarchical13x,hierarchical24x
86,E01000090,176472.00924954613,,,
87,E01000091,192354.27902910562,3.0,3.0,11.0
88,E01000092,212329.51474898003,4.0,5.0,14.0
89,E01000093,198654.9175782206,4.0,5.0,13.0
90,E01000094,202128.35630999255,,,
91,E01000095,192906.21673703328,4.0,5.0,
92,E01000096,206231.51370562514,4.0,5.0,
93,E01000097,202026.36000328223,3.0,3.0,11.0
94,E01000098,205958.32199589754,3.0,3.0,11.0
95,E01000099,197233.28146869628,3.0,3.0,11.0
96,E01000100,191367.5687441058,3.0,3.0,11.0
97,E01000101,186592.02298067842,3.0,3.0,11.0
98,E01000102,194639.65588349197,3.0,3.0,11.0
99,E01000103,180799.97752125523,3.0,,
100,E01000104,187513.63365007882,,,
101,E01000105,184939.59276034497,3.0,,
102,E01000106,192658.44395855386,,,
103,E01000107,198118.6079157617,3.0,9.0,12.0
104,E01000108,197971.01488485746,3.0,,
105,E01000109,195243.33395759834,3.0,9.0,12.0
106,E01000110,216491.37906897307,3.0,,
107,E01000111,210689.7366015955,3.0,3.0,11.0
108,E01000112,212015.6727576601,,,
109,E01000113,214920.6223154768,,,
110,E01000114,195211.73349243225,3.0,,
111,E01000115,367694.96711177507,3.0,3.0,11.0
112,E01000116,300071.44617976085,3.0,,
113,E01000117,299490.2602068688,3.0,3.0,11.0
114,E01000118,290006.1537748909,3.0,3.0,11.0
115,E01000119,345856.05576582585,3.0,9.0,12.0
116,E01000120,336528.61470829684,3.0,9.0,12.0
117,E01000121,293445.9441624092,3.0,3.0,11.0
118,E01000122,315910.21584147605,3.0,3.0,11.0
119,E01000123,280546.5612782632,3.0,,
120,E01000124,269801.99281471147,3.0,4.0,5.0
121,E01000125,240078.9354317974,,,
122,E01000126,244385.03535408527,,,
123,E01000127,216244.63218185917,3.0,3.0,11.0
124,E01000128,223320.6080957652,3.0,,
125,E01000129,211839.42388043943,3.0,3.0,11.0
126,E01000130,227547.12940249662,3.0,3.0,11.0
127,E01000131,251025.8486674422,3.0,3.0,11.0
128,E01000132,214214.14450699795,3.0,,
129,E01000133,208925.98816637782,3.0,,
130,E01000134,219220.74415905122,3.0,3.0,11.0
131,E01000135,570328.431210584,3.0,3.0,11.0
132,E01000136,918210.7363465752,3.0,,
133,E01000137,327301.03344998043,3.0,3.0,11.0
134,E01000138,346770.43175778777,3.0,3.0,11.0
135,E01000139,554514.7649307783,3.0,,
136,E01000140,528071.9477514576,6.0,10.0,
137,E01000141,329084.8985349757,6.0,10.0,
138,E01000142,344409.899281009,3.0,3.0,11.0
139,E01000143,391380.00862963323,3.0,3.0,11.0
140,E01000144,543970.1725533962,3.0,,
141,E01000145,495698.83755479567,3.0,,
142,E01000146,586271.251556845,3.0,3.0,11.0
143,E01000147,262013.33283832113,3.0,9.0,12.0
144,E01000148,238576.63137013587,3.0,3.0,11.0
145,E01000150,250886.08163780658,3.0,3.0,11.0
146,E01000151,193800.73756885735,4.0,5.0,6.0
147,E01000152,199626.24094524665,4.0,5.0,
