,2011,2018,2021,roads,oa11cd
82,0.7777777777777778,0.8148148148148148,0.8518518518518519,1.0,E00000096
83,0.9259259259259259,0.9259259259259259,0.9259259259259259,1.0,E00000097
84,1.0,0.9230769230769231,1.0,1.0,E00000098
85,0.5714285714285714,,1.2857142857142858,1.0,E00000099
86,0.7291666666666666,0.3125,0.9166666666666666,1.0,E00000100
87,0.8571428571428571,1.0,0.8285714285714286,1.0,E00000101
88,0.71875,1.0,0.9375,1.0,E00000102
89,0.3783783783783784,0.24324324324324326,0.5135135135135135,1.0,E00000103
90,0.8636363636363636,0.9545454545454546,0.9090909090909091,1.0,E00000104
91,0.9230769230769231,0.9615384615384616,1.0769230769230769,1.0,E00000106
92,0.9166666666666666,0.8888888888888888,0.8611111111111112,1.0,E00000107
93,0.5531914893617021,0.6382978723404256,0.6595744680851063,1.0,E00000108
94,0.32432432432432434,0.7837837837837838,0.8108108108108109,1.0,E00000109
95,0.7714285714285715,0.8,0.9142857142857143,1.0,E00000110
96,0.84,0.6,0.6,1.0,E00000111
97,1.4285714285714286,1.1428571428571428,1.0,1.0,E00000112
98,0.75,0.8214285714285714,0.9642857142857143,1.0,E00000113
99,0.6785714285714286,0.9642857142857143,0.8571428571428571,1.0,E00000114
100,0.896551724137931,0.8620689655172413,0.9655172413793104,1.0,E00000115
101,0.7954545454545454,0.8181818181818182,0.8636363636363636,1.0,E00000116
102,0.7,0.6666666666666666,0.8333333333333334,1.0,E00000117
103,0.4473684210526316,0.5789473684210527,0.6842105263157895,1.0,E00000118
104,0.5806451612903226,0.7419354838709677,0.7419354838709677,1.0,E00000119
105,0.8787878787878788,0.9090909090909091,0.9696969696969697,1.0,E00000120
106,0.7435897435897436,0.717948717948718,0.7435897435897436,1.0,E00000121
107,0.7272727272727273,0.7878787878787878,0.7878787878787878,1.0,E00000122
108,0.7714285714285715,0.7142857142857143,0.7428571428571429,1.0,E00000123
109,0.90625,0.90625,0.90625,1.0,E00000124
110,0.8285714285714286,0.8285714285714286,0.7428571428571429,1.0,E00000125
111,0.46078431372549017,0.5,0.6862745098039216,1.0,E00000126
112,0.3402061855670103,0.27835051546391754,0.6288659793814433,1.0,E00000127
113,0.6333333333333333,0.26666666666666666,0.5,1.0,E00000128
114,0.8461538461538461,0.8076923076923077,1.0769230769230769,1.0,E00000129
115,0.8636363636363636,0.8636363636363636,0.8181818181818182,1.0,E00000130
116,0.7391304347826086,0.7391304347826086,0.9130434782608695,1.0,E00000131
117,1.6153846153846154,1.5384615384615385,1.8461538461538463,1.0,E00000132
118,0.52,0.72,0.48,1.0,E00000133
119,0.6176470588235294,0.6764705882352942,0.7058823529411765,1.0,E00000134
120,0.7704918032786885,0.6557377049180327,0.7213114754098361,1.0,E00000135
121,0.43137254901960786,0.7058823529411765,0.5686274509803921,1.0,E00000136
122,0.6764705882352942,0.6764705882352942,0.5294117647058824,1.0,E00000137
123,0.72,0.88,0.84,1.0,E00000138
124,1.1794871794871795,0.8974358974358975,1.1025641025641026,1.0,E00000139
125,0.9183673469387755,0.8163265306122449,0.673469387755102,1.0,E00000140
126,0.7058823529411765,0.8823529411764706,0.8823529411764706,1.0,E00000141
127,0.8461538461538461,0.8923076923076924,0.9076923076923077,1.0,E00000142
128,0.8679245283018868,0.8301886792452831,0.8301886792452831,1.0,E00000143
129,0.9696969696969697,1.1515151515151516,1.1818181818181819,1.0,E00000144
130,1.0,1.0,1.032258064516129,1.0,E00000145
131,0.8717948717948718,0.6666666666666666,0.6666666666666666,1.0,E00000146
