,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Terraced,lsoa,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Terraced,proportion_Commercial,proportion_Estates,proportion_High-density,proportion_Leafy green residential,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Terraced
1547,0.035211267605633804,0.028169014084507043,0.014084507042253521,0.04225352112676056,0.2676056338028169,0.04225352112676056,0.07746478873239436,0.49295774647887325,E01001573,0.03968253968253968,0.023809523809523808,0.03968253968253968,0.0873015873015873,0.2619047619047619,0.031746031746031744,0.1746031746031746,0.3412698412698413,0.004471272076905876,-0.004359490274983235,0.025598032640286157,0.045048066174826734,-0.00570087189805496,-0.010507489380728818,0.09713838587078023,-0.15168790520903197
1548,0.0,0.11704312114989733,0.02053388090349076,0.039014373716632446,0.11498973305954825,0.5359342915811088,0.162217659137577,0.01026694045174538,E01001574,0.005791505791505791,0.12548262548262548,0.03088803088803089,0.052123552123552123,0.07722007722007722,0.5617760617760618,0.13706563706563707,0.009652509652509652,0.005791505791505791,0.008439504332728151,0.01035414998454013,0.013109178406919678,-0.037769655839471034,0.02584177019495293,-0.025152022071939922,-0.0006144307992357271
1549,0.018072289156626505,0.13855421686746988,0.018072289156626505,0.03614457831325301,0.20481927710843373,0.39759036144578314,0.18674698795180722,0.0,E01001575,0.01507537688442211,0.21105527638190955,0.04522613065326633,0.05527638190954774,0.1507537688442211,0.18592964824120603,0.32160804020100503,0.01507537688442211,-0.0029969122722043953,0.07250105951443966,0.027153841496639828,0.01913180359629473,-0.054065508264212636,-0.2116607132045771,0.1348610522491978,0.01507537688442211
1550,0.00392156862745098,0.07058823529411765,0.03529411764705882,0.06666666666666667,0.1607843137254902,0.36470588235294116,0.29411764705882354,0.00392156862745098,E01001576,0.007547169811320755,0.1320754716981132,0.05660377358490566,0.011320754716981131,0.1471698113207547,0.30566037735849055,0.33584905660377357,0.0037735849056603774,0.0036256011838697744,0.06148723640399556,0.02130965593784684,-0.055345911949685536,-0.013614502404735496,-0.059045504994450604,0.04173140954495003,-0.00014798372179060295
1551,0.0,0.19428571428571428,0.08571428571428572,0.04,0.2742857142857143,0.14285714285714285,0.26285714285714284,0.0,E01001577,0.0,0.3092105263157895,0.09210526315789473,0.07236842105263158,0.15789473684210525,0.05921052631578947,0.3026315789473684,0.006578947368421052,0.0,0.11492481203007521,0.006390977443609017,0.03236842105263158,-0.11639097744360904,-0.08364661654135339,0.03977443609022557,0.006578947368421052
1552,0.016042780748663103,0.1657754010695187,0.06951871657754011,0.0374331550802139,0.1925133689839572,0.20855614973262032,0.13903743315508021,0.1711229946524064,E01001578,0.03333333333333333,0.18888888888888888,0.07777777777777778,0.06666666666666667,0.08888888888888889,0.12222222222222222,0.16111111111111112,0.2611111111111111,0.01729055258467023,0.02311348781937017,0.008259061200237672,0.029233511586452765,-0.10362448009506832,-0.0863339275103981,0.022073677956030907,0.08998811645870472
1553,0.0,0.06132075471698113,0.02830188679245283,0.03773584905660377,0.29245283018867924,0.3632075471698113,0.21226415094339623,0.0047169811320754715,E01001579,0.005128205128205128,0.09743589743589744,0.046153846153846156,0.046153846153846156,0.2153846153846154,0.26666666666666666,0.31794871794871793,0.005128205128205128,0.005128205128205128,0.036115142718916304,0.017851959361393326,0.008417997097242384,-0.07706821480406384,-0.09654088050314463,0.1056845670053217,0.0004112239961296567
1554,0.06666666666666667,0.027450980392156862,0.06274509803921569,0.0784313725490196,0.054901960784313725,0.5176470588235295,0.16862745098039217,0.023529411764705882,E01001580,0.06808510638297872,0.05106382978723404,0.029787234042553193,0.08085106382978724,0.0425531914893617,0.44680851063829785,0.26382978723404255,0.01702127659574468,0.0014184397163120588,0.023612849395077178,-0.03295786399666249,0.002419691280767633,-0.012348769294952024,-0.07083854818523161,0.09520233625365038,-0.006508135168961201
1555,0.07894736842105263,0.08552631578947369,0.013157894736842105,0.05263157894736842,0.09868421052631579,0.42105263157894735,0.13815789473684212,0.1118421052631579,E01001581,0.08695652173913043,0.11413043478260869,0.02717391304347826,0.059782608695652176,0.07608695652173914,0.3695652173913043,0.16304347826086957,0.10326086956521739,0.008009153318077805,0.028604118993135003,0.014016018306636156,0.007151029748283758,-0.022597254004576656,-0.05148741418764302,0.02488558352402745,-0.008581235697940504
1556,0.00398406374501992,0.055776892430278883,0.0199203187250996,0.1394422310756972,0.16733067729083664,0.3147410358565737,0.2948207171314741,0.00398406374501992,E01001582,0.010526315789473684,0.07719298245614035,0.03859649122807018,0.07719298245614035,0.12982456140350876,0.30526315789473685,0.36140350877192984,0.0,0.006542252044453764,0.02141609002586147,0.018676172502970576,-0.06224924861955684,-0.037506115887327884,-0.009477877961836856,0.06658279164045572,-0.00398406374501992
1557,0.0,0.09032258064516129,0.03225806451612903,0.14838709677419354,0.12903225806451613,0.3419354838709677,0.21935483870967742,0.03870967741935484,E01001583,0.005780346820809248,0.19653179190751446,0.028901734104046242,0.12138728323699421,0.17341040462427745,0.23121387283236994,0.2254335260115607,0.017341040462427744,0.005780346820809248,0.10620921126235318,-0.003356330412082789,-0.026999813537199324,0.04437814655976133,-0.11072161103859779,0.006078687301883268,-0.021368636956927096
1558,0.046511627906976744,0.046511627906976744,0.13953488372093023,0.046511627906976744,0.13953488372093023,0.18604651162790697,0.09302325581395349,0.3023255813953488,E01001584,0.012903225806451613,0.07096774193548387,0.04516129032258064,0.13548387096774195,0.03870967741935484,0.45806451612903226,0.16129032258064516,0.07741935483870968,-0.03360840210052513,0.024456114028507128,-0.09437359339834958,0.0889722430607652,-0.10082520630157539,0.2720180045011253,0.06826706676669167,-0.22490622655663914
1559,0.006993006993006993,0.055944055944055944,0.03496503496503497,0.18181818181818182,0.17482517482517482,0.16083916083916083,0.06993006993006994,0.3146853146853147,E01001585,0.007407407407407408,0.07407407407407407,0.044444444444444446,0.1111111111111111,0.24444444444444444,0.16296296296296298,0.08148148148148149,0.2740740740740741,0.0004144004144004147,0.018130018130018126,0.009479409479409479,-0.07070707070707072,0.06961926961926962,0.002123802123802143,0.011551411551411553,-0.04061124061124061
1560,0.008620689655172414,0.11206896551724138,0.06896551724137931,0.23275862068965517,0.13793103448275862,0.21551724137931033,0.16379310344827586,0.0603448275862069,E01001586,0.008771929824561403,0.16666666666666666,0.02631578947368421,0.17543859649122806,0.14035087719298245,0.22807017543859648,0.24561403508771928,0.008771929824561403,0.00015124016938898935,0.054597701149425276,-0.0426497277676951,-0.057320024198427105,0.0024198427102238296,0.012552934059286147,0.08182093163944343,-0.051572897761645496
1561,0.0,0.056451612903225805,0.04032258064516129,0.16129032258064516,0.21774193548387097,0.18548387096774194,0.20967741935483872,0.12903225806451613,E01001587,0.0,0.11904761904761904,0.047619047619047616,0.2222222222222222,0.11904761904761904,0.18253968253968253,0.1984126984126984,0.1111111111111111,0.0,0.06259600614439323,0.007296466973886327,0.06093189964157705,-0.09869431643625193,-0.0029441884280594077,-0.011264720942140316,-0.01792114695340502
1562,0.003424657534246575,0.04794520547945205,0.010273972602739725,0.11986301369863013,0.3150684931506849,0.3047945205479452,0.1815068493150685,0.017123287671232876,E01001588,0.0,0.0546875,0.015625,0.1484375,0.17578125,0.39453125,0.19921875,0.01171875,-0.003424657534246575,0.006742294520547948,0.0053510273972602745,0.02857448630136987,-0.13928724315068491,0.0897367294520548,0.017711900684931503,-0.005404537671232876
1563,0.054945054945054944,0.04945054945054945,0.09340659340659341,0.11538461538461539,0.19230769230769232,0.1813186813186813,0.17032967032967034,0.14285714285714285,E01001589,0.0718232044198895,0.0718232044198895,0.04419889502762431,0.0718232044198895,0.22099447513812154,0.17679558011049723,0.15469613259668508,0.1878453038674033,0.016878149474834556,0.02237265496934005,-0.0492076983789691,-0.04356141096472589,0.02868678283042922,-0.004523101208184083,-0.01563353773298526,0.04498816101026046
1564,0.007407407407407408,0.044444444444444446,0.1111111111111111,0.0962962962962963,0.07407407407407407,0.014814814814814815,0.044444444444444446,0.6074074074074074,E01001590,0.031746031746031744,0.031746031746031744,0.03968253968253968,0.031746031746031744,0.0873015873015873,0.023809523809523808,0.03968253968253968,0.7142857142857143,0.024338624338624337,-0.012698412698412702,-0.07142857142857142,-0.06455026455026455,0.013227513227513227,0.008994708994708993,-0.004761904761904766,0.1068783068783069
1565,0.05917159763313609,0.08875739644970414,0.11834319526627218,0.11834319526627218,0.0650887573964497,0.1242603550295858,0.15976331360946747,0.26627218934911245,E01001591,0.06293706293706294,0.11888111888111888,0.11888111888111888,0.03496503496503497,0.11188811188811189,0.15384615384615385,0.13286713286713286,0.26573426573426573,0.0037654653039268515,0.030123722431414743,0.000537923614846697,-0.08337816030123721,0.046799354491662185,0.02958579881656806,-0.026896180742334602,-0.0005379236148467248
1566,0.0,0.012658227848101266,0.03164556962025317,0.06329113924050633,0.189873417721519,0.27848101265822783,0.06962025316455696,0.35443037974683544,E01001592,0.007246376811594203,0.050724637681159424,0.028985507246376812,0.043478260869565216,0.13043478260869565,0.11594202898550725,0.18115942028985507,0.4420289855072464,0.007246376811594203,0.03806640983305816,-0.0026600623738763547,-0.019812878370941117,-0.05943863511282335,-0.16253898367272057,0.11153916712529811,0.08759860576041095
